archivo_o_resultado_id	linea_o_tipo_uso	que_lee	se_rompe_si_falta	sustituto	estado
tests/test_corredores_gen2.py	34	CALC_AGG = data/corrida0/CALC-AGG-marco-M-sorteado-v1_3	SI	idem linea 33	SIN-SUSTITUTO
tests/test_corredores_gen2.py	35	MARCO_REL = forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv	SI	idem linea 33	SIN-SUSTITUTO
tests/test_corredores_gen2.py	84	docstring: pase lo que pase con marco-M-sorteado-v1_1.tsv	NO	no aplica: v1_1	NO-APLICA
tests/test_corredores_gen2.py	377	string de prueba: A = forense/prereg-duelo-v2/marco-M-sorteado-v1_1.tsv	NO	no aplica: v1_1	NO-APLICA
tests/test_corredores_gen2.py	380	assert encontrados == [marco-M-sorteado-v1_1.tsv]	NO	no aplica: v1_1	NO-APLICA
tests/test_corredores_gen2.py	477	tupla de nombres CALC: CALC-M-marco-M-sorteado-v1_3	SI	idem linea 33	SIN-SUSTITUTO
tests/test_corredores_gen2.py	478	tupla de nombres CALC: CALC-AGG-marco-M-sorteado-v1_3	SI	idem linea 33	SIN-SUSTITUTO
tests/test_corredores_gen2.py	479	tupla de nombres CALC: CALC-M-marco-M-sorteado-v1_3-ola	SI	idem linea 33	SIN-SUSTITUTO
tests/test_corredores_gen2.py	480	tupla de nombres CALC: CALC-AGG-marco-M-sorteado-v1_3-ola	SI	idem linea 33	SIN-SUSTITUTO
tests/test_corredores_gen2.py	482	tupla de nombres CALC: CALC-M-marco-M-sorteado-v1_3-ola-v2	SI	idem linea 33	SIN-SUSTITUTO
tests/test_corredores_gen2.py	483	tupla de nombres CALC: CALC-AGG-marco-M-sorteado-v1_3-ola-v2	SI	idem linea 33	SIN-SUSTITUTO
tests/test_corredores_gen2.py	497	carga CALC-M-marco-M-sorteado-v1_3-ola-v2/medidor.py	SI	idem linea 33	SIN-SUSTITUTO
tests/test_corrida0.py	525	cons = forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:{cid}:M	SI	ninguno declarado (espejo de corrida0.py:431)	SIN-SUSTITUTO
tests/gonogo_marcador.py	60	MARCO_VIGENTE_REL = forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv	SI	marcador-segmento (milpa/estimadores-por-segmento.yaml) para el eje que ya migro; el go/no-go del eje x=vacio sigue leyendo el marco	SIN-SUSTITUTO
tests/gonogo_marcador.py	63	CALC_M = data/corrida0/CALC-M-marco-M-sorteado-v1_3	SI	idem linea 60	SIN-SUSTITUTO
tests/gonogo_marcador.py	64	CALC_AGG = data/corrida0/CALC-AGG-marco-M-sorteado-v1_3	SI	idem linea 60	SIN-SUSTITUTO
tests/gonogo_marcador.py	82	_RE_MARCO = regex marco-M-sorteado-v1_\d+.tsv (generica, hoy resuelve v1_3)	SI	idem linea 60	SIN-SUSTITUTO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-01::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-01::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-02::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-02::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-04::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-04::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-10::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-10::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-12::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-12::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-13::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::CIV-M-13::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::DIN-M-01::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::FAM-M-01::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::FAM-M-01::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::FAM-M-05::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::FAM-M-05::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::FAM-M-06::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::FAM-M-06::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::FAM-M-07::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::FAM-M-07::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::TRA-M-02::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::TRA-M-02::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::TRA-M-03::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::TRA-M-03::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:R	celda_R	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::TRA-M-07::R (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:M	celda_M	lectura legacy activa (usos.tsv), aptitud_uso=APTA-POR-LINAJE	NO	pin de mesa: marco-M::TRA-M-07::M (forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md)	YA-ADOPTADO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L-solo	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L+corpus	celda_L	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:AGREGADO	celda_AGREGADO	lectura legacy activa (usos.tsv), aptitud_uso=NO-EVALUADA	SI	SIN-SUSTITUTO	SIN-CANDIDATO
