clon	rama	carril	cubeta	fecha_commit	cherry_plus_sin_equivalente	cherry_minus_con_equivalente	es_ancestro_de_main	n_archivos_exclusivos	calcs_sellados_exclusivos	es_anterior_a_gen1_cutoff	worktree_sucio	existe_en_origin	asunto
Modelado-Mexicano	main-ff	otro	CONTENIDO-EN-MAIN	2026-08-03T18:28:57-06:00	0	167	False	2	[]	True	False	False	Merge pull request #62 from Josanoforo/claude/barrido-escritorio-pendientes-422jaw
Modelado-Mexicano	marco-produccion-total	otro	CONTENIDO-EN-MAIN	2026-08-25T11:58:40-06:00	0	0	True	1	[]	True	True	False	ACTO MARCO-PRODUCCION-TOTAL: materializa 253, PARO en congelado/sorteo
Modelado-Mexicano	preservado/r3-1-merge-verificado-no-empujado	otro	CONTENIDO-EN-MAIN	2026-08-04T19:55:07-06:00	0	245	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/sesion/hitoD-r3-1-encig'
Modelado-Mexicano	sesion/b3-cierre-barrido-alcanzabilidad	sesion	CONTENIDO-EN-MAIN	2026-08-04T22:01:18-06:00	0	254	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/b3-cierre-barrido-alcanzabilidad
Modelado-Mexicano	sesion/barrido-alcanzabilidad-27fuentes	sesion	CONTENIDO-EN-MAIN	2026-08-03T18:42:00-06:00	0	167	False	2	[]	True	False	False	Barrido de alcanzabilidad: 5/5 fuentes SIN PAYLOAD dan RESPONDE, no re-auditadas desde 31/jul
Modelado-Mexicano	sesion/c06a-conf06-cifras	sesion	CONTENIDO-EN-MAIN	2026-08-04T22:20:20-06:00	0	257	False	1	[]	True	False	False	Merge pull request #111 from Josanoforo/claude/censo-estimabilidad-6qok9w
Modelado-Mexicano	sesion/c06b-conf06-encuci	sesion	CONTENIDO-EN-MAIN	2026-08-05T10:24:25-06:00	0	275	False	2	[]	True	False	False	Merge origin/main into sesion/c06b-conf06-encuci (2nd pass -- PR #122 landed after first merge)
Modelado-Mexicano	sesion/cal-conf-fasea	sesion	CONTENIDO-EN-MAIN	2026-07-31T10:15:23-06:00	0	130	False	3	[]	True	False	False	fix: la línea de hallazgos sobre raices.local.yaml disparaba T03 en CI
Modelado-Mexicano	sesion/cal-conf-faseb-cierre-p4-pos8-propaga8de14	sesion	CONTENIDO-EN-MAIN	2026-08-03T16:48:39-06:00	0	164	False	2	[]	True	False	False	Acto de canon: propaga contador Fase B a 8 de 14, registra cierre de P4, sella fila 8 de la cola
Modelado-Mexicano	sesion/cal-conf-faseb-medicion	sesion	CONTENIDO-EN-MAIN	2026-08-03T12:19:21-06:00	0	149	False	2	[]	True	False	False	CAL-CONF Fase B: mide la condicional para salud/educación/financiera (3 de 14)
Modelado-Mexicano	sesion/cal-conf-faseb-ola2	sesion	CONTENIDO-EN-MAIN	2026-08-03T13:30:42-06:00	0	153	False	2	[]	True	False	False	CAL-CONF Fase B, segunda ola: mide seguridad-FFAA/justicia-policía/electoral-partidos (6 de 14)
Modelado-Mexicano	sesion/cal-conf-faseb-pos4-endireh-descriptor	sesion	CONTENIDO-EN-MAIN	2026-08-03T20:09:13-06:00	0	178	False	2	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/cal-conf-faseb-pos4-endireh-descriptor
Modelado-Mexicano	sesion/cal-conf-faseb-pos4-endireh-paso1bis	sesion	CONTENIDO-EN-MAIN	2026-08-03T22:29:04-06:00	0	186	False	2	[]	True	False	False	Encargo F (mesa #18): ENDIREH paso 1-bis — verifica microdato contra el archivo, no el descriptor
Modelado-Mexicano	sesion/cal-conf-faseb-pos4-envipe-paso1	sesion	CONTENIDO-EN-MAIN	2026-08-03T22:08:31-06:00	0	185	False	2	[]	True	False	False	Merge origin/main into sesion/cal-conf-faseb-pos4-envipe-paso1
Modelado-Mexicano	sesion/cal-conf-faseb-pos4-envipe-tpervic2-tmodvic-paso1	sesion	CONTENIDO-EN-MAIN	2026-08-03T22:49:52-06:00	0	187	False	2	[]	True	False	False	Merge origin/main (PR #75): resuelve colisión de numeración §20 y append-only
Modelado-Mexicano	sesion/cal-conf-faseb-pos4-envipe-tpervic2-tmodvic-paso2	sesion	CONTENIDO-EN-MAIN	2026-08-04T00:33:47-06:00	0	192	False	2	[]	True	False	False	forense/bitacora.md: resuelve conflicto de stash pop (append-only)
Modelado-Mexicano	sesion/cal-conf-faseb-pos4-exposicion-violencia	sesion	CONTENIDO-EN-MAIN	2026-08-03T15:08:40-06:00	0	159	False	2	[]	True	False	False	Corrige rótulo del PR #57: BP1_20/23/28 no miden exposicion_violencia
Modelado-Mexicano	sesion/cal-conf-faseb-pos5-6-radio-familismo	sesion	CONTENIDO-EN-MAIN	2026-08-03T16:17:04-06:00	0	163	False	2	[]	True	False	False	Corrige §6: el párrafo que documentaba el defecto de T03 lo repetía
Modelado-Mexicano	sesion/cal-conf-faseb-pos8-encig-battxi	sesion	CONTENIDO-EN-MAIN	2026-08-03T15:19:05-06:00	0	160	False	2	[]	True	False	False	CAL-CONF Fase B, pos. 8 (paso 1): ENCIG batería XI no cubre financiera
Modelado-Mexicano	sesion/cal-enoe-fasea	sesion	CONTENIDO-EN-MAIN	2026-07-30T22:08:25-06:00	0	116	False	3	[]	True	False	False	CAL-ENOE Fase A: la compuerta 1 no pasa — ENOE no contiene desenlace
Modelado-Mexicano	sesion/calg3	sesion	CONTENIDO-EN-MAIN	2026-07-30T12:08:43-06:00	0	72	False	4	[]	True	False	False	Merge origin/main (PR #8 ADR-46, PR #9 ENCUCI) into sesion/calg3
Modelado-Mexicano	sesion/calg3-fasec	sesion	CONTENIDO-EN-MAIN	2026-07-30T18:26:55-06:00	0	93	False	3	[]	True	False	False	CAL-G3 Fase C: estimación descriptiva sobre las olas 2-3 del panel ENNViH
Modelado-Mexicano	sesion/calg3-hallazgo	sesion	CONTENIDO-EN-MAIN	2026-07-30T18:36:52-06:00	0	94	False	3	[]	True	False	False	hallazgos: CAL-G3 se pre-registró sin declarar a qué ocupaciones aplica TB33
Modelado-Mexicano	sesion/calg3-poder	sesion	CONTENIDO-EN-MAIN	2026-07-30T13:52:28-06:00	0	74	False	4	[]	True	False	False	CAL-G3: aritmética de poder sobre el panel completo — apilar dos transiciones no mueve CAL-C
Modelado-Mexicano	sesion/canon-p3-d5-d6-decision	sesion	CONTENIDO-EN-MAIN	2026-08-03T19:44:55-06:00	0	176	False	2	[]	True	False	False	Merge pull request #68 from Josanoforo/sesion/hitoD-r7-2-delito-sin-seguro
Modelado-Mexicano	sesion/cbis-deferencia-externas	sesion	CONTENIDO-EN-MAIN	2026-08-03T11:43:47-06:00	0	146	False	2	[]	True	False	False	C-bis: deferencia pasa a PROXY (Latinobarómetro P4NOIJ); LAPOP SIN REACTIVO, WVS y ENCUP quedan abiertas
Modelado-Mexicano	sesion/censo-diseno-muestral	sesion	CONTENIDO-EN-MAIN	2026-08-05T16:30:45-06:00	0	291	False	1	[]	True	False	False	Merge pull request #136 from Josanoforo/sesion/encargo-m3-b3-lote-reactivos
Modelado-Mexicano	sesion/corrida-idg3	sesion	CONTENIDO-EN-MAIN	2026-08-05T14:16:01-06:00	0	284	False	1	[]	True	False	False	ENCARGO CORRIDA-IDG3, commit 2: resultados — fila ID-X
Modelado-Mexicano	sesion/d2-descargas-endutih-mociba-enasem	sesion	CONTENIDO-EN-MAIN	2026-08-04T21:13:10-06:00	0	251	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/d2-descargas-endutih-mociba-enasem
Modelado-Mexicano	sesion/descarga-dirigida	sesion	CONTENIDO-EN-MAIN	2026-08-03T14:03:38-06:00	0	156	False	2	[]	True	False	False	Merge origin/main: reconcilia manifiesto.yaml y hallazgos.md (append-only)
Modelado-Mexicano	sesion/e-mxfls-g3-horizonte-ficha	sesion	CONTENIDO-EN-MAIN	2026-08-05T00:05:59-06:00	0	267	False	2	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/e-mxfls-g3-horizonte-ficha
Modelado-Mexicano	sesion/enasem-paso1-descriptor	sesion	CONTENIDO-EN-MAIN	2026-08-04T03:20:06-06:00	0	199	False	2	[]	True	False	False	Encargo S: ENASEM paso 1, descriptor sin microdato
Modelado-Mexicano	sesion/encargo-aa-clase-fuente	sesion	CONTENIDO-EN-MAIN	2026-08-04T15:59:06-06:00	0	221	False	1	[]	True	False	False	Encargo AA-fix: repara la línea base roja de PR #94
Modelado-Mexicano	sesion/encargo-e-envipe-g4	sesion	CONTENIDO-EN-MAIN	2026-08-05T00:12:54-06:00	0	269	False	2	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/encargo-e-envipe-g4
Modelado-Mexicano	sesion/encargo-m2-incognitas	sesion	CONTENIDO-EN-MAIN	2026-08-05T16:28:21-06:00	0	290	False	1	[]	True	False	False	Merge pull request #135 from Josanoforo/sesion/encargo-m2-incognitas
Modelado-Mexicano	sesion/encargo-m3-b3-lote-reactivos	sesion	CONTENIDO-EN-MAIN	2026-08-05T16:30:04-06:00	0	291	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/encargo-m3-b3-lote-reactivos
Modelado-Mexicano	sesion/encargo-w-coeficientes-generador	sesion	CONTENIDO-EN-MAIN	2026-08-04T11:38:32-06:00	0	203	False	2	[]	True	False	False	Encargo W paso 2: primera estimación empírica de tres coeficientes de generador (0 de 15 -> 3 de 15)
Modelado-Mexicano	sesion/encargo-w1-p-policial	sesion	CONTENIDO-EN-MAIN	2026-08-04T21:55:30-06:00	0	253	False	1	[]	True	False	False	ENCARGO W1-P: resultados -- composición policial DESCARTADA por la regla pre-registrada (2 de 3 ítems ESTABLE), señal concentrada en el estrato policial sin invertir signo
Modelado-Mexicano	sesion/encargo-x-condicionamiento-forma	sesion	CONTENIDO-EN-MAIN	2026-08-04T13:45:46-06:00	0	206	False	2	[]	True	False	False	Encargo X-bis paso 3: reconciliación de celdas contra el marginal
Modelado-Mexicano	sesion/encargo-y-tres-falsaciones-hitod	sesion	CONTENIDO-EN-MAIN	2026-08-04T13:23:16-06:00	0	206	False	2	[]	True	False	False	Encargo Y commit 3: cascada de contadores, una sola vez (ADR-55)
Modelado-Mexicano	sesion/encargo-z-cuatro-fichas-sin-fuente	sesion	CONTENIDO-EN-MAIN	2026-08-04T14:49:32-06:00	0	214	False	2	[]	True	False	False	Rider W1: marginal restringido al universo de cada eje, corrige el titular de §6
Modelado-Mexicano	sesion/encig-generico-beta-edad	sesion	CONTENIDO-EN-MAIN	2026-08-05T00:14:03-06:00	0	269	False	2	[]	True	False	False	Merge pull request #116 from Josanoforo/sesion/encargo-e-envipe-g4
Modelado-Mexicano	sesion/encuci	sesion	CONTENIDO-EN-MAIN	2026-07-30T11:51:34-06:00	0	69	False	4	[]	True	False	False	Merge origin/main (PR #8, ADR-46) into sesion/encuci
Modelado-Mexicano	sesion/encup-certificado-fijado	sesion	CONTENIDO-EN-MAIN	2026-08-03T23:36:08-06:00	0	188	False	2	[]	True	False	False	ENCUP: cadena TLS incompleta reparada honestamente, seis payloads registrados
Modelado-Mexicano	sesion/encup-paso1-deferencia	sesion	CONTENIDO-EN-MAIN	2026-08-04T00:43:33-06:00	0	193	False	2	[]	True	False	False	Merge origin/main (PR #79): resuelve conflicto append-only en hitoE
Modelado-Mexicano	sesion/encup-paso2-deferencia	sesion	CONTENIDO-EN-MAIN	2026-08-04T16:39:54-06:00	0	227	False	1	[]	True	False	False	PARO: ENCUP paso 2 (deferencia) — compuerta de premisa 2 no pasa
Modelado-Mexicano	sesion/enut	sesion	CONTENIDO-EN-MAIN	2026-07-30T21:31:50-06:00	0	115	False	3	[]	True	False	False	Baja las cinco ediciones de ENUT (base, descriptor, diccionario, DER); identifica los cinco DescargaMasiva_3072026_*.zip como el lanzador genérico del componente descargaMasivaV2, no una encuesta
Modelado-Mexicano	sesion/enut-paso1-familismo-obligacion	sesion	CONTENIDO-EN-MAIN	2026-08-04T00:45:51-06:00	0	193	False	2	[]	True	False	False	Merge pull request #80 from Josanoforo/sesion/encup-paso1-deferencia
Modelado-Mexicano	sesion/familismo-deferencia-reactivo	sesion	CONTENIDO-EN-MAIN	2026-07-31T15:39:46-06:00	0	141	False	3	[]	True	False	False	ENCARGO C: familismo_obligacion pasa a PROXY (ENUT 6.11/6.11a); deferencia queda NO DETERMINABLE, no límite permanente
Modelado-Mexicano	sesion/hitoD-r1-3-canal-confianza	sesion	CONTENIDO-EN-MAIN	2026-08-04T23:15:39-06:00	0	264	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/hitoD-r1-3-canal-confianza
Modelado-Mexicano	sesion/hitoD-r3-1-encig	sesion	CONTENIDO-EN-MAIN	2026-08-04T20:14:34-06:00	0	248	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/hitoD-r3-1-encig
Modelado-Mexicano	sesion/hitoD-r5-1-pension-bienestar	sesion	CONTENIDO-EN-MAIN	2026-08-04T02:15:51-06:00	0	197	False	2	[]	True	False	False	Merge origin/main into sesion/hitoD-r5-1-pension-bienestar
Modelado-Mexicano	sesion/hitoD-r7-2-delito-sin-seguro	sesion	CONTENIDO-EN-MAIN	2026-08-03T23:44:03-06:00	0	189	False	2	[]	True	False	False	Bitácora: cierra la sesión de Encargo J (ocho olas ENVIPE)
Modelado-Mexicano	sesion/inv-seg	sesion	CONTENIDO-EN-MAIN	2026-07-31T11:58:11-06:00	0	134	False	3	[]	True	False	False	INV-SEG: inventario de variables de segmentación y desenlace del motor
Modelado-Mexicano	sesion/inv-seg-p3	sesion	CONTENIDO-EN-MAIN	2026-07-31T13:44:12-06:00	0	137	False	3	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/inv-seg-p3
Modelado-Mexicano	sesion/inventario-descargas	sesion	CONTENIDO-EN-MAIN	2026-07-30T18:21:25-06:00	0	92	False	3	[]	True	False	False	hallazgos: origin/main obsoleto en el checkout compartido (R0)
Modelado-Mexicano	sesion/m1-ensanut-mapa	sesion	CONTENIDO-EN-MAIN	2026-08-05T16:10:29-06:00	0	289	False	1	[]	True	False	False	ENCARGO M-1: registra el número de PR en el encargo archivado
Modelado-Mexicano	sesion/manifiesto-escanea	sesion	CONTENIDO-EN-MAIN	2026-07-30T19:08:25-06:00	0	97	False	3	[]	True	False	False	manifiesto.py: añade --escanea para inventariar descargas fuera del repo
Modelado-Mexicano	sesion/manifiesto-promueve	sesion	CONTENIDO-EN-MAIN	2026-07-30T20:03:46-06:00	0	101	False	3	[]	True	False	False	Migra las 29 entradas ya promovidas a raiz: descargas_mx
Modelado-Mexicano	sesion/p-lapop-hallazgos-fix	sesion	CONTENIDO-EN-MAIN	2026-08-05T01:03:26-06:00	0	273	False	2	[]	True	False	False	Corrección de mesa: añade línea de acto P-LAPOP a forense/hallazgos.md
Modelado-Mexicano	sesion/p1-enigh-semilla	sesion	CONTENIDO-EN-MAIN	2026-07-31T14:44:40-06:00	0	138	False	3	[]	True	False	False	P1: ENIGH sirve como semilla IPF, conjunta completa en los 6 ejes
Modelado-Mexicano	sesion/p3-lca-segmentacion	sesion	CONTENIDO-EN-MAIN	2026-08-03T19:03:37-06:00	0	171	False	2	[]	True	False	False	P3: documenta la validacion sintetica del motor en §9 de la nota
Modelado-Mexicano	sesion/pb-descargas-f2	sesion	CONTENIDO-EN-MAIN	2026-08-04T20:07:50-06:00	0	245	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/pb-descargas-f2
Modelado-Mexicano	sesion/regla-elegibilidad-preregistro-r5-1	sesion	CONTENIDO-EN-MAIN	2026-08-04T04:04:28-06:00	0	202	False	2	[]	True	False	False	Encargo V: aterriza la regla de elegibilidad de la pensión y pre-registra un diseño por regla para R5.1
Modelado-Mexicano	sesion/s2-idg3-sello	sesion	CONTENIDO-EN-MAIN	2026-08-05T11:29:10-06:00	0	277	False	1	[]	True	False	False	ENCARGO S2-IDG3: propuesta de sello de la ficha ID-G3
Modelado-Mexicano	sesion/salud-alias-legacy	sesion	CONTENIDO-EN-MAIN	2026-07-31T13:24:27-06:00	0	136	False	3	[]	True	False	False	corpus/indice.yaml: report:salud es alias legacy de report:salud_cuerpo
Modelado-Mexicano	sesion/sens-estatus-examen-descriptor	sesion	CONTENIDO-EN-MAIN	2026-08-03T19:16:22-06:00	0	174	False	2	[]	True	False	False	Merge pull request #67 from Josanoforo/claude/locate-exposicion-violencia-mllrw5
Modelado-Mexicano	sesion/svystat-casos-referencia	sesion	CONTENIDO-EN-MAIN	2026-08-04T17:08:05-06:00	0	228	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/main' into sesion/svystat-casos-referencia
Modelado-Mexicano	tramite/absorbe-historico	otro	CONTENIDO-EN-MAIN	2026-09-07T19:14:23-06:00	0	0	True	2	[]	False	False	False	P1: T-CRON usa senal(), no warn() -- desacopla de baseline
Modelado-Mexicano	ver1-crudo	otro	CONTENIDO-EN-MAIN	2026-08-05T17:52:53-06:00	0	292	False	1	[]	True	False	False	ENCARGO VER-1: verificación cruda de cinco fuentes externas + codebook ENNViH
Modelado-Mexicano	verificacion-crc-eocd-corpus	otro	CONTENIDO-EN-MAIN	2026-08-06T02:04:57-06:00	0	304	False	1	[]	True	False	False	forense/notas/2026-08-06-verificacion-extraccion-crc-envipe2023.md: retira conclusión no sostenida por el barrido de EOCD
Modelado-Mexicano	worktree-mm-enut-paso1-familismo	otro	CONTENIDO-EN-MAIN	2026-08-04T01:12:18-06:00	0	195	False	2	[]	True	False	False	bitacora: cierra sesión -- ENUT paso 1 familismo_obligacion
Modelado-Mexicano	acto/maestra37-l2-mps-codebook-y-p3	acto	HISTORIA-GEN1	2026-09-03T16:18:17-06:00	2	0	False	2	[]	True	False	False	COMMIT-1: spec congelada MAESTRA37-L2 antes de abrir el cuestionario
Modelado-Mexicano	barrido1-1786050583	otro	HISTORIA-GEN1	2026-08-06T16:30:41-06:00	1	343	False	1	[]	True	False	False	T02: renombra el encargo a su fecha de redacción (7/ago) -- fecha duplicada con la nota colisionaba bajo normalización. Desviación de perímetro autorizada por mesa: el perímetro estaba mal escrito.
Modelado-Mexicano	ci-endurecido	otro	HISTORIA-GEN1	2026-08-06T11:35:48-06:00	1	313	False	1	[]	True	False	False	CI: fetch por refs/pull/N/merge, concurrency guard, permissions mínimos
Modelado-Mexicano	claude/explora-puertas-banxico-qnm3cn	claude	HISTORIA-GEN1	2026-08-06T11:59:27-06:00	1	314	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/main' into claude/explora-puertas-banxico-qnm3cn
Modelado-Mexicano	codex/curador-baseline-semantico	codex	HISTORIA-GEN1	2026-08-07T09:27:03-06:00	2	363	False	1	[]	True	False	False	docs(curador): usa nombre único para la guía
Modelado-Mexicano	codex/propaga-scoring-marco-post330-337	codex	HISTORIA-GEN1	2026-08-25T03:59:45-06:00	1	0	False	1	[]	True	False	False	docs: propaga estado post PR 330 y 337
Modelado-Mexicano	conf17-fetch	otro	HISTORIA-GEN1	2026-08-05T18:49:45-06:00	1	291	False	2	[]	True	False	False	ENCARGO CONF-17: apertura byte a byte de 17 candidatas del barrido público
Modelado-Mexicano	cruce1-1786051624	otro	HISTORIA-GEN1	2026-08-06T17:01:05-06:00	1	353	False	1	[]	True	False	False	Merge origin/main into cruce1-1786051624 (ABRIR-4/#159, BARRIDO-1/#157, ÍNDICE-2/#156)
Modelado-Mexicano	explora2-1786042858	otro	HISTORIA-GEN1	2026-08-06T14:34:04-06:00	1	333	False	1	[]	True	False	False	T03: quita backticks de raices.local.yaml -- rompía la línea base en checkout limpio
Modelado-Mexicano	int1-integridad-1786003491	otro	HISTORIA-GEN1	2026-08-06T02:58:13-06:00	1	311	False	1	[]	True	False	False	INT-1: segunda pasada de correccion T03 -- el primer arreglo reintrodujo el mismo defecto en el propio addendum
Modelado-Mexicano	map1-lector-1786000558	otro	HISTORIA-GEN1	2026-08-06T02:09:12-06:00	1	307	False	1	[]	True	False	False	Merge origin/main: incorpora verificación CRC/EOCD (PR #146)
Modelado-Mexicano	map1b-censo-1786000741	otro	HISTORIA-GEN1	2026-08-06T02:01:18-06:00	1	302	False	1	[]	True	False	False	nota MAP-1b: cita data/raices.local.yaml con ruta, no solo el nombre
