seccion	id	veredicto	cita
no-corrido.tsv	NC-0136	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0136 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0151	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0151 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-0153	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0153 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-0156	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0156 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-0159	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0159 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-0161	VENCIDO	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0161 (clase=ESPERA-FIRMA; FP-374=VENCIDA-EN-ALCANCE · FP-380=FIRMADA)
no-corrido.tsv	NC-0162	VENCIDO	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0162 (clase=ESPERA-FIRMA; FP-374=VENCIDA-EN-ALCANCE · FP-380=FIRMADA)
no-corrido.tsv	NC-0164	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0164 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0166	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0166 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-0170	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0170 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0194	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0194 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0202	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0202 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0210	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0210 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0212	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0212 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0218	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0218 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0228	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0228 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0234	VENCIDO	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0234 (clase=ESPERA-FIRMA; FP-374=VENCIDA-EN-ALCANCE)
no-corrido.tsv	NC-0236	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0236 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0246	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0246 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0247	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0247 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0251	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0251 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0253	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0253 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0257	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0257 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0258	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0258 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0259	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0259 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0260	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0260 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0270	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0270 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0272	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0272 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0273	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0273 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0276	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0276 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0278	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0278 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0279	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0279 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0280	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0280 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0284	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0284 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0285	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0285 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0287	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0287 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0289	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0289 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0290	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0290 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0291	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0291 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0292	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0292 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0294	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0294 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0296	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0296 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0297	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0297 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0298	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0298 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0299	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0299 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0301	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0301 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0303	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0303 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0305	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0305 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0307	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0307 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0308	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0308 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0310	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0310 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0311	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0311 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0313	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0313 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0314	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0314 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0316	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0316 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0318	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0318 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0320	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0320 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0321	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0321 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0322	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0322 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0323	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0323 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0324	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0324 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0326	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0326 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0327	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0327 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0331	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0331 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0332	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0332 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0335	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0335 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0341	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0341 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0346	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0346 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0348	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0348 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0352	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0352 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0353	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0353 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0360	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0360 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0362	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0362 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0364	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0364 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0365	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0365 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0370	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0370 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0373	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0373 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0374	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0374 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0375	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0375 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0376	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0376 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0381	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0381 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0382	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0382 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0383	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0383 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0384	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0384 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0385	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0385 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0388	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0388 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0392	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0392 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0393	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0393 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0394	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0394 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0395	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0395 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0396	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0396 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0398	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0398 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0399	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0399 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0400	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0400 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0401	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0401 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0403	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0403 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0410	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0410 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0412	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0412 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0413	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0413 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0414	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0414 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0418	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0418 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0423	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0423 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0424	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0424 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0426	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0426 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0427	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0427 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0429	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0429 (clase=ESPERA-FIRMA; FP-402=FIRMADA · FP-403=ABSORBIDA-POR:FP-398)
no-corrido.tsv	NC-0430	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0430 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0431	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0431 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0432	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0432 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0433	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0433 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0437	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0437 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0438	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0438 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0439	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0439 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0440	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0440 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0445	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0445 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0446	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0446 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-260921-GEN2-TUBERIA-SUCESOR-1-6e60-01	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-260921-GEN2-TUBERIA-SUCESOR-1-6e60-01 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-260921-GEN2-TUBERIA-SUCESOR-1-6e60-02	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-260921-GEN2-TUBERIA-SUCESOR-1-6e60-02 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-260921-GEN2-TUBERIA-SUCESOR-1-6e60-07	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-260921-GEN2-TUBERIA-SUCESOR-1-6e60-07 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0447	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0447 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0448	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0448 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-260921-GEN2-RELEVO-TANDA-3-7bf5-04	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-260921-GEN2-RELEVO-TANDA-3-7bf5-04 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0449	VIGENTE	forense/no-corrido.tsv razon=FUERA-DE-PERÍMETRO -- de DIRECCION: el encargo (s.9) declara data/corrida0/marcador-segmen
no-corrido.tsv	NC-0450	VIGENTE	forense/no-corrido.tsv razon=FUERA-DE-PERÍMETRO -- de GEN2-RELEVO-TANDA-3 (#942) o su sucesor: el test asevera un vered
no-corrido.tsv	NC-260921-MOTOR-THETA-CONGELADA-1-e8fa-01	DE-MESA	forense/no-corrido.tsv razon=DECISIÓN-DE-MESA-PENDIENTE
no-corrido.tsv	NC-260921-MOTOR-THETA-CONGELADA-1-e8fa-02	DE-MESA	forense/no-corrido.tsv razon=DECISIÓN-DE-MESA-PENDIENTE
no-corrido.tsv	NC-260921-GEN2-TUBERIA-SIDECAR-CUERPO-1-3d08-01	VIGENTE	forense/no-corrido.tsv razon=FUERA-DE-PERÍMETRO: el encargo (P-h) ordena literalmente «El verificador lo declara huérfa
no-corrido.tsv	NC-260921-GEN2-TUBERIA-SIDECAR-CUERPO-1-3d08-02	VIGENTE	forense/no-corrido.tsv razon=NO-VERIFICABLE-AQUÍ: el texto de esas adendas nunca llegó al árbol y no se puede derivar d [reclasificado: NO-VERIFICABLE-AQUI/PARO-ENTORNO por falta de herramienta (gh/scipy) o presupuesto de sesion, no por corpus/microdato/red -- no es DE-CAJA]
no-corrido.tsv	NC-260921-GEN2-TUBERIA-RES-LLAVE-1-5573-01	VENCIDO	forense/no-corrido.tsv razon=PARO-PREMISA
no-corrido.tsv	NC-260921-GEN2-TUBERIA-RES-LLAVE-1-5573-03	VIGENTE	forense/no-corrido.tsv razon=NO-VERIFICABLE-AQUÍ [reclasificado: NO-VERIFICABLE-AQUI/PARO-ENTORNO por falta de herramienta (gh/scipy) o presupuesto de sesion, no por corpus/microdato/red -- no es DE-CAJA]
no-corrido.tsv	NC-260921-GEN2-CELDA-D-PILOTO-3-COMMIT-1-v1_3-5870-02	VIGENTE	forense/no-corrido.tsv razon=DIFERIDO-A:D-22 ampliada (direccion, semilla v2.16): la enumeracion por herramienta debe c
no-corrido.tsv	NC-260921-GEN2-CELDA-D-PILOTO-3-COMMIT-2-3-v1_3-3619-01	DE-MESA	forense/no-corrido.tsv razon=DECISIÓN-DE-MESA-PENDIENTE: (a) adoptar el piso C2 no vencido (A-bis 6; champion_actual=C2
no-corrido.tsv	NC-260921-GEN2-RELEVO-TANDA-4-dedd-01	VIGENTE	forense/no-corrido.tsv razon=DIFERIDO-A:<sucesor sin dueno -- CALC de L desde capturas>
no-corrido.tsv	NC-260921-GEN2-RELEVO-TANDA-4-dedd-02	DE-MESA	forense/no-corrido.tsv razon=DECISIÓN-DE-MESA-PENDIENTE
no-corrido.tsv	NC-260921-GEN2-TUBERIA-CIERRE-SIN-CHOQUE-1-2707-01	DE-MESA	forense/no-corrido.tsv razon=DECISIÓN-DE-MESA-PENDIENTE: el propio encargo declara que no tener gh no es PARO (§9); que
no-corrido.tsv	NC-260921-GEN2-MARCADOR-E-INFORME-1-48d4-01	VENCIDO	forense/no-corrido.tsv razon=PARO-PREMISA: re-sellar el snapshot seria editar un sello (PARO (b) del encargo) y esta fu
no-corrido.tsv	NC-260921-GEN2-MARCADOR-E-INFORME-1-48d4-02	DE-MESA	forense/no-corrido.tsv razon=DECISION-DE-MESA-PENDIENTE: la firma F8 (FP-260921-GEN2-TRAMITE-FIRMAS-4-8a1f-08) lo veda 
no-corrido.tsv	NC-260921-GEN2-MARCADOR-E-INFORME-1-48d4-03	VIGENTE	forense/no-corrido.tsv razon=NO-VERIFICABLE-AQUI: un IC que la corrida no sello no se reconstruye desde el repo, y fabr [reclasificado: NO-VERIFICABLE-AQUI/PARO-ENTORNO por falta de herramienta (gh/scipy) o presupuesto de sesion, no por corpus/microdato/red -- no es DE-CAJA]
no-corrido.tsv	NC-260921-GEN2-MARCADOR-E-INFORME-1-48d4-04	DE-CAJA	forense/no-corrido.tsv razon=NO-VERIFICABLE-AQUI: el exacto necesita scipy (no instalable como obstaculo barato sin cam
no-corrido.tsv	NC-260921-GEN2-ENIGH2024-RESERVA-Y-DISENO-1-b7ae-01	DE-CAJA	forense/no-corrido.tsv razon=PARO-ENTORNO -- el encargo asigna el entorno NUBE milpa-inegi y dice que se reconoce por l
no-corrido.tsv	NC-260921-GEN2-CORPUS-INTEGRIDAD-Y-RESPALDO-1-3d56-01	DE-MESA	forense/no-corrido.tsv razon=DECISIÓN-DE-MESA-PENDIENTE: mesa contesto «Sin destino por ahora» a la bifurcacion del §2;
no-corrido.tsv	NC-260921-GEN2-CORPUS-INTEGRIDAD-Y-RESPALDO-1-3d56-02	DE-MESA	forense/no-corrido.tsv razon=DECISIÓN-DE-MESA-PENDIENTE: el encargo lo fija como sucesor (§10: «decision de mesa sobre 
no-corrido.tsv	NC-260921-GEN2-DIN-CREDITO-HISTORIA-1-ff56-01	DE-MESA	forense/no-corrido.tsv razon=DECISIÓN-DE-MESA-PENDIENTE: sería la quinta corrida y el CONTADOR del encargo «sella hasta
no-corrido.tsv	NC-260921-GEN2-DIN-CREDITO-HISTORIA-1-ff56-03	DE-MESA	forense/no-corrido.tsv razon=DECISIÓN-DE-MESA-PENDIENTE: exige recortar 2021 a 18-70 (población de 2012-2018 por diseño
no-corrido.tsv	NC-260921-GEN2-DIN-LOTE-ENIF2024-A-a98a-01	VIGENTE	forense/no-corrido.tsv razon=DIFERIDO-A:mesa corre el paquete L por CLI sin API (FP-228); el encargo lo declara en su §
