herramienta	descripcion
tools/nc_por_clase.py	nc_por_clase.py -- clasifica las NC ABIERTAS de `forense/no-corrido.tsv` POR LO
tools/nc_por_razon.py	tools/nc_por_razon.py -- cuenta NC de `forense/no-corrido.tsv` por token de
tools/p0_calendario_pel.py	ACTO MAESTRA34-L6 · P0 — tabla de tratamiento de la homologacion escalonada.
tools/pines_mesa.py	Canal de PINES DE MESA -- ACTO GEN2-RELEVO-TANDA-3, P1 y P2.
tools/pisos_ejes.py	Motor compartido de los pisos GEN2 por eje.
tools/preflight_calc_tocados.py	preflight sobre los CALC SIN SELLO que un cambio añade o toca.
tools/prepara_corpus.py	Prepara un worktree para resolver un conjunto cerrado de payloads.
tools/prepara_oecd_pum_docx.py	Completa sólo los campos técnicos del formulario OECD Trust Survey PUM.
tools/prospectividad.py	Rótulo PROSPECTIVA / RETROSPECTIVA del marcador -- ACTO GEN2-MARCADOR-E-INFORME-1 · P2.
tools/publica_motral2015_valoracion.py	Publica la tabla larga de estimandos sellados de MOTRAL 2015.
tools/publica_shed2025_bnpl_dano.py	Materializa agregados legibles del RESULT sellado de SHED 2025.
tools/readme_derivado.py	Refresca las cifras de `corrida0.py status` en la tabla derivada de README.md.
tools/recorre_mordida_con_registro_encig25.py	ACTO MAESTRA35-L1 · P1 · `tramite.mordida.con_registro` recorrida SIN deduplicar.
tools/recupera_reactivos_fd.py	ACTO GEN2-RESIDUAL-81-1 — recupera enunciados de reactivo desde la capa FD ya indexada.
tools/reempareja.py	SIN-DOCSTRING
tools/relevo_candidatos_delta.py	Prepara y decide los CANDIDATO-GEN2 vigentes sin adoptar consumidores.
tools/relevo_usos.py	`relevo-usos` -- ACTO GEN2-RELEVO-USOS-1 · cablea la ultima milla.
tools/renderiza_pagina.py	Renderiza páginas con el navegador real de la caja (Chrome/Edge de Windows, headless) y
tools/resuelve_citas.py	Resuelve una cita `RES-####` / `CORR-####` AL MOMENTO EN QUE SE ESCRIBIO.
tools/rutas_sin_candidato.py	Clasifica el residual SIN-CANDIDATO sin inferir equivalencias científicas.
tools/rutinas.py	Reglas deterministas compartidas por `/revisa`, `/despacha` y `/tramite`.
tools/score_marco_m.py	Adaptador marco-M -> entrada de `forense/prereg-duelo-v2/scoring-adv1-m3.py`.
tools/sella_sha256.py	tools/sella_sha256.py -- sella o verifica el sidecar sha256 de un
tools/sello_externo.py	Manifiesto de sellos GEN2 y su atestación externa (D-a1..D-a6, GEN2-TUBERIA-SELLO-EXTERNO-1).
tools/snapshot_motor_gen2.py	Construye el snapshot reproducible del emisor GEN2 explícito.
tools/tablero_programa.py	tablero_programa.py -- deriva los indicadores del TABLERO DEL PROGRAMA desde el
tools/tablero_vista.py	tablero_vista.py -- vista visual del TABLERO DEL PROGRAMA, para leerse en diez segundos.
tools/tasas_base_corresidencia_actual.py	ACTO MAESTRA33-C1 · RE-SPEC-CORRESIDENCIA — COMMIT-2
tools/tasas_base_fase1.py	ACTO MAESTRA32-E18 · REGLAS-OLA5-FASE1 — COMMIT-2
tools/tasas_base_ola6_activos.py	ACTO MAESTRA33-E18-P3 · REGLAS-OLA6-ACTIVOS-L1 — COMMIT-2 por regla
tools/valida_envipe_independiente.py	Validación independiente y producto gráfico de la serie ENVIPE p(C1,U1).
tools/verifica_aislada.py	Ejecuta ``corrida0 verify`` en un intérprete nuevo por CALC.
tools/verifica_encargos_gen2.py	`tools/verifica_encargos_gen2.py` -- ACTO GEN2-PRE-E5 ·
tools/verifica_head_remoto.py	tools/verifica_head_remoto.py -- guard de sólo lectura: HEAD local ==
tools/verifica_shed2025_bnpl_independiente.py	Control independiente de dos cocientes SHED; no importa el medidor.
tools/verifica_sidecars.py	tools/verifica_sidecars.py -- recorre los sidecars sha256 de
tools/vista.py	ACTO GEN2-TUBERIA-VISTA-NORMALIZADA-2/-3 · reconstruye la fila completa
tools/vista_cola_adquisicion.py	Regenera data/cola-adquisicion-v1_0.tsv como VISTA (P3, MAESTRA33-A5).
tools/ya_medido.py	ya_medido.py — ¿esta regla ya se midió, en algún lado del repo?
