# PINES DE MESA -- canal de relevo por FIRMA, ACTO GEN2-RELEVO-TANDA-3 (P1/P3).
# NO ES DERIVADO: cada fila es una firma de mesa y se escribe a mano, con su
# origen en la columna `firma`. Lo que si es mecanico son las GUARDAS de 4.1
# que `tools/pines_mesa.py:valida_pin` aplica a cada fila antes de que mueva
# un solo contador; un pin que no pasa se rechaza con codigo y no tumba a los
# demas.
#
# `llave_logica` NO lleva ruta, ni version, ni `RES-####`: esos ids son
# posicionales y la ruta con version no sobrevive a una rotacion del marco
# (mesa TUBERIA, caso sintetico del 20/sep/2026). La traduccion
# consumidor <-> llave vive en un solo sitio, `tools/pines_mesa.llave_logica`.
#
# `via`: `i-CRUDO` = la cifra la produce codigo GEN2 desde un insumo crudo con
# hash. `ii-CONDUCTA-GEN2` = la lectura es de una conducta del motor que ya
# tiene procedencia GEN2, y el pin cita el RESULT de ESA conducta.
# `iii-DERIVADO-DE-GEN2` (ACTO GEN2-RELEVO-TANDA-4, P3; firma de direccion
# 7bf5-02 bajo el mandato de mesa del 21/sep/2026) = la cifra es una
# transformacion determinista de un RESULT de un CALC GEN2 sellado que cuenta
# y cuyo replay es afirmativo en el eje RESULTADO; TODO lo ingerido es de ese
# unico padre, y un derivado de un derivado NO entra.
llave_logica	result_gen2	calc_gen2	via	firma	nota
marco-M::CIV-M-12::M	RESULT-ENVIPE-DEN-P-C2-U4	CALC-ENVIPE-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	conducta denuncia_con_miedo_o_desconfianza (milpa/tramite.yaml:636), que M-<celda>.json cita en cita_p
marco-M::CIV-M-13::M	RESULT-ENVIPE-DEN-P-C2-U4	CALC-ENVIPE-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	conducta denuncia_con_miedo_o_desconfianza (milpa/tramite.yaml:636), que M-<celda>.json cita en cita_p
marco-M::FAM-M-01::M	RESULT-DFVEJEZ-A-P-RECIBE	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	conducta recibe_dinero_familiares_para_vejez (milpa/tramite.yaml:856), citada en cita_p de M-FAM-M-01.json
marco-M::TRA-M-02::M	RESULT-ENCIG-MOR-A-P-SOL1	CALC-ENCIG-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	conducta paga_mordida_encig2025 (milpa/tramite.yaml:62), citada en cita_p de M-<celda>__v1_3.json
marco-M::TRA-M-03::M	RESULT-ENCIG-MOR-A-P-SOL1	CALC-ENCIG-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	conducta paga_mordida_encig2025 (milpa/tramite.yaml:62), citada en cita_p de M-<celda>__v1_3.json
marco-M::TRA-M-07::M	RESULT-ENCIG-MOR-A-P-SOL1	CALC-ENCIG-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	conducta paga_mordida_encig2025 (milpa/tramite.yaml:62), citada en cita_p de M-<celda>__v1_3.json
tramite::dinero.ahorro.horizonte_corto::horizonte_no_corto	RESULT-ENIF-AHO-A-P-NOCORTO-SIN-P	CALC-ENIF-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.8 del 21/sep/2026)	P4 · RES-0047. CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1 declara por C2 el mismo relevo y el registro no puede decidir solo: CONFLICTO-ENTRE-CANALES (NC-0244). 4.8: entre dos candidatos con el mismo valor manda el mas cercano al dato crudo -- CALC-ENIF-0001 lee el microdato ENIF 2024; el otro deriva. El consumidor ya cita este RESULT (milpa/tramite.yaml:1305) y el pin NO lo pisa: solo cierra el conflicto en la vista.
tramite::dinero.ahorro.horizonte_no_corto_con_seguridad_social::horizonte_no_corto	RESULT-ENIF-AHO-A-P-NOCORTO-CON-P	CALC-ENIF-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.8 del 21/sep/2026)	P4 · RES-0049. Mismo conflicto y misma resolucion que RES-0047; el consumidor ya cita este RESULT (milpa/tramite.yaml:1352).
marco-M::FAM-M-05::M	RESULT-B-ENIGH-2022-P	CALC-B-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md · 21/sep/2026 · §2 (firma de direccion 7bf5-01, mandato de mesa del 21/sep/2026)	CONTEXTO declarado (guarda (a) por eje, P1): replay-evidencia.tsv:29 · CALC-B-0001 = REPLICA-RESULTADO · CONTEXTO-DISTINTO; el eje RESULTADO replica y el CONTEXTO difiere por UN input, IN-B-SELECTOR (tools/baseline_temporal.py cambio en 67aa13d, 11/sep/2026, despues del sello). Los CUATRO inputs ENIGH COINCIDEN: el numero de ENIGH 2022 no lo toca ese commit. La lectura ::R de esta celda ya estaba pineada por via (i).
marco-M::FAM-M-06::M	RESULT-B-ENIGH-2022-P	CALC-B-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md · 21/sep/2026 · §2 (firma de direccion 7bf5-01, mandato de mesa del 21/sep/2026)	CONTEXTO declarado (guarda (a) por eje, P1): replay-evidencia.tsv:29 · CALC-B-0001 = REPLICA-RESULTADO · CONTEXTO-DISTINTO; el eje RESULTADO replica y el CONTEXTO difiere por UN input, IN-B-SELECTOR (tools/baseline_temporal.py cambio en 67aa13d, 11/sep/2026, despues del sello). Los CUATRO inputs ENIGH COINCIDEN: el numero de ENIGH 2022 no lo toca ese commit. La lectura ::R de esta celda ya estaba pineada por via (i).
marco-M::FAM-M-07::M	RESULT-B-ENIGH-2022-P	CALC-B-0001	ii-CONDUCTA-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md · 21/sep/2026 · §2 (firma de direccion 7bf5-01, mandato de mesa del 21/sep/2026)	CONTEXTO declarado (guarda (a) por eje, P1): replay-evidencia.tsv:29 · CALC-B-0001 = REPLICA-RESULTADO · CONTEXTO-DISTINTO; el eje RESULTADO replica y el CONTEXTO difiere por UN input, IN-B-SELECTOR (tools/baseline_temporal.py cambio en 67aa13d, 11/sep/2026, despues del sello). Los CUATRO inputs ENIGH COINCIDEN: el numero de ENIGH 2022 no lo toca ese commit. La lectura ::R de esta celda ya estaba pineada por via (i).
tramite::civico.denuncia.miedo_desconfianza::denuncia_por_otra_razon	RESULT-ENVIPE-RES0028-Q-C2-U4	CALC-ENVIPE-RES0028-U4-DERIVADO-0001	iii-DERIVADO-DE-GEN2	forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md · 21/sep/2026 · §2 (firma de direccion 7bf5-02, mandato de mesa del 21/sep/2026; cuenta_gen2 del derivado por firma 3A, decisiones.tsv:171)	Clase (iii): CALC-ENVIPE-RES0028-U4-DERIVADO-0001 es q=1-p, transformacion determinista sobre RESULT-ENVIPE-DEN-P-C2-U4 del padre CALC-ENVIPE-0001 (SELLADA · GEN2 · cuenta_gen2=SI · replay REPRODUCE/IDENTICO). TODO lo ingerido (resultados.json, spec.yaml, sello.json, sello.sha256) es del padre; cero insumos GEN1; el padre no ingiere. Estimando persona/U4 por FP-391 (decisiones.tsv:161). Replay propio: REPRODUCE/IDENTICO (replay-evidencia.tsv:109). NOTA P-O (GEN2-ADOPCION-BLOQUE-Y-PINES-1, 24/sep/2026): NO estaba huerfana -- verificado por comando (corrida0._filas_registro -> avisos: "PIN-SOBRE-CONSUMIDOR-YA-MARCADO"). La llave sigue vigente; el consumidor (milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon) ya declara corrida0_generacion=GEN2 por el escritor de RES-0028 (tools/escribe_relevo_consumo.py, PR #1080, fusionado antes de este pin): el pin queda ACEPTADO por pines_mesa.valida_pin pero inerte por diseno (manda el consumidor, no el pin) -- correcto, no se re-apunta ni se retira.
catalogo-momentos::M08	RESULT-ENVIPE-SEG-CON-P-DENUNCIA	CALC-ENVIPE-DENUNCIA-SEGURO-0001	i-CRUDO	forense/encargos/2026-09-24-GEN2-ADOPCION-BLOQUE-Y-PINES-1.md · 24/sep/2026 · §2 (firma N)	Momento 08 (milpa/catalogo-momentos-v0_1.tsv, objeto_modelo civico.denuncia.con_seguro, nivel persona) se acota a unidad DELITO: CALC-ENVIPE-DENUNCIA-SEGURO-0001 mide sobre ENVIPE 2025, universo BPCOD=01 (robo total de vehiculo, unico con masa en BP2_1) x BP2_1 en {1,2}, n=402/1016, cobertura_seguro=1 -- no el registro PERSONA/ENIGH 2022 que universo_instrumento declara (cotejo-documental-catalogo.md momento 08: CANDIDATO EXACTO SOLO PARA ROBO TOTAL DE VEHICULO, UNIDAD DELITO). NO-REPRODUCE-GEN1 rotulado: no reproduce la regla asignada de milpa/procedencia.yaml:859-862 (civico.denuncia.con_seguro, valores=[0.78,0.22], fuente_citada=ENVIPE2025 pero clase ASIGNADO -- "ENVIPE no publica esta condicional en esa forma"); el valor medido aqui (0.790906/0.209094) es cercano pero de OTRA unidad y OTRA clase de evidencia (medido, no asignado). Guarda (a)-(d) de 4.1 validadas por comando (pines_mesa.valida_pin -> ACEPTADO): SELLADA, cuenta_gen2=SI, replay REPRODUCE/IDENTICO (corridas.tsv), input envipe2025_csv origen=manifiesto (via i), sin ingestion de resultados.json ajeno. valor_de() de milpa/src/momentos.py no consume esta cita en E0 para AJUSTE (NotImplementedError deliberado, linea 130-134): el pin mueve la trazabilidad de dependencias_numericas_legacy_activas, no el motor.
