necesidad_id	fuente_canonica	objeto_evidencia_id	tipo_evidencia	evidencia_ref	evidencia_localizador	variable_reactivo_tabla	texto_evidencia	unidad_observacion	periodo	universo_muestra	codificacion	parte_necesidad_cubierta	parte_necesidad_no_cubierta	uso_potencial_modelo	transformacion_requerida	incertidumbre	traza_revision	siguiente_accion
N10	ENFIH	OE-9b56ce01d359ba88ae40d6b7	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Horizonte temporal coobservado con violencia/justicia en el mismo instrumento.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N10 / ENFIH / OE-9b56ce01d359ba88ae40d6b7.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N11	ENFIH	OE-c90c4a61a41208f3f31b9b3c	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Sensibilidad de estatus coobservada con desenlace de violencia/justicia.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N11 / ENFIH / OE-c90c4a61a41208f3f31b9b3c.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N12	ENBIARE2021	OE-7f44fa3fa8c7613438913dd6	APERTURA_SIN_PAR_COMPLETO	MAIN:forense/matriz-impacto-universal-2026-08-06.md	L81-L86	NO_DETERMINADO	La matriz local registra orientación futura y redes en ENBIARE, pero advierte que no sustituyen automáticamente el diseño ni prueban el desenlace coobservado de esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Apoyo familiar no circular, coobservado con conducta de seguro/afrontamiento ante ausencia estatal.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/matriz-impacto-universal-2026-08-06.md, localizador L81-L86, y se contrastó únicamente con N12 / ENBIARE2021 / OE-7f44fa3fa8c7613438913dd6.	Abrir cuestionario/diccionario ENBIARE y localizar texto, codificación y llave del reactivo junto con el desenlace requerido.
N12	ENFIH	OE-feb025d87b3cf3747adeb5d3	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Apoyo familiar no circular, coobservado con conducta de seguro/afrontamiento ante ausencia estatal.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N12 / ENFIH / OE-feb025d87b3cf3747adeb5d3.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N13	ENFIH	OE-3ac182b073f5f5ffdaae010c	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Obligación familiar explícita coobservada con conducta real de cuidado.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N13 / ENFIH / OE-3ac182b073f5f5ffdaae010c.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N14	ENBIARE2021	OE-13d0bcd20755243644c9b7bd	APERTURA_SIN_PAR_COMPLETO	MAIN:forense/matriz-impacto-universal-2026-08-06.md	L81-L86	NO_DETERMINADO	La matriz local registra orientación futura y redes en ENBIARE, pero advierte que no sustituyen automáticamente el diseño ni prueban el desenlace coobservado de esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/matriz-impacto-universal-2026-08-06.md, localizador L81-L86, y se contrastó únicamente con N14 / ENBIARE2021 / OE-13d0bcd20755243644c9b7bd.	Abrir cuestionario/diccionario ENBIARE y localizar texto, codificación y llave del reactivo junto con el desenlace requerido.
N14	ENFIH	OE-e5b64d206242e1e5d68b33ad	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N14 / ENFIH / OE-e5b64d206242e1e5d68b33ad.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N15	GLOBAL_PREFERENCES_SURVEY	OE-bc25d290ec6b244df97af048	FUENTE_SIN_REACTIVO_LOCAL	MAIN:forense/hitoE-campana-medicion-v2_0.md	L274-L287	NO_DETERMINADO	El inventario local no presenta reactivo concreto ni desenlace coobservado para deferencia en esta fuente.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Proxy de deferencia con diseño publicado y desenlace laboral/comunicacional en la misma muestra.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L274-L287, y se contrastó únicamente con N15 / GLOBAL_PREFERENCES_SURVEY / OE-bc25d290ec6b244df97af048.	Abrir cuestionario y datos México; buscar proxy de deferencia y outcome laboral/comunicacional en la misma muestra.
N15	LATINOBARÓMETRO	OE-6f933b74f8ae06c8c38d7f95	CUESTIONARIO_SIN_MICRODATO	MAIN:forense/hitoE-campana-medicion-v2_0.md	L1116	NO_DETERMINADO	El cuestionario local identifica P4NOIJ como proxy de obediencia, pero el microdato no está registrado; para otras necesidades no hay mapeo de reactivo y desenlace.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Proxy de deferencia con diseño publicado y desenlace laboral/comunicacional en la misma muestra.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L1116, y se contrastó únicamente con N15 / LATINOBARÓMETRO / OE-6f933b74f8ae06c8c38d7f95.	Obtener el microdato bajo la licencia aplicable y mapear reactivo, codificación y desenlace para México.
N17	ENFIH	OE-fa212ce30e2252b97058dc83	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N17 / ENFIH / OE-fa212ce30e2252b97058dc83.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N17	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-cc29c4ba6e48f5510aee5877	DOCUMENTO_INDEXADO_SIN_MAPEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L15	NO_DETERMINADO	El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	SATISFACE-UMBRAL-DOCUMENTAL	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L15, y se contrastó únicamente con N17 / INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO / OE-cc29c4ba6e48f5510aee5877.	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.
N19	ENIF	OE-36d56b41c418e28901c021de	INSTRUMENTO_LOCAL_PARCIAL	MAIN:forense/hitoE-campana-medicion-v2_0.md	L999-L1116	NO_DETERMINADO	ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La relación requiere un objeto de evidencia concreto todavía no mapeado.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L999-L1116, y se contrastó únicamente con N19 / ENIF / OE-36d56b41c418e28901c021de.	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.
N19	PI	OE-bbfe0ee94abe5623f3a73de8	FUENTE_INDEXADA_SIN_APERTURA	MAIN:data/mapa-fuentes-2026-08-06.tsv	L110	NO_DETERMINADO	Portafolio de Información aparece en el mapa, sin payload, tabla o diccionario abierto asociado a esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La relación requiere un objeto de evidencia concreto todavía no mapeado.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-fuentes-2026-08-06.tsv, localizador L110, y se contrastó únicamente con N19 / PI / OE-bbfe0ee94abe5623f3a73de8.	Resolver el recurso canónico de PI y abrir la tabla/diccionario específico antes de adjudicar.
N20	ENFIH	OE-9ef5332d117f6e0df34c9570	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Denuncia coobservada con tenencia/activación de seguro.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N20 / ENFIH / OE-9ef5332d117f6e0df34c9570.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N20	ENIF	OE-771b0085e69c873c2e587abe	INSTRUMENTO_LOCAL_PARCIAL	MAIN:forense/hitoE-campana-medicion-v2_0.md	L999-L1116	NO_DETERMINADO	ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Denuncia coobservada con tenencia/activación de seguro.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L999-L1116, y se contrastó únicamente con N20 / ENIF / OE-771b0085e69c873c2e587abe.	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.
N24	ENIF	OE-6ef40dafb8aa2ce4de4aab6f	INSTRUMENTO_LOCAL_PARCIAL	MAIN:forense/hitoE-campana-medicion-v2_0.md	L999-L1116	NO_DETERMINADO	ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La relación requiere un objeto de evidencia concreto todavía no mapeado.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L999-L1116, y se contrastó únicamente con N24 / ENIF / OE-6ef40dafb8aa2ce4de4aab6f.	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.
N24	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	OE-eddca7ca14da62ef97c9048e	INDEXADO_NO_DESCARGADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	L4	NO_DETERMINADO	El reporte está indexado pero no descargado; no existe tabla local verificable para la relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	INDEXADO-NO-DESCARGADO	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv, localizador L4, y se contrastó únicamente con N24 / REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES / OE-eddca7ca14da62ef97c9048e.	Recuperar el reporte canónico y localizar tabla, pregunta, muestra, periodo y codificación de confianza/uso.
