fuente_canonica	regla_resolucion	payloads_n	payloads_sha256	representaciones	objetos_e2	evidencia_resolucion	relaciones_n	relaciones_sha256	estado_cobertura
ENVIPE	R1-ID-MANIFIESTO-EN-LEDGER+R7-SLUG-DE-PROGRAMA-INEGI	76	68c5cb7b65a976759cdb5d8096297be229f668ce7572d0257bad924508aef7a6	76	71674	ledger:payload_id=envipe2025_csv | union R7 slug programas/envipe: envipe2018_csv;envipe2018_cuest_modulo_pdf;envipe2018_cuest_principal_pdf	3	6ddb3eb35325564e4cefcdd4c39c6dc6bef921de846d1068bb4091f2848c005e	CON-MATERIAL
ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	e3f648af0a955e557ee90951993cbe4fa73c24ae22eabe45dc1f22b8858579c2	SIN-MATERIAL-OBSERVADO
EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	6cfc635272d877185f34a27d88dda3d949de55305e82bef0be09bde690b91376	SIN-MATERIAL-OBSERVADO
FABLE	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	19cca2bb4a5693f0d6d8df801785d1431d3a19be513fdb02605cbec69e8c9e70	SIN-MATERIAL-OBSERVADO
FINANZAS	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	5	a3cd1c690de3fc775c9dc28e0086c13930f6f85f6a7b8e03dc9e7c4232770e79	SIN-MATERIAL-OBSERVADO
FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	c95f93ebd350a41cd1d8df24a1e25415310956b486ea998cb794494e5773bdc4	SIN-MATERIAL-OBSERVADO
GDELT	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	4	244a5c9be9f286e6638c48167aa955e8163d987dc080c16a2ae5b973881e9ded	SIN-MATERIAL-OBSERVADO
GLOBAL_PREFERENCES_SURVEY	R5-CADENA-CANONICA-EN-USADO-PARA	4	9f60ad6c10042231beeade522f5f0c54653771ba58a95681a8c403626f21a07e	4	329	manifiesto:usado_para nombra la fuente canonica literal	1	0b5cbf60045b93fa8a696e4e3e428b91b9e43ab7d69f57b0f1ac8a462c558d95	CON-MATERIAL
GPS	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	6	9df58bc24bed1c76c060dd87f067b40ecf5a514fa6b4de5dc0168bbdf1f76770	SIN-MATERIAL-OBSERVADO
HOMESCAN_CONSUMER_PANEL_SERVICES	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	5c1a7da4cb5eca7e943ff438b9e1b580bc8ece57a5c097406117cc9e2e4e2c8f	SIN-MATERIAL-OBSERVADO
IMPACT_EVALUATION_OF_MOBILE_PEDAGOGICAL_TUTORS_2016	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	b677dc6c5d903b203a726f9d96642abba2648cb9165b9606c85462c005783f0a	SIN-MATERIAL-OBSERVADO
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	R5-CADENA-CANONICA-EN-USADO-PARA	5	ccaa664dc980ccf8af010e599704de87df8d97a0731023970149dadaf9af8fad	5	82893	manifiesto:usado_para nombra la fuente canonica literal	1	31048acc66d08810980f940ab496c6adff3c455387ab31d9ccf2ec4e85e843c6	CON-MATERIAL
IMSS	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	5e6ab62f096929896b0ee3d14cd74c9f26c7167709a9be39e826b041904f069e	SIN-MATERIAL-OBSERVADO
INE	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	4214dbe787fb2892d8a4724f278f7faebc1369aa1b1daa18bdec0eadbd34f56c	SIN-MATERIAL-OBSERVADO
INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	3	2a2874637ddc6f4f6c37e847d70c7d5330d5764d8c04b26ef22da7432f61616a	SIN-MATERIAL-OBSERVADO
ISSP	R1-ID-MANIFIESTO-EN-LEDGER	2	fc6eeced2b4fbcb806e963d60621fe60e978d13588ebf15f4c9e9bde88d55f8e	2	203	ledger:payload_id=za5900_q_mx;za6980_q_mx	14	1a289ebb360b680dddf59230e3c8aa2e3e3828ffe24249a3e4c0030c9ab1222c	CON-MATERIAL
LAPOP	R3-TOKEN-CONTRA-ID-MANIFIESTO	1	0025d0c88ab92ae20919ca131c73f9d6a16cce88a859593e2ee526160258e6a4	1	1152	manifiesto:id=lapop_abmex2023_cuestionario_mexico	1	46677be503339c2e57567cc3dcfafa4777c2036d59c3a6f33c9b2f66f4f478af	CON-MATERIAL
LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	R5-CADENA-CANONICA-EN-USADO-PARA	4	8b1d122d30dac375ff4398baab3e5d0f1d14ea7b6c0db849e5feba2739e47c25	4	8853	manifiesto:usado_para nombra la fuente canonica literal	1	cb92efade6b48baf9583db11665ce85c535f87ad2bf30ad3569ec2c9f82afc0a	CON-MATERIAL
LATINOBARÓMETRO	R1-ID-MANIFIESTO-EN-LEDGER	1	9ae493a8216704ad954ae6b9116a229216318f04a9824fa85f62c0954dec2fe2	1	321	ledger:payload_id=latinobarometro2024_cuestionario_esp	2	1c8c565f1914fa04b84e75a92ceda16b2b5ec86e4132da83c64def87b15e34b7	CON-MATERIAL
MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	d4daaf13137619c1576a0f6c02165de025b04876a4e7db1297a249abc27f530e	SIN-MATERIAL-OBSERVADO
MASS_MOBILIZATION_PROTEST_DATA	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	14c6a9c84caa872f94b27af45bc3b38f68e77e59262be3bae91a9edd87bf3564	SIN-MATERIAL-OBSERVADO
MASS_MOBILIZATION_PROTEST_DATA_MEXICO	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	d4992361607ccf1abf9156fc246dcd5e9f6150da5753e1fbfd2050c86a3e85e4	SIN-MATERIAL-OBSERVADO
MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	3	b29c1138a63c57053e26157edd8651cf28ca6dbf06bee65fb7f4d4868fb1e94d	SIN-MATERIAL-OBSERVADO
MEXICO_PANEL_STUDY_2012	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	82ee438f3393d71b221887b92c538030c6aa675ff3f93d0df89f787cf4f3b4a7	SIN-MATERIAL-OBSERVADO
MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	57c8ff911cbeea688675ffac940d51f1f3212ad07880c0761eabeabb027a0c2b	SIN-MATERIAL-OBSERVADO
MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	be5f46797e04563e2f8a877694b5a37311480d5083ca5063a14c257680729929	SIN-MATERIAL-OBSERVADO
OECD	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	ad892bf41a1659d3d39c8fd3235b1d53f8c1d71a4250edd43116a147f9324bf2	SIN-MATERIAL-OBSERVADO
PANEL_DE_COMPRA_DE_HOGARES	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	603900d3f9f5c92fbf82c3975a7eb2d5702803e4408812b0101129bd65c0074d	SIN-MATERIAL-OBSERVADO
PI	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	1c05ba7a3cbbd8cbdfec76869cea8f0dff9af001e17831267610274b92216bb1	SIN-MATERIAL-OBSERVADO
PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	47c2b543546422f52020103c28852a27be7504f179ce785bdb9a2fb2850db165	SIN-MATERIAL-OBSERVADO
PUB	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	25a54148cdab3780a1e4a15938d9f91861c589201c3f8bccb49bd95cf85afb32	SIN-MATERIAL-OBSERVADO
REGISTRO_DE_TANDAS_Y_REPUTACION	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	dce5e50a7d101f8c0ae28c54401d9b307e07755c9b0f1d2e0435af45f72d969c	SIN-MATERIAL-OBSERVADO
REGISTRO_OPERATIVO_DE_TANDAS_DIGITALES	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	979394da52f17b1da00921b78c9d1630797d5b19c109aca6421f324102f90fdd	SIN-MATERIAL-OBSERVADO
RELLABORALES	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	0b88b4667990c37602477c01a00ec8a039169276f66dccf8f1bfad0698d2514a	SIN-MATERIAL-OBSERVADO
RELLABORALESPRUEBA	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	b4dc0a08c3b3dad52162566f5547adc9fcbb40ebb576cdc6ea689a62bbb19b02	SIN-MATERIAL-OBSERVADO
REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	1bd66723140938cebab3490d2392fe36ecf14c16755bde5f012b2582c5fb409a	SIN-MATERIAL-OBSERVADO
REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	a6b073f048debc2f678d2dcafb793b750ef8cafb62ae32d243a136738866f2ad	SIN-MATERIAL-OBSERVADO
SE	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	3	334b051c9f897152f0569414da2651cf65e1d7465947a562fb2fb4dfa73db27c	SIN-MATERIAL-OBSERVADO
SERIES_SPEI_CODI_BANXICO	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	287b4bda6afbbc8b4d19d267e0c46a4171b60724142545cc3c78d9b0ca312c7e	SIN-MATERIAL-OBSERVADO
SICS	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	37390e665329344f48fb21d8393147ed282158e00bdf4d8695d454033c6386ea	SIN-MATERIAL-OBSERVADO
SIN_CANDIDATO_IDENTIFICADO	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	7affdd9ae06fc7c0ba8fddd212060c32f45ca0afd524559728ce9acf59fdf050	SIN-MATERIAL-OBSERVADO
UCDP	R3-TOKEN-CONTRA-ID-MANIFIESTO	2	34ac694cf79cbc742dcfb185e8c0956e2c558f9c40210f6247a25d173cbed63d	2	194	manifiesto:id=ucdp_ged261_codebook;ucdp_ged261_csv	4	6959da8e1880b22c804dd5d0add7232e88fe714d73256b1b4a497cda8946654b	CON-MATERIAL
VOTAR_ENTRE_BALAS	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	e3748d0b9017f1b0f2b0e78e874c211cc009b04a47e877d0c533e9468bf9ee2f	SIN-MATERIAL-OBSERVADO
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	6	fc828d47725cf4f864c06ad802c10793d14c5ea62192a8d9a4ebb5674c6dc9ea	SIN-MATERIAL-OBSERVADO
WVS	R1-ID-MANIFIESTO-EN-LEDGER	1	c63321b4b9a83a943a8d6ae54dd8369139266a0caec4380e201c8341ab5a0fa3	1	369	ledger:payload_id=f00006635_wvs7_questionnaire_mexico_2018_spanish	2	908044a5287fd9fe80d810967485564139b8dd9dea58f137a258b8a1e88ee615	CON-MATERIAL
