# DERIVADO (P5, ACTO GEN2-RELEVO-TANDA-1). Lo que la vista APRENDE de las mediciones del 18-20/sep. NO ADOPTA.
# Resultado: 0 ofertas nuevas. Ningun CALC del 19/sep declara pareja consumidor<-RESULT; la vista no INFIERE (regla de la casa en tools/relevo_usos.py).
calc	sellada	cuenta_gen2	adopcion_declarada	mapa_C1_consumidores	pin_C2_a_slot_legacy	oferta_para_vista	razon_sin_oferta
CALC-ENCIG2021-CRUCES-HISTORICOS-0003	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENCIG2023-CRUCES-HISTORICOS-0001	NO	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENCIG2023-CRUCES-HISTORICOS-0002	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENCUCI2020-EXPOSICION-RESPUESTA-0001	SI	SI	PENDIENTE-DE-MESA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENCUCI2020-RESPUESTA-POR-CONTACTO-0001	SI	SI	PENDIENTE-DE-MESA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENCUCI2020-RESPUESTA-POR-CONTACTO-0001-v1_1	SI	SI	PENDIENTE-DE-MESA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENFIH2019-COBERTURA-SALDOS-CATPOS-0001	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENFIH2019-COBERTURA-SALDOS-CATPOS-0002	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENFIH2019-SALDOS-AFORE-0001	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENFIH2019-SALDOS-AFORE-CONCENTRACION-0001	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENIGH2022-PERFIL-ESTRUCTURAL-0001	NO	PENDIENTE-DE-MESA	NO-ADOPTADO	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENIGH2022-PERFIL-ESTRUCTURAL-0002	NO	PENDIENTE-DE-MESA	NO-ADOPTADO	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENIGH2022-PERFIL-ESTRUCTURAL-0003	SI	PENDIENTE-DE-MESA	NO-ADOPTADO	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENIGH2022-REMESAS-CONTEXTO-0001	SI	PENDIENTE-DE-MESA	NO-ADOPTADO	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENSAFI2023-ESTRATEGIAS-CONJUNTAS-0001	SI	PENDIENTE-DE-MESA	PENDIENTE-DE-MESA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENSAFI2023-ESTRATEGIAS-CONJUNTAS-0001-v1_1	SI	PENDIENTE-DE-MESA	PENDIENTE-DE-MESA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENUT2024-DISTRIBUCION-HORAS-0001	SI	PENDIENTE-DE-MESA	PENDIENTE-DE-MESA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENUT2024-DISTRIBUCION-HORAS-0002	SI	PENDIENTE-DE-MESA	PENDIENTE-DE-MESA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENUT2024-PARTICIPACION-INTENSIDAD-0001	SI	PENDIENTE-DE-MESA	PENDIENTE-DE-MESA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ISSP2017-APOYO-MONETARIO-0001	SI	PENDIENTE-DE-MESA	NINGUNA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001	SI	PENDIENTE-DE-MESA	NINGUNA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001	SI	PENDIENTE-DE-MESA	NINGUNA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-PISO-PERSISTENCIA-ERROR-0001	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-PISOS-ENCIG2023-EJES-0001	SI	SI	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-PISOS-ENCIG2023-EJES-0001-v1_1	SI	SIN-CLAVE	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-PISOS-ENCIG2023-EJES-0002	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-PISOS-ENIF2021-EJES-0001	SI	SI	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-PISOS-ENIF2021-EJES-0002	NO	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-PISOS-ENIF2021-EJES-0003	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-PISOS-ENVIPE2024-EJES-0001	SI	SI	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-PISOS-ENVIPE2024-EJES-0002	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-WBES2023-PRECISION-INTERACCIONES-0001	SI	PENDIENTE-DE-MESA	NINGUNA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
