job	paso	linea_verify_yml	nacimiento_citas	costo_mediana_s	costo_p90_s	n_corridas_costo	n_fallos_ci	ultimo_fallo	fallos_en_pr	recomendacion	justificacion
adicionales	adq_investigacion.py — proyección de demanda no se queda atrás (bloqueante)	156		7.0	8.0	97	0		0	MANTENER	Cita de nacimiento: s/cita explícita. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	Fuentes financieras — unidades, faltantes y duplicados (bloqueante)	165		0.0	0.0	97	0		0	MANTENER	Cita de nacimiento: s/cita explícita. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	N34 — producto, costo y daño (bloqueante)	170		0.0	0.0	97	0		0	MANTENER	Cita de nacimiento: s/cita explícita. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	motor ejecutable — procedencia→B→evaluar() sobre las celdas-D del disco (bloqueante)	175	ACTO AUTO-MOTOR-1 · RECUPERA-Y-EJERCITA; ACTO GEN2-CELDA-D-CAREO-1; ADR-91; NC-0023; PR #615	1.0	1.0	97	0		0	MANTENER	Cita de nacimiento: ACTO AUTO-MOTOR-1 · RECUPERA-Y-EJERCITA; ACTO GEN2-CELDA-D-CAREO-1; ADR-91; NC-0023; PR #615. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	contrato sintético de C2 — piloto celda-D (bloqueante)	192	ACTO GEN2-CELDA-D-CAREO-1; ADR-533; PR #827	0.0	1.0	97	0		0	MANTENER	Cita de nacimiento: ACTO GEN2-CELDA-D-CAREO-1; ADR-533; PR #827. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	consumidor de celda-D — piloto 2, fila M05 derivada (bloqueante)	206	ACTO GEN2-CELDA-D-PILOTO-2; ACTO GEN2-GUARDIAS-1; NC-0331	0.0	1.0	97	0		0	MANTENER	Cita de nacimiento: ACTO GEN2-CELDA-D-PILOTO-2; ACTO GEN2-GUARDIAS-1; NC-0331. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	marcador por segmento — tabla derivada y guardias (bloqueante)	214	ACTO GEN2-MARCADOR-REDISENO-1; NC-0331	136.0	149.0	97	0		0	ABARATAR	Paso más caro de todo verify.yml hoy (mediana 136s, p90 149s -- consistente con los 134s que midió PR #901 en el primer runner: no se ha movido). Corre dos archivos en serie dentro del job `adicionales` (que ya suma otros ~20 pasos); `adicionales` es hoy el job que fija la ruta crítica (mediana 159-220s, por encima de `suite`). Aislarlo en un job propio, en paralelo a `suite` y al resto de `adicionales`, no reduce su propio costo pero sí la ruta crítica de la corrida: hoy max(suite~120s, adicionales~159-220s) domina; con el marcador aislado sería max(suite~120s, marcador~136-149s, resto-adicionales~20-30s) -- ahorro estimado 20-70s por corrida (más en p90) sin tocar ninguna aserción. Mismo patrón que PR #901 ya aplicó una vez para separar `suite` de `adicionales`.
adicionales	tubería de ids y union — T15 por mutación, guarda de salto de línea, gramática de FP (bloqueante)	225	ACTO GEN2-TUBERIA-SUCESOR-1; NC-0331	0.0	1.0	29	0		0	MANTENER	Cita de nacimiento: ACTO GEN2-TUBERIA-SUCESOR-1; NC-0331. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	comparabilidad por texto de crédito ENIF — forma de la tabla K1-K8 × 5 olas (bloqueante)	237	ACTO GEN2-DIN-CREDITO-COMPARABILIDAD-TEXTO-1; NC-0331	0.0	0.0	52	0		0	MANTENER	Cita de nacimiento: ACTO GEN2-DIN-CREDITO-COMPARABILIDAD-TEXTO-1; NC-0331. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	métrica rectora — celdas_validadas en la primera línea del tablero (bloqueante)	246	ACTO GEN2-SENAL-1	36.0	45.0	59	1	2026-09-21T03:57:54Z	1	MANTENER	1 fallo en CI. Recién nacido (ACTO GEN2-SENAL-1, 21/sep) -- sólo 53-64 corridas con dato, demasiado joven para juzgar caducidad.
adicionales	descargador por id de manifiesto — arnés HTTP local (bloqueante)	257	ACTO GEN2-NUBE-PILOTO-1-; NC-0331; PR #930	3.0	3.0	46	0		0	MANTENER	Cita de nacimiento: ACTO GEN2-NUBE-PILOTO-1-; NC-0331; PR #930. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	cargador de linaje — los tres caminos del id superado (bloqueante)	270	ACTO MOTOR-LINAJE-1; NC-0400; NC-0401	0.0	0.0	35	0		0	MANTENER	Cita de nacimiento: ACTO MOTOR-LINAJE-1; NC-0400; NC-0401. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
guardias	Checkout sin marketplace (repo público — cero descargas de action)	299		6.0	16.0	97	0		0	MANTENER	Cita de nacimiento: s/cita explícita. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
guardias	Intérprete del runner (crudo, para que quede en el log)	322		0.0	0.0	97	0		0	MANTENER	Infraestructura del job (checkout/intérprete/dependencias), barata (mediana ≤6s) y sin evidencia de fallo propio en la ventana medida.
guardias	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	325		3.0	4.0	97	0		0	MANTENER	Infraestructura del job (checkout/intérprete/dependencias), barata (mediana ≤6s) y sin evidencia de fallo propio en la ventana medida.
guardias	Guardias huérfanas — censo + invocador correcto por archivo (bloqueante)	328		37.0	44.0	97	13	2026-09-21T06:28:30Z	12	MANTENER	13 fallos en CI (12 en rama de PR): atrapa activamente tests/test_*.py que nacen huérfanos (ni en verify.yml ni en el censo). Nacido 20/sep (ACTO GEN2-CI-GUARDIAS-VIVAS-1) por el mismo defecto que motiva este acto: 97 de 122 test_*.py no corrían en CI y nadie lo notaba.
preflight-calc	Checkout con la base (clon propio — D-23, no se toca el de otro job)	352		7.0	8.0	5	0		0	MANTENER	Infraestructura del job (checkout/intérprete/dependencias), barata (mediana ≤6s) y sin evidencia de fallo propio en la ventana medida.
preflight-calc	Intérprete del runner (crudo, para que quede en el log)	368		0.0	0.0	5	0		0	MANTENER	Infraestructura del job (checkout/intérprete/dependencias), barata (mediana ≤6s) y sin evidencia de fallo propio en la ventana medida.
preflight-calc	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	371		2.0	3.0	5	0		0	MANTENER	Infraestructura del job (checkout/intérprete/dependencias), barata (mediana ≤6s) y sin evidencia de fallo propio en la ventana medida.
preflight-calc	Prueba por mutación del chequeo (bloqueante — D-21, el acto cablea su test)	374		3.0	3.0	5	0		0	MANTENER	Cita de nacimiento: s/cita explícita. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
preflight-calc	preflight sobre los CALC sin sello que este cambio toca (bloqueante)	377		0.0	0.0	5	0		0	MANTENER	Cita de nacimiento: s/cita explícita. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
check	Todos los grupos requeridos terminaron correctamente	391		0.0	1.0	97	51	2026-09-21T14:13:55Z	41	MANTENER	Compuerta final (`always()`), 1 paso, <1s de costo propio. 51 fallos son el reflejo mecánico de que ALGÚN job requerido falló (no un defecto propio del paso).
