pr	titulo	rama	creado	fusionado	n_corridas	canceladas	tiempo_reloj_s	tiempo_runner_s
915	ACTO GEN2-PISOS-ENIF2021-FORMALIDAD-1 · piso t−1 de formalidad en ENIF 2021: las	acto/gen2-pisos-enif2021-formalidad-1	2026-09-20T05:16:20Z	2026-09-20T05:22:48Z	2	1	374.0	631.0
914	[GEN2-RELEVO-TANDA-2] Once de doce slots pasan a procedencia GEN2 por firma de m	claude/eager-goodall-2lh66n	2026-09-20T05:08:30Z	2026-09-20T05:55:16Z	1	0	166.0	300.0
913	GEN2-LIMPIEZA-RAMAS-LOCALES-2: las 131 CON-TRABAJO-PROPIO clasificadas (102 CONT	acto/gen2-limpieza-ramas-locales-2	2026-09-20T04:36:34Z	2026-09-20T20:50:48Z	2	0	407.0	682.0
912	SessionStart hook + CLAUDE.md: entorno-derivado y sonda-red para arranque	claude/session-start-hook-claude-md-ncxwc7	2026-09-20T04:27:15Z	2026-09-20T04:31:00Z	1	0	202.0	342.0
911	[GEN2-C2-COMPUESTO-IC-ENIF2024-1] Las 136 emisiones C2 de ENIF 2024 ganan su IC9	acto/gen2-c2-compuesto-ic-enif2024-1	2026-09-20T04:19:46Z	2026-09-20T04:34:04Z	1	0	183.0	341.0
910	GEN2-LIMPIEZA-RAMAS-LOCALES-1: inventario y limpieza de ramas/worktrees en la ca	acto/gen2-limpieza-ramas-locales-1	2026-09-20T04:00:06Z	2026-09-20T04:53:21Z	2	0	377.0	666.0
909	[TRAMITE] digesto 2026-09-20	claude/tramite-2026-09-20	2026-09-20T03:42:13Z	2026-09-20T04:11:05Z	4	2	505.0	851.0
908	ACTO GEN2-PISOS-ENUT2019-EJES-1 · piso t−1 del reparto de cuidado NO-CONSTRUIBLE	acto/gen2-pisos-enut2019-ejes-1	2026-09-20T03:24:03Z	2026-09-20T04:20:18Z	3	1	400.0	671.0
907	ACTO GEN2-C2-COMPUESTO-IC-ENVIPE2025-1 · cierre por hallazgo en P0: marginal() n	acto/gen2-c2-compuesto-ic-envipe2025-1	2026-09-20T03:12:13Z	2026-09-20T03:24:50Z	1	0	177.0	299.0
906	[GEN2-TABLERO-SENAL-1] Cierre de gobernanza (ADR-552, L0, rótulo, NO-CORRIDO/CON	claude/gen2-tablero-senal-1-cierre	2026-09-20T03:09:46Z	2026-09-20T03:13:02Z	1	0	158.0	281.0
905	ACTO GEN2-RELEVO-TANDA-1 · el bin 1 está vacío: cero adopciones, y la razón es l	claude/intelligent-albattani-v7kf2s	2026-09-20T03:05:39Z	2026-09-20T03:45:01Z	3	1	387.0	656.0
904	[GEN2-RECIBO-CODEX-6] Cierre del carril Codex: dos ramas que el encargo suponía 	claude/relaxed-bell-rs3dhf	2026-09-20T03:04:44Z	2026-09-20T04:10:51Z	1	0	180.0	265.0
903	ACTO GEN2-CELDA-D-PILOTO-3-P0 · P0 sin determinar; F1-bis firmada, P2 ejecutada 	claude/lucid-lamport-32k9t3	2026-09-20T03:01:07Z	2026-09-20T03:51:20Z	5	0	921.0	1590.0
902	GEN2-TABLERO-SENAL-1: Show marcador, pending counts, branches in dashboard	claude/optimistic-cray-15co3n	2026-09-20T02:52:46Z	2026-09-20T03:00:53Z	2	0	367.0	641.0
901	ci: reducir espera conservando cobertura y compuerta check	codex/optimiza-verificacion-ci	2026-09-20T01:59:58Z	2026-09-20T02:37:52Z	6	0	1026.0	1819.0
900	EDER 2017: primera unión por sexo y cohorte	codex/gen2-eder2017-primera-union-sexo-cohorte-cli-1	2026-09-20T00:05:30Z	2026-09-20T01:55:42Z	6	0	1294.0	1270.0
899	GEN2: estrategias conjuntas ENSAFI 2023	codex/gen2-ensafi2023-estrategias-conjuntas-cli-1	2026-09-20T00:01:01Z	2026-09-20T01:22:56Z	3	0	638.0	628.0
898	ENFIH 2019: cobertura y saldos Afore por CAT_POS	codex/gen2-enfih2019-cobertura-saldos-catpos-cli-2	2026-09-19T23:53:17Z	2026-09-20T02:05:29Z	4	0	851.0	838.0
897	GEN2 ENADID 2023: unión actual por sexo y edad	codex/gen2-enadid2023-union-sexo-edad-cli-2	2026-09-19T23:52:36Z	2026-09-20T02:17:31Z	6	1	1433.0	1407.0
896	GEN2: distribución de horas de cuidado ENUT 2024	codex/gen2-enut2024-distribucion-horas-cli-2	2026-09-19T23:52:20Z	2026-09-20T00:59:05Z	3	0	761.0	751.0
895	[GEN2-RECIBO-CODEX-5] Recibo de #876/#877/#879/#881/#882/#887: ocho firmas de co	codex/gen2-recibo-codex-5-cli-1	2026-09-19T23:52:01Z	2026-09-20T00:42:34Z	3	1	690.0	668.0
894	ACTO GEN2-CELDA-D-PILOTO-3 · COMMIT-1 · cierre por hallazgo: la enmienda levanta	claude/determined-einstein-4jlycq	2026-09-19T23:51:57Z	2026-09-20T01:09:01Z	4	1	947.0	921.0
893	GEN2: remesas ENIGH 2022 por localidad y estrato	codex/gen2-enigh2022-remesas-contexto-cli-2	2026-09-19T23:44:51Z	2026-09-20T00:04:43Z	2	0	460.0	455.0
892	GEN2: consistencia de apoyo familiar ISSP 2017	codex/gen2-issp2017-consistencia-apoyo-familiar-cli-2	2026-09-19T23:44:20Z	2026-09-20T00:47:59Z	3	0	821.0	812.0
891	GEN2: respuesta por contacto ENCUCI 2020	codex/gen2-encuci2020-respuesta-por-contacto-cli-2	2026-09-19T23:43:59Z	2026-09-20T01:46:10Z	5	0	1149.0	1133.0
890	WBES 2023: precisión de seis interacciones	codex/gen2-wbes2023-precision-interacciones-cli-2	2026-09-19T23:43:36Z	2026-09-20T01:21:45Z	2	0	550.0	531.0
889	[GEN2-C2-COMPUESTO-RESERVADAS-1] 206 emisiones C2 sobre 16 de 22 cruces RESERVAD	claude/beautiful-fermi-mct15n	2026-09-19T23:40:13Z	2026-09-20T00:00:53Z	1	0	392.0	353.0
888	[ADQ] Registra UCLA y prevalida cierre estructurado	codex/gen2-adq-registro-cierre-cli-2	2026-09-19T23:37:24Z	2026-09-20T00:51:47Z	4	1	1091.0	1060.0
887	GEN2 ENCIG: cruces históricos 2023/2021	codex/gen2-encig-cruces-historicos-cli-1	2026-09-19T22:36:07Z	2026-09-19T23:19:57Z	4	0	1006.0	994.0
886	GEN2-CRON-VERIFICACION-OPERATIVA-CLI-1: acredita y repara cron de caja	codex/gen2-cron-verificacion-operativa-cli-1	2026-09-19T22:34:50Z	2026-09-19T23:23:01Z	6	1	1191.0	1156.0
885	[ADQ] 2026-09-19	adq/2026-09-19	2026-09-19T22:22:06Z	2026-09-19T23:23:12Z	5	0	1059.0	1043.0
884	censo/2026 09 19	censo/2026-09-19	2026-09-19T22:15:38Z	2026-09-19T23:27:17Z	6	1	1173.0	1141.0
883	ACTO GEN2-MARCADOR-PISOS-ENLACE-1 · el marcador lee los pisos de rejilla y se mi	claude/practical-turing-kbqc08	2026-09-19T22:11:11Z	2026-09-19T23:03:04Z	3	1	510.0	487.0
882	GEN2: exposición y respuesta ante corrupción en ENCUCI 2020	codex/gen2-encuci2020-exposicion-respuesta-cli-1	2026-09-19T22:09:24Z	2026-09-19T22:53:35Z	3	0	623.0	612.0
881	GEN2: redes de apoyo cotidiano ISSP 2017	codex/gen2-issp2017-redes-apoyo-cotidiano-cli-1	2026-09-19T22:05:47Z	2026-09-19T22:57:35Z	4	0	773.0	762.0
880	ACTO GEN2-FAM-UNION-ESTIMANDO-1 · la regla `familia.union.libre` mide tipo de pr	claude/fervent-johnson-m47pdg	2026-09-19T21:50:44Z	2026-09-19T21:58:45Z	2	1	222.0	202.0
879	GEN2: mide participación e intensidad del cuidado en ENUT 2024	codex/gen2-enut2024-participacion-intensidad-cli-1	2026-09-19T21:49:40Z	2026-09-19T23:00:06Z	4	0	662.0	650.0
878	[GEN2-RECIBO-CODEX-4] Recibo de #869/#870/#871/#874: cinco firmas de contador y 	claude/gallant-feynman-1ww0lm	2026-09-19T21:42:42Z	2026-09-19T22:30:49Z	4	2	520.0	479.0
877	GEN2: mide saldos Afore de hogares en ENFIH 2019	codex/gen2-enfih2019-saldos-afore-cli-1	2026-09-19T21:41:46Z	2026-09-19T22:47:38Z	3	0	572.0	561.0
876	ENIGH 2022: perfil estructural persona y soporte conjunto	codex/gen2-enigh2022-perfil-estructural-cli-1	2026-09-19T21:35:35Z	2026-09-19T22:41:33Z	3	0	620.0	606.0
874	[GEN2] Cierra trazabilidad e integración de pisos de #871	codex/gen2-pisos-rejilla-cli-1	2026-09-19T20:23:53Z	2026-09-19T20:30:34Z	3	0	564.0	519.0
873	GEN2-MARCADOR-REDISENO-1: Derive segment marker table with 20 adopted cells	claude/vigilant-einstein-ltvhlx	2026-09-19T19:58:49Z	2026-09-19T20:50:59Z	4	0	730.0	716.0
872	[GEN2-RECIBO-CODEX-3] Lo que #866 dejó sin cascada, los siete defectos de los pi	claude/dazzling-maxwell-l85j2n	2026-09-19T19:23:27Z	2026-09-19T19:58:23Z	2	1	263.0	239.0
871	[GEN2] Corrige y publica pisos de rejilla	codex/gen2-pisos-rejilla-cli-1	2026-09-19T19:07:07Z	2026-09-19T20:20:45Z	3	0	564.0	519.0
870	GEN2: mide apoyo monetario ISSP México 2017	codex/gen2-issp-apoyo-monetario-cli-1	2026-09-19T19:05:34Z	2026-09-19T20:50:22Z	2	0	284.0	278.0
869	GEN2: mide situación conyugal actual ENADID 2023	codex/gen2-enadid-union-actual-cli-1	2026-09-19T18:59:58Z	2026-09-19T20:35:31Z	4	0	744.0	729.0
867	v2.14: Operativo de instrucciones en dos cuerpos + 7 reglas nuevas	claude/new-session-w2ojbo	2026-09-19T17:48:06Z	2026-09-19T17:55:51Z	1	0	198.0	195.0
866	GEN2 · replay aislado y pisos por eje	codex/gen2-replay-y-pisos-cli-1	2026-09-19T16:51:27Z	2026-09-19T17:27:29Z	2	0	308.0	302.0
865	GEN2: contrato celda-D v0.6 y pisos C2	codex/gen2-contrato-y-tramite-cli-1	2026-09-19T16:30:03Z	2026-09-19T17:39:46Z	7	1	1286.0	1251.0
864	[DERIVADOS] 2026-09-19	derivados/2026-09-19	2026-09-19T15:57:44Z	2026-09-19T16:34:46Z	1	0	191.0	188.0
863	[ADQ] 2026-09-18	adq/2026-09-18	2026-09-18T14:48:37Z	2026-09-19T16:33:54Z	1	0	205.0	201.0
862	[ADQ-DEMANDA] 2026-09-18	censo/2026-09-18	2026-09-18T14:41:05Z	2026-09-19T16:34:06Z	3	1	424.0	396.0
861	[DERIVADOS] 2026-09-18	derivados/2026-09-18	2026-09-18T14:40:57Z	2026-09-19T16:33:43Z	1	0	163.0	159.0
