task_id	fuente_canonica_normalizada	familia_logica_id	relaciones	input_ref	contrato_ref	worker_report_ref
SEMTSK-dddb9a9097f7fd957a5eb2ce	CSES	SIN_ACTIVO_EXACTO:CSES	5	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-dddb9a9097f7fd957a5eb2ce.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-dddb9a9097f7fd957a5eb2ce.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-dddb9a9097f7fd957a5eb2ce.json
SEMTSK-ce2354d17ce132097cdf80d1	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	SIN_ACTIVO_EXACTO:DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-ce2354d17ce132097cdf80d1.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-ce2354d17ce132097cdf80d1.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-ce2354d17ce132097cdf80d1.json
SEMTSK-5fe01d6b0ee36f93ad99c21c	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	SIN_ACTIVO_EXACTO:EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-5fe01d6b0ee36f93ad99c21c.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-5fe01d6b0ee36f93ad99c21c.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-5fe01d6b0ee36f93ad99c21c.json
SEMTSK-37f8f057f86be8b36d4f49f3	ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	SIN_ACTIVO_EXACTO:ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-37f8f057f86be8b36d4f49f3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-37f8f057f86be8b36d4f49f3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-37f8f057f86be8b36d4f49f3.json
SEMTSK-7d62da78b912933008a8340a	ENAFIN	SIN_ACTIVO_EXACTO:ENAFIN	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-7d62da78b912933008a8340a.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-7d62da78b912933008a8340a.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-7d62da78b912933008a8340a.json
SEMTSK-a157241ebb1c79de3ce81517	ENBIARE	SIN_ACTIVO_EXACTO:ENBIARE	4	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-a157241ebb1c79de3ce81517.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-a157241ebb1c79de3ce81517.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-a157241ebb1c79de3ce81517.json
SEMTSK-1c964807bd81e4e0ead2c010	ENCIG	SIN_ACTIVO_EXACTO:ENCIG	3	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-1c964807bd81e4e0ead2c010.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-1c964807bd81e4e0ead2c010.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-1c964807bd81e4e0ead2c010.json
SEMTSK-3b6bf9d47738f63ea98fb8b5	ENCOAP	SIN_ACTIVO_EXACTO:ENCOAP	5	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-3b6bf9d47738f63ea98fb8b5.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-3b6bf9d47738f63ea98fb8b5.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-3b6bf9d47738f63ea98fb8b5.json
SEMTSK-4b8bc49453beab59d50eff74	ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	SIN_ACTIVO_EXACTO:ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-4b8bc49453beab59d50eff74.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-4b8bc49453beab59d50eff74.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-4b8bc49453beab59d50eff74.json
SEMTSK-c751b2cc702b660de290303b	ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	SIN_ACTIVO_EXACTO:ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-c751b2cc702b660de290303b.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-c751b2cc702b660de290303b.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-c751b2cc702b660de290303b.json
SEMTSK-3b18db64ab499eb0d247cee1	ENCUP	SIN_ACTIVO_EXACTO:ENCUP	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-3b18db64ab499eb0d247cee1.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-3b18db64ab499eb0d247cee1.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-3b18db64ab499eb0d247cee1.json
SEMTSK-39c97ebccbcabb16be3b99ac	ENFIH	SIN_ACTIVO_EXACTO:ENFIH	12	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-39c97ebccbcabb16be3b99ac.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-39c97ebccbcabb16be3b99ac.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-39c97ebccbcabb16be3b99ac.json
SEMTSK-718bda65cc2827a7c59c6cd3	ENIF	SIN_ACTIVO_EXACTO:ENIF	5	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-718bda65cc2827a7c59c6cd3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-718bda65cc2827a7c59c6cd3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-718bda65cc2827a7c59c6cd3.json
SEMTSK-09c3e82c827fc9ccc9516671	ENIGH	SIN_ACTIVO_EXACTO:ENIGH	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-09c3e82c827fc9ccc9516671.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-09c3e82c827fc9ccc9516671.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-09c3e82c827fc9ccc9516671.json
SEMTSK-9f45d9d4b202bc05d4f830be	ENNVIH	SIN_ACTIVO_EXACTO:ENNVIH	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-9f45d9d4b202bc05d4f830be.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-9f45d9d4b202bc05d4f830be.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-9f45d9d4b202bc05d4f830be.json
SEMTSK-7ab6d8e8a3185b4a6c836320	ENOE	SIN_ACTIVO_EXACTO:ENOE	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-7ab6d8e8a3185b4a6c836320.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-7ab6d8e8a3185b4a6c836320.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-7ab6d8e8a3185b4a6c836320.json
SEMTSK-563a5ea45e21215bf3cbccca	ENSAFI	SIN_ACTIVO_EXACTO:ENSAFI	13	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-563a5ea45e21215bf3cbccca.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-563a5ea45e21215bf3cbccca.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-563a5ea45e21215bf3cbccca.json
SEMTSK-0ad76db67c2503616ade139d	ENVIPE	SIN_ACTIVO_EXACTO:ENVIPE	2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-0ad76db67c2503616ade139d.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-0ad76db67c2503616ade139d.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-0ad76db67c2503616ade139d.json
SEMTSK-163221fd3fff94823edf5673	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	SIN_ACTIVO_EXACTO:EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-163221fd3fff94823edf5673.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-163221fd3fff94823edf5673.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-163221fd3fff94823edf5673.json
SEMTSK-a19e230b40c8564bb997e5db	FABLE	SIN_ACTIVO_EXACTO:FABLE	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-a19e230b40c8564bb997e5db.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-a19e230b40c8564bb997e5db.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-a19e230b40c8564bb997e5db.json
SEMTSK-04d25946f5a067cea98d00d4	FINANZAS	SIN_ACTIVO_EXACTO:FINANZAS	5	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-04d25946f5a067cea98d00d4.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-04d25946f5a067cea98d00d4.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-04d25946f5a067cea98d00d4.json
SEMTSK-43510bd0ada8ba4669ac9d56	GDELT	SIN_ACTIVO_EXACTO:GDELT	4	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-43510bd0ada8ba4669ac9d56.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-43510bd0ada8ba4669ac9d56.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-43510bd0ada8ba4669ac9d56.json
SEMTSK-4ffe806a39cc5de490f2461b	GLOBAL_PREFERENCES_SURVEY	SIN_ACTIVO_EXACTO:GLOBAL_PREFERENCES_SURVEY	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-4ffe806a39cc5de490f2461b.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-4ffe806a39cc5de490f2461b.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-4ffe806a39cc5de490f2461b.json
SEMTSK-f2c4212dae28a5c6e5556a2d	GPS	SIN_ACTIVO_EXACTO:GPS	6	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-f2c4212dae28a5c6e5556a2d.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-f2c4212dae28a5c6e5556a2d.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-f2c4212dae28a5c6e5556a2d.json
SEMTSK-b5e5292c4d9cd7c775a24ffa	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	SIN_ACTIVO_EXACTO:IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-b5e5292c4d9cd7c775a24ffa.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-b5e5292c4d9cd7c775a24ffa.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-b5e5292c4d9cd7c775a24ffa.json
SEMTSK-c7b22126c42dae58264ff575	IMSS	SIN_ACTIVO_EXACTO:IMSS	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-c7b22126c42dae58264ff575.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-c7b22126c42dae58264ff575.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-c7b22126c42dae58264ff575.json
SEMTSK-1c8d2ff60cd82a18f6ef4aa4	INE	SIN_ACTIVO_EXACTO:INE	2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-1c8d2ff60cd82a18f6ef4aa4.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-1c8d2ff60cd82a18f6ef4aa4.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-1c8d2ff60cd82a18f6ef4aa4.json
SEMTSK-d2a4ff61a997faa5504cb2a3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	SIN_ACTIVO_EXACTO:INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	3	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-d2a4ff61a997faa5504cb2a3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-d2a4ff61a997faa5504cb2a3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-d2a4ff61a997faa5504cb2a3.json
SEMTSK-226d30bd56a40a35e02676da	ISSP	SIN_ACTIVO_EXACTO:ISSP	13	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-226d30bd56a40a35e02676da.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-226d30bd56a40a35e02676da.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-226d30bd56a40a35e02676da.json
SEMTSK-916cf86bd658db25e668cc37	LAPOP	SIN_ACTIVO_EXACTO:LAPOP	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-916cf86bd658db25e668cc37.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-916cf86bd658db25e668cc37.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-916cf86bd658db25e668cc37.json
SEMTSK-e9726ea9c0c95719a4308cfe	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	SIN_ACTIVO_EXACTO:LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-e9726ea9c0c95719a4308cfe.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-e9726ea9c0c95719a4308cfe.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-e9726ea9c0c95719a4308cfe.json
SEMTSK-81718c18d1fab99b551fdf4b	LATINOBARÓMETRO	SIN_ACTIVO_EXACTO:LATINOBARÓMETRO	2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-81718c18d1fab99b551fdf4b.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-81718c18d1fab99b551fdf4b.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-81718c18d1fab99b551fdf4b.json
SEMTSK-524d4e466afaab3f0986d64a	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	SIN_ACTIVO_EXACTO:MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-524d4e466afaab3f0986d64a.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-524d4e466afaab3f0986d64a.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-524d4e466afaab3f0986d64a.json
