consumidor_bucket	slot	consumidor	generacion	result	via	estado	razon	sucesor
motor	RES-0014	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	GEN2	RESULT-ENCIGDER-B-PRE-SD-Q	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0015	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital_r2	GEN2	RESULT-ENCIG-MOR-B-P-DIG-SD	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0016	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital_r2	GEN2	RESULT-ENCIGDER-B-DIG-SD-Q	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0017	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:rechaza_servicio	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0018	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:adopta	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0019	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta	GEN2	RESULT-ENCIG-MOR-C-P-ADOPTA	escritor V5 (B1)	RELEVADA	par GEN2 del hermano medido (FIRMAS-16 B1)	—
motor	RES-0020	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio	GEN2	RESULT-ENCIGDER-C-Q	escritor V5 (B1)	RELEVADA	par GEN2 del hermano medido (FIRMAS-16 B1)	—
motor	RES-0021	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta_encig2025_luz	GEN2	RESULT-ENCIG-MOR-C-P-ADOPTA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0022	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio_encig2025_luz	GEN2	RESULT-ENCIGDER-C-Q	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0023	milpa/tramite.yaml:tramite.evasion_norma:evade_norma	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0024	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0025	milpa/tramite.yaml:tramite.evasion_norma:evade_norma_envipe2025	GEN2	RESULT-EVASIONNORMA-A-P-EVADE	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0026	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma_envipe2025	GEN2	RESULT-EVASIONNORMA-A-P-CUMPLE	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0027	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_con_miedo_o_desconfianza	GEN2	RESULT-ENVIPE-DEN-P-C2-U4	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0028	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon	GEN2	RESULT-ENVIPE-RES0028-Q-C2-U4	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0029	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0030	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0031	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros_enif2024	GEN2	RESULT-TIENEAHORROS-A-P-TIENE	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0032	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros_enif2024	GEN2	RESULT-TIENEAHORROS-A-P-NO-TIENE	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0033	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez	GEN2	RESULT-DFVEJEZ-A-P-RECIBE	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0034	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	GEN2	RESULT-DFVEJEZ-A-P-NO-RECIBE	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0035	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:recibe_remesas	GEN2	RESULT-B-ENIGH-2022-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0036	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:no_recibe_remesas	GEN2	RESULT-ENIGH-A-P-COMPLEMENTO	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0037	milpa/tramite.yaml:dinero.planeacion.formal_estable:tiene_afore	GEN2	RESULT-ENFIH-A-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0038	milpa/tramite.yaml:dinero.planeacion.formal_estable:no_tiene_afore	GEN2	RESULT-ENFIH-A-P-COMPLEMENTO	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0039	milpa/tramite.yaml:civico.denuncia.con_seguro:denuncia	GEN2	RESULT-ENVIPE-SEG-CON-P-DENUNCIA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0040	milpa/tramite.yaml:civico.denuncia.con_seguro:no_denuncia	GEN2	RESULT-ENVIPE-SEG-CON-P-NO-DENUNCIA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0041	milpa/tramite.yaml:civico.denuncia.sin_seguro:denuncia	GEN2	RESULT-ENVIPE-SEG-SIN-P-DENUNCIA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0042	milpa/tramite.yaml:civico.denuncia.sin_seguro:no_denuncia	GEN2	RESULT-ENVIPE-SEG-SIN-P-NO-DENUNCIA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0043	milpa/tramite.yaml:familia.union.libre:union_libre	GEN2	RESULT-EDER-UNION-A-P-LIBRE	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0044	milpa/tramite.yaml:familia.union.libre:matrimonio_directo	GEN2	RESULT-EDER-UNION-A-P-DIRECTO	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0045	milpa/tramite.yaml:familia.cuidado.recae_mujeres_40mas:share_horas_mujeres_40mas	GEN2	RESULT-ENUT-A-R	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0046	milpa/tramite.yaml:dinero.ahorro.horizonte_corto:horizonte_corto	GEN2	RESULT-ENIF-AHO-A-P-CORTO-SIN-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0047	milpa/tramite.yaml:dinero.ahorro.horizonte_corto:horizonte_no_corto	GEN2	RESULT-ENIF-AHO-A-P-NOCORTO-SIN-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0048	milpa/tramite.yaml:dinero.ahorro.horizonte_no_corto_con_seguridad_social:horizonte_corto	GEN2	RESULT-ENIF-AHO-A-P-CORTO-CON-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0049	milpa/tramite.yaml:dinero.ahorro.horizonte_no_corto_con_seguridad_social:horizonte_no_corto	GEN2	RESULT-ENIF-AHO-A-P-NOCORTO-CON-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0050	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_minimo	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0051	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_maximo	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0052	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_media	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0053	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_informal	GEN2	RESULT-HVD-A-SOLO-INFORMAL	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0054	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_ambas_vias	GEN2	RESULT-HVD-A-AMBAS-VIAS	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0055	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_formal	GEN2	RESULT-HVD-A-SOLO-FORMAL	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0056	milpa/tramite.yaml:dinero.ahorro.via_informal:no_ahorra	GEN2	RESULT-HVD-A-NO-AHORRA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0057	milpa/tramite.yaml:dinero.ahorro.via_informal:formal_cualquiera	GEN2	RESULT-ENIF-AHO-B-P-FORMAL-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0058	milpa/tramite.yaml:dinero.ahorro.via_informal:informal_cualquiera	GEN2	RESULT-ENIF-AHO-B-P-INFORMAL-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0059	milpa/tramite.yaml:dinero.ahorro.seguro_deposito_enif2024:desconfianza_o_mal_servicio_como_razon_principal_conoce_proteccion_enif2024	GEN2	RESULT-ENIF-AHO-C-P-DESCONFIA-CONOCE-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0060	milpa/tramite.yaml:dinero.ahorro.seguro_deposito_enif2024:desconfianza_o_mal_servicio_como_razon_principal_no_conoce_enif2024	GEN2	RESULT-ENIF-AHO-C-P-DESCONFIA-NOCONOCE-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0061	milpa/tramite.yaml:civico.protesta.agravio_urbano_encuci2020:protesta_alguna_vez_urbano_con_agravio_encuci2020	GEN2	RESULT-ENCUCI-B-P-URB-AGR	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0062	milpa/tramite.yaml:civico.protesta.agravio_urbano_encuci2020:protesta_alguna_vez_rural_con_agravio_encuci2020	GEN2	RESULT-ENCUCI-B-P-RUR-AGR	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0063	milpa/tramite.yaml:salud.vacunacion.disponible_ensanut2024:razon_no_vacunacion_logistica	GEN2	RESULT-ENSANUT-A-P-LOGISTICA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0064	milpa/tramite.yaml:salud.vacunacion.disponible_ensanut2024:razon_no_vacunacion_no_logistica	GEN2	RESULT-ENSANUT-A-P-NO-LOGISTICA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0065	milpa/tramite.yaml:dinero.ahorro.horizonte_no_trabajadores:horizonte_corto	GEN2	RESULT-ENIF-POB-P-CORTO-NO-TRABAJA-P	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0066	milpa/tramite.yaml:dinero.ahorro.horizonte_no_trabajadores:horizonte_no_corto	GEN2	RESULT-HVD-A-HORIZONTE-NO-CORTO-NO-TRABAJA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
procedencia	RES-0067	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.confianza_institucional	LEGACY-GEN1		—	NC	DIFERIDO-A:CAJA -- β̂ de generador GEN1; ningún CALC GEN2 del generador en el registro (0 CALC con MATRIZ/THETA/COEF en resultados.tsv)	GEN2-RELEVO-CONSUMIDORES-3 (re-medición en CAJA)
procedencia	RES-0068	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.radio_confianza	LEGACY-GEN1		—	NC	DIFERIDO-A:CAJA -- β̂ de generador GEN1; ningún CALC GEN2 del generador en el registro (0 CALC con MATRIZ/THETA/COEF en resultados.tsv)	GEN2-RELEVO-CONSUMIDORES-3 (re-medición en CAJA)
procedencia	RES-0069	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.familismo_apoyo	LEGACY-GEN1		—	NC	DIFERIDO-A:CAJA -- β̂ de generador GEN1; ningún CALC GEN2 del generador en el registro (0 CALC con MATRIZ/THETA/COEF en resultados.tsv)	GEN2-RELEVO-CONSUMIDORES-3 (re-medición en CAJA)
procedencia	RES-0070	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.exposicion_violencia	LEGACY-GEN1		—	NC	DIFERIDO-A:CAJA -- β̂ de generador GEN1; ningún CALC GEN2 del generador en el registro (0 CALC con MATRIZ/THETA/COEF en resultados.tsv)	GEN2-RELEVO-CONSUMIDORES-3 (re-medición en CAJA)
procedencia	RES-0071	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.confianza_institucional	LEGACY-GEN1		—	NC	DIFERIDO-A:CAJA -- β̂ de generador GEN1; ningún CALC GEN2 del generador en el registro (0 CALC con MATRIZ/THETA/COEF en resultados.tsv)	GEN2-RELEVO-CONSUMIDORES-3 (re-medición en CAJA)
procedencia	RES-0072	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.horizonte_temporal	LEGACY-GEN1		—	NC	DIFERIDO-A:CAJA -- β̂ de generador GEN1; ningún CALC GEN2 del generador en el registro (0 CALC con MATRIZ/THETA/COEF en resultados.tsv)	GEN2-RELEVO-CONSUMIDORES-3 (re-medición en CAJA)
procedencia	RES-0073	milpa/procedencia.yaml:coeficientes_generador_sellados:G5.familismo_apoyo	LEGACY-GEN1		—	NC	DIFERIDO-A:CAJA -- β̂ de generador GEN1; ningún CALC GEN2 del generador en el registro (0 CALC con MATRIZ/THETA/COEF en resultados.tsv)	GEN2-RELEVO-CONSUMIDORES-3 (re-medición en CAJA)
procedencia	RES-0074	milpa/procedencia.yaml:asignados_coeficiente:G2.aversion_riesgo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: coeficiente ASIGNADO sin medición; propuesta HISTÓRICO-SIN-RELEVO o encargo de medición	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0075	milpa/procedencia.yaml:asignados_coeficiente:G2.sens_estatus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: coeficiente ASIGNADO sin medición; propuesta HISTÓRICO-SIN-RELEVO o encargo de medición	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0076	milpa/procedencia.yaml:asignados_coeficiente:G3.aversion_riesgo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: coeficiente ASIGNADO sin medición; propuesta HISTÓRICO-SIN-RELEVO o encargo de medición	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0077	milpa/procedencia.yaml:asignados_coeficiente:G4.horizonte_temporal	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: coeficiente ASIGNADO sin medición; propuesta HISTÓRICO-SIN-RELEVO o encargo de medición	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0078	milpa/procedencia.yaml:asignados_coeficiente:G4.sens_estatus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: coeficiente ASIGNADO sin medición; propuesta HISTÓRICO-SIN-RELEVO o encargo de medición	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0079	milpa/procedencia.yaml:asignados_coeficiente:G5.familismo_obligacion	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: coeficiente ASIGNADO sin medición; propuesta HISTÓRICO-SIN-RELEVO o encargo de medición	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0080	milpa/procedencia.yaml:asignados_coeficiente:G5.radio_confianza	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: coeficiente ASIGNADO sin medición; propuesta HISTÓRICO-SIN-RELEVO o encargo de medición	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0081	milpa/procedencia.yaml:asignados_coeficiente:G6.deferencia	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: coeficiente ASIGNADO sin medición; propuesta HISTÓRICO-SIN-RELEVO o encargo de medición	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0082	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.informal_sin_puente	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0083	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.con_puente_y_respaldo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0084	milpa/procedencia.yaml:asignados_probabilidad:dinero.planeacion.formal_estable	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0085	milpa/procedencia.yaml:asignados_probabilidad:dinero.credito.scoring_alternativo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0086	milpa/procedencia.yaml:asignados_probabilidad:dinero.consumo.estatus_mediado_por_credito	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0087	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.leve_sin_imss	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0088	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.grave	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0089	milpa/procedencia.yaml:asignados_probabilidad:salud.prevencion.hombre_sin_permiso	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0090	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.discrecional	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0091	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.con_registro	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0092	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.coercitivo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0093	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.util_sin_coercion	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: ASIGNADO cuyo hermano medido cambia el estimando (mismo caso que FP a157-01/02 del motor); no es relevo	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-01 (FIRMAS-17)
procedencia	RES-0094	milpa/procedencia.yaml:asignados_probabilidad:civico.denuncia.con_seguro	GEN2	RESULT-ENVIPE-SEG-CON-P-DENUNCIA	i-CRUDO (escritor V4)	RELEVADA	cita B4 / columnas de relevo; CALC-ENVIPE-DENUNCIA-SEGURO-0001 REPRODUCE	—
marco_del_duelo	RES-0095	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:R	GEN2	RESULT-R-CIV-M-01-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0096	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:M	GEN2	RESULT-ENVIPE-DEN-P-C2-U4	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0097	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0098	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
