fuente_canonica	puerta	evidencia_de_equivalencia	clasificacion_a4_de_la_puerta	capa2_agregada	en_cola	gap
HOMESCAN_CONSUMER_PANEL_SERVICES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	34	SIN-PUERTA
IMPACT_EVALUATION_OF_MOBILE_PEDAGOGICAL_TUTORS_2016	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	5	SIN-PUERTA
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	35	SIN-PUERTA
IMSS	VACIO	candidata descartada, no puerta: fuente_nombre de IMSS='Familia de instrumentos de satisfaccion de usuarios' (encuestas de satisfaccion) vs puerta='Datos Abiertos de Asegurados' (microdato administrativo de poblacion asegurada) -- mismo institucion, producto verificablemente distinto; no hay evidencia de URL o cita que los identifique. SIN-PUERTA.	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
INE	INE_Conteos_Censales_Participacion	coincidencia de institucion (INE=Instituto Nacional Electoral, mismo nombre en fuente_nombre y en institucion de la puerta) + necesidad_id: INE sirve N25,N26; puerta.necesidad_que_sirve=N25 -- coincide solo N25, N26 queda sin puerta conocida (declarado, no resuelto: cobertura parcial)	EXISTE-NO-SATISFACE	NO_REFERENCIADO	46	CON-PUERTA-CLASIFICADA
INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	12	SIN-PUERTA
ISSP	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	1	SIN-PUERTA
LAPOP	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	52	SIN-PUERTA
LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	23	SIN-PUERTA
LATINOBARÓMETRO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	53	SIN-PUERTA
MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	13	SIN-PUERTA
MASS_MOBILIZATION_PROTEST_DATA	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	14	SIN-PUERTA
MASS_MOBILIZATION_PROTEST_DATA_MEXICO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	15	SIN-PUERTA
MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	8	SIN-PUERTA
MEXICO_PANEL_STUDY_2012	ICPSR_Mexico_Panel_Study_2012	URL: cola.url_conocida=https://www.icpsr.umich.edu/web/ICPSR/studies/35024 vs puerta.url=https://www.icpsr.umich.edu/web/RCMD/studies/35024 -- mismo study_id ICPSR 35024, solo difiere el prefijo de coleccion (ICPSR vs RCMD, ambos depositos del mismo estudio)	NO-ACCESIBLE	NO_REFERENCIADO	18	CON-PUERTA-CLASIFICADA
MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	24	SIN-PUERTA
MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	25	SIN-PUERTA
OECD	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	36	SIN-PUERTA
PANEL_DE_COMPRA_DE_HOGARES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	37	SIN-PUERTA
PI	CNBV_Portafolio_Informacion	coincidencia de nombre (fuente_nombre='Portafolio de Informacion' = puerta) + necesidad_id: PI sirve N19 (unica relacion), puerta.necesidad_que_sirve=N19, ambas coinciden	EXISTE-NO-SATISFACE	NO_REFERENCIADO	50	CON-PUERTA-CLASIFICADA
PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	38	SIN-PUERTA
PUB	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	54	SIN-PUERTA
REGISTRO_DE_TANDAS_Y_REPUTACION	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	39	SIN-PUERTA
REGISTRO_OPERATIVO_DE_TANDAS_DIGITALES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	40	SIN-PUERTA
RELLABORALES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
RELLABORALESPRUEBA	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	41	SIN-PUERTA
REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	UNAM_Repositorio_Institucional_panel;COLMEX_Repositorio_panel;ITAM_panel_household_finance;Harvard_Dataverse_Mexico_panel;ICPSR_Mexico_Panel_Study_2012	fuente_nombre='Repositorios UNAM/COLMEX/ITAM' enumera explicitamente las mismas instituciones que 5 puertas distintas ya clasificadas (UNAM/COLMEX/ITAM/Dataverse/ICPSR) -- ninguna evidencia en el repo prefiere una sobre las otras cuatro, EQUIVALENCIA-AMBIGUA con las 5 nombradas. Nota: ICPSR_Mexico_Panel_Study_2012 tambien es la puerta CONFIRMADA de un fuente distinto (MEXICO_PANEL_STUDY_2012, ver esa fila) -- puede servir a ambas demandas a la vez, no es una contradiccion.	VARIOS	SI_O_REFERENCIADO	NO	EQUIVALENCIA-AMBIGUA
SE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	19	SIN-PUERTA
SERIES_SPEI_CODI_BANXICO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	45	SIN-PUERTA
SICS	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	42	SIN-PUERTA
SIN_CANDIDATO_IDENTIFICADO	VACIO	valor centinela de relaciones.tsv (sin fuente_nombre, sin candidato real) -- no es una fuente real que buscar, SIN-PUERTA trivial	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
UCDP	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	16	SIN-PUERTA
VOTAR_ENTRE_BALAS	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	43	SIN-PUERTA
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	9	SIN-PUERTA
WVS	WVS_World_Values_Survey	coincidencia de nombre (fuente_nombre='World Values Survey' = nombre de puerta), verificado por lectura directa de ambos	NO-ENCONTRADO	NO_REFERENCIADO	3	CON-PUERTA-CLASIFICADA
