prioridad	fuente	institucion	carriles_origen	objetos_proyecto	constructo	reactivo_o_exposicion	desenlace	misma_muestra	unidad_observacion	periodo	granularidad	diseno	acceso	estado	condicion_que_satisface	condicion_faltante	impacto	probabilidad	costo	recomendacion	accion_minima	evidencia
12	Mass Mobilization Protest Data, México	Mass Mobilization Data Project	general; academico	R7.4; R7.5	protesta	evento, actor y lugar	respuesta estatal	SI-EVENTO	evento	1990-2018 aprox.; confirmar	país/evento	eventos codificados	indexado	INDEXADO-NO-DESCARGADO	contraste histórico accesible	granularidad del archivo México	ALTO	MEDIO	BAJO	A	confirmar granularidad	MAPA-EXT-008; MASS_MOBILIZATION; no equivale a LAOMS/ACLED/GDELT
13	Votar entre Balas	Data Cívica / México Evalúa / Animal Político	civil	R7.5; reglas electorales	violencia político-criminal	fecha, municipio, víctima y cargo	ataque/afectación electoral	SI-EVENTO	víctima/evento	periodo electoral por confirmar	municipio	eventos compilados	descarga pública	CANDIDATA	actor político y municipio	reglas y años exactos	ALTO	ALTO	BAJO	A	verificar encabezados	Mapa civil; diseño distinto de CSES, IECM, INE y experimento 2009
14	ENCOAP 2023/2025	INEGI; marco OECD	general; academico	G1; G5; R8.3	confianza institucional	confianza 0-10, servicios, voz y participación	satisfacción/participación	SI	persona 18+	2023; 2025	urbano nacional	encuesta probabilística	documentación abierta	ABIERTO-SIN-MAPEO	confianza y outcomes coobservados	ruralidad y variables destino	ALTO	ALTO	BAJO	A	abrir cuestionario	MAPA-EXT-003; ENCOAP_2025_OECD
15	Early Childhood Education Program Impact Evaluation	CIDE; Banco Mundial; CONAFE	academico	R5.2; cuidado	programa educativo/cuidado	asignación de programa	cuidado y outcomes familiares	SI-POR-CONFIRMAR	hogar/niño	2012-2014	localidades por confirmar	evaluación de impacto	indexado	INDEXADO-NO-DESCARGADO	posible intervención y desenlace	no identifica familismo automáticamente	MEDIO	MEDIO	BAJO	A	abrir codebook	Mapa académico ECEPIE
16	Auditoría 54-DS Programa de Vacunación 2023	ASF	oficial	R9.2	cobertura y desempeño	metas, adquisición y aplicación	cobertura	POR-CONFIRMAR	programa federal	2018-2023	nacional; geografía por confirmar	auditoría	PDF abierto	CANDIDATA	evidencia independiente	cuadros y campaña exacta	ALTO	MEDIO	BAJO	B	ninguna por ahora	Distinta de Cero Desabasto y ASF 165-DS
17	Urgencias por unidad médica 2024-2026	DGIS/SINBA	oficial	R4.1; R9.1	acceso/uso de urgencias	CLUES y eventos	urgencias	SI-REGISTRO	atención/unidad	2024-2026	unidad médica	panel/evento potencial	cubos	CANDIDATA	serie local futura	estructura y comparabilidad	ALTO	MEDIO	MEDIO	B	ninguna por ahora	Mapa oficial EXT-OF-03
18	Plataforma Digital Nacional S1-S2-S3-S6	SESNA	oficial	R3.1; R3.2	corrupción/contratación	persona-proveedor-contrato-sanción	faltas/sanciones	POR-CONFIRMAR	registro administrativo	actual	ente/proveedor	panel/evento potencial	API documental	INDEXADO-NO-DESCARGADO	trazabilidad administrativa	llaves y cobertura nacional	ALTO	MEDIO	MEDIO	B	ninguna por ahora	Mapa oficial EXT-OF-05/06
19	Estadística de Elecciones Locales 2024	IECM	oficial	R7.6-R7.9	participación electoral	sección, edad y género	participación	NO-INDIVIDUAL	sección/grupo	2024	sección	descriptivo electoral	abierto	ABIERTO-SIN-MAPEO	desagregación local	no enlaza actitudes individuales	MEDIO	ALTO	BAJO	B	ninguna por ahora	Diseño distinto de CSES/2009/Votar entre Balas/INE
20	Experimental Evidence on Returns to Capital and Access to Finance	Banco Mundial; autores	academico	finanzas empresariales	srestricción de capital	capital aleatorizado	retorno empresarial	SI	microempresa	2005-2006	León	experimento	paquete documental	SATISFACE-UMBRAL-DOCUMENTAL	retorno causal a capital	encaje con parámetro vigente	MEDIO	ALTO	BAJO	B	ninguna por ahora	Mapa académico CAPITAL_RETURNS
21	Interacting as equals reduces partisan polarization in Mexico	ITAM; universidades	academico	sens_estatus; polarización	interacción como iguales	contacto igualitario	polarización	SI	persona	2024	México; detalle por confirmar	experimento	paquete documental	SATISFACE-UMBRAL-DOCUMENTAL	tratamiento causal de igualdad de estatus	traslado al objeto exacto	MEDIO	ALTO	BAJO	B	ninguna por ahora	Mapa académico POLARIZACION_ESTATUS
22	Disaster and Political Trust: terremoto CDMX 2017	BID; LAPOP; DATA OPM	academico	G1; G4	exposición a terremoto	intensidad/exposición al sismo	confianza política	SI-POR-CONFIRMAR	persona	2017	CDMX	experimento natural	indexado	INDEXADO-NO-DESCARGADO	choque y confianza	amenazas temporales	MEDIO	MEDIO	MEDIO	B	ninguna por ahora	Mapa académico EARTHQUAKE_TRUST
23	Electoral precinct-level database for municipal elections	ITAM; Scientific Data	academico	R7	resultados electorales	resultados por sección/municipio	voto/participación	SI-AGREGADO	sección electoral	1994-2019	sección/municipio	panel electoral	indexado	CANDIDATA	panel electoral reproducible	llaves con exposiciones	MEDIO	ALTO	BAJO	B	ninguna por ahora	Complementa, no sustituye, experimentos
24	Base del Observatorio de Conflictos por el Agua	IMTA/OMCA	civil	R7.4; R7.5	conflicto socioambiental	agravio, acción y respuesta	respuesta colectiva	SI-EVENTO	evento	por confirmar	local	eventos de subdominio	consulta pública	CANDIDATA	prueba de concepto de mecanismo	cobertura y descarga	MEDIO	MEDIO	BAJO	B	ninguna por ahora	Mapa civil OMCA
25	CSES/IECM/INE diseños electorales complementarios	varias	general; oficial; academico; civil	R7	diseños electorales	encuesta, experimento, violencia, participación y fiscalización	varios	VARIA	persona/sección/evento/campaña	varios	varia	varios	vario	RECONCILIADO	evita colapso por objeto común	aperturas se deciden por producto	MEDIO	ALTO	BAJO	B	ninguna por ahora	Registro explícito de no equivalencia
26	Global Preferences Survey, México	Universidad de Bonn; Gallup	general; academico	G2-G5	riesgo, tiempo y confianza	módulos validados	outcomes socioeconómicos	SI-POR-CONFIRMAR	persona	2012	nacional por país	transversal comparado	no accesible	NO-ACCESIBLE	reactivos directos potenciales	cobertura México, licencia y n	ALTO	MEDIO	ALTO	D	solicitar decisión de acceso	MAPA-EXT-002; GLOBAL_PREFERENCE_SURVEY
27	Base de eventos de protesta en México	LAOMS	civil	R7.4; R7.5	protesta y respuesta	fecha, actor, demanda y respuesta	respuesta estatal	SI-EVENTO	evento	2000-2022	lugar por confirmar	eventos de investigación	requiere contacto	CANDIDATA	unidad rica de protesta	acceso, codebook y continuidad	ALTO	MEDIO	ALTO	D	decidir si contactar institución	No equivale a Mass Mobilization, ACLED o GDELT
28	Registro operativo de tandas digitales	Tanda+	civil	R8.2	tanda y confianza	participación y cumplimiento	incumplimiento/reputación	SI-POTENCIAL	usuario/tanda	actual	plataforma	registro operativo	requiere convenio	NO-ACCESIBLE	mecanismo directo de tanda	acceso, tracción y representatividad	ALTO	MEDIO	ALTO	D	decidir si gestionar convenio	Distinto de Banxico, IFT, Compartamos y educación financiera
29	Registro de tandas y reputación	Tanda Ahorro MX	civil	R8.2	tanda/reputación	registro operativo	cumplimiento	SI-POTENCIAL	usuario/tanda	actual	plataforma	registro operativo	requiere convenio	NO-ACCESIBLE	mecanismo directo potencial	validar uso real	ALTO	BAJO	ALTO	D	decidir si validar tracción	Mapa civil
30	Panel de compra de hogares	Kantar Worldpanel by Numerator México	civil	prima de marca	compra real	marca y precio	compra	SI	hogar	actual	nacional comercial	panel	requiere licencia	NO-ACCESIBLE	coincidencia directa con compra	costo, licencia y variables	ALTO	ALTO	ALTO	D	decidir si cotizar licencia	Mapa civil
31	Homescan / Consumer Panel Services	NielsenIQ	civil	prima de marca	compra real	marca y precio	compra	SI-POTENCIAL	hogar	actual	México por confirmar	panel	requiere licencia	NO-ACCESIBLE	panel comercial potencial	cobertura México y costo	ALTO	MEDIO	ALTO	D	decidir si cotizar licencia	Mapa civil
32	FinTech Lending to Borrowers with No Credit History	Kellogg; fintech no identificada	civil	crédito alternativo	acceso sin historial	canal/score alternativo	aprobación y desempeño	SI-POTENCIAL	solicitud/préstamo	por confirmar	México	estudio con datos privados	requiere contacto	NO-ACCESIBLE	calibración de rechazo/crédito alternativo	identidad, licencia y acceso	ALTO	MEDIO	ALTO	D	decidir si contactar autores	Mapa civil
33	Employee Listening y talento/desempeño	Mercer México	civil	desempeño laboral	actitud laboral	encuesta de empleado	desempeño	POR-CONFIRMAR	empleado	actual	organización	encuesta comercial	requiere licencia	NO-ACCESIBLE	posible misma muestra	ficha, enlace y licencia	MEDIO	BAJO	ALTO	D	decidir si solicitar ficha	Mapa civil
34	ACLED event-level data	ACLED	civil	R7.4; R7.5	violencia/protesta	evento codificado	respuesta/violencia	SI-EVENTO	evento	actual	geocodificada	eventos	restringido	NO-ACCESIBLE	granularidad evento internacional	licencia y adecuación	ALTO	ALTO	ALTO	D	decidir sobre licencia	No equivale a LAOMS, Mass Mobilization o GDELT
35	GDELT 2.0 Event Database	GDELT Project	general	R7.4; R7.5	eventos noticiosos	evento y tono	cobertura mediática	SI-EVENTO	evento/noticia	2015-actualidad	geocodificada	eventos masivos	abierto, alto costo técnico	CANDIDATA	entorno evento por evento	ruido, validación y costo	MEDIO	MEDIO	ALTO	D	decidir si financiar procesamiento	No equivale a fuentes de protesta curadas
36	World Bank Enterprise Survey Mexico 2023	Banco Mundial	general	R2.1; R2.2; R10.2	contexto empresarial	corte empresarial	outcomes empresariales	SI	empresa	2023	nacional	transversal	registro	MAPEADO-NO-SATISFACE	control secundario	no es panel ni resuelve objetos exactos	BAJO	ALTO	MEDIO	C	ninguna	No confundir con panel 2006-2010
37	UCDP Georeferenced Event Dataset	UCDP	general	R7.5	violencia organizada	evento armado	muertes/eventos	SI-EVENTO	evento	varios	geocodificada	eventos	abierto	MAPEADO-NO-SATISFACE	solo si R7.5 se restringe a violencia organizada	no cubre protesta general	BAJO	ALTO	BAJO	C	ninguna	Búsqueda negativa importante
38	ISSP Social Inequality V 2019	ISSP/GESIS	general	sens_estatus	desigualdad/estatus	reactivos sociales	actitudes	SI	persona	2019	México	transversal	registro	MAPEADO-NO-SATISFACE	contexto de desigualdad	no reabre ADR-54	BAJO	ALTO	BAJO	C	ninguna	MAPA-EXT-014
39	Repositorios UNAM/COLMEX/ITAM; Dataverse; ICPSR	varias	academico	panel hogar-crédito	crédito longitudinal	búsqueda de panel	outcomes de hogar	NO	ninguna	varios	México	búsqueda negativa	cerrado	NO-ENCONTRADO	acota búsquedas repetidas	no apareció panel exacto	BAJO	ALTO	BAJO	C	ninguna	Tres negativos académicos consolidados; ENNViH/MxFLS sigue único
40	Canal de adquisición/referidos fintech	CNBV; Banxico; COFECE	oficial	crédito fintech	canal de adquisición	no encontrado	no encontrado	NO	ninguna	actual	México	búsqueda negativa	cerrado	NO-ENCONTRADO	acota universo oficial	fuente no localizada	BAJO	ALTO	BAJO	C	ninguna	Mapa oficial EXT-NEG-01
41	Denuncia vinculada con tenencia de seguro	universo civil/comercial	civil	civico.denuncia.con_seguro	denuncia y seguro	no encontrado	denuncia	NO	ninguna	actual	México	búsqueda negativa	cerrado	NO-ENCONTRADO	confirma hueco estructural	requeriría convenio con aseguradora	BAJO	ALTO	MEDIO	C	ninguna	Mapa civil negativo
