coef_id	payload_id	fuente	co_observacion	eje_condicionamiento_disponible	llave_aplicable	veredicto_a4	universo_declarado	comando
N14/G5.radio_confianza	enasem2018_fd_xlsx	ENASEM/MHAS, las 11+8+10 hojas de las 3 rondas	N	edad; sexo	NINGUNA	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	0 de 6471 variables (Nemonico + Nombre + Pregunta, tres rondas 2018/2021/2024) contienen confianza ni confia. Negativo definitivo sobre este instrumento: ENASEM no trae bateria de confianza de ningun tipo. Mismo barrido da 0 hits para obedien, jerarqu, iniciativ, autoridad, deferenc y retroalimentacion, lo que cierra tambien N15/G6.deferencia sobre este instrumento	python3 scratchpad/enasem_scan.py sobre las 3 fd.xlsx
N13/G5.familismo_obligacion	eder2025_bd_csv_zip	EDER 2025, tabla HISTORIAVIDA, Seccion 6 Sistema de cuidados	S	edad; sexo; cve_ent; cve_mun; anio_retro	PANEL	EXISTE-NO-SATISFACE	Modulo nuevo de la ola 2025, ausente en 2011 y 2017: tarea_dom (Q6.3, 0 nada / 1 domestico / 2 cuidado menores de 6 / 3 cuidado 6-59), hora_dom (Q6.4, horas semanales en 6 bandas), compa_dom (Q6.5), paren_dom (Q6.6, parentesco de la persona cuidada, 00-17) e inst_dom (Q6.7, institucion publica/privada/ninguna). Retrospectivo anio por anio, llave folioviv+foliohog+id_pobla+anio_retro. MISMA FRONTERA que ENUT y ENASEM: es conducta de cuidado, no actitud; ADR-67(b) dejo la capa conductual fuera de theta. Ademas el retrospectivo no es panel prospectivo: el sesgo de recuerdo es real y va declarado. usado_para de EDER 2025 cita forense/notas/2026-08-05-m3-lote-b3-diez-reactivos.md	python3 -c "pypdf sobre data/raw/eder2025/eder2025_descripcion_bd.pdf, seccion 6"
TODOS-LOS-15	enoe_cuestionario_ampliado_v6a_pdf	ENOE, los 6 cuestionarios (ampliado v5/v6a, basico v5/v7, sociodem v4/v5a)	N	seg_soc; t_loc; sex; eda; ent; mun	NINGUNA	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	Texto completo extraido con pypdf de los 6 PDF (6408 a 35733 caracteres cada uno) y barrido contra los 9 constructos de los 15 coeficientes. ahorro, credito, deuda y riesgo SI aparecen, pero solo como prestacion laboral (caja de ahorro, credito Infonavit) o como razon de cierre de negocio; nunca como bateria de actitud o planeacion. apoyo y autoridad son boilerplate legal del Art. 45 de la Ley del SNIEG. El unico hit sustantivo de violencia es una categoria dentro de la razon de migracion, universo restringido a quien se mudo. EXTIENDE ADR-49 D1, que solo habia verificado horizonte_temporal, a los 15 completos: ENOE es portador de DESENLACES sin ninguna EXPOSICION theta	python3 scratchpad/enoe_pdf_scan.py
N8/G4.exposicion_violencia	envipe2025_csv	ENVIPE 2025, TPer_Vic2 (Sección VII, datos abiertos)	S	EDAD, DOMINIO, ESTRATO, formalidad(parcial, join TSDem AP3_8/AP3_10)	NINGUNA	EXISTE-SATISFACE	Inspección previa existe y se reproduce: forense/notas/2026-08-04-envipe-tper-vic2-tmod-vic-paso1.md (candidato AP7_3_09-14) y 2026-08-04-medicion-exposicion-violencia-envipe.md (MEDIDO·PARCIAL: 5.675% núcleo sin extorsión, 9.668% con extorsión, validado contra INEGI 279/100k violación con 0.09% de diferencia). Esta sesión reabrió el zip y confirmó header de tper_vic2_envipe2025 (AP7_3_05.._15 + AP7_4_05.._15) y de tper_vic1_envipe2025 (AP4_10_01.._16 "por temor...dejó de", AP4_11_01.._11 incl. AP4_11_09 "adquirir armas de fuego") -- coinciden byte a byte con lo citado en las notas. co_observacion=S es AP4_10/AP4_11 (retracción del espacio público + adquisición de armas), no los 3 ids literales de G4 (protesta/autodefensa/ver_oir_callar: cero wording, ya cerrado por notas previas) -- BP1_23 (TMod_Vic) es un desenlace ADICIONAL ya autorizado por MESA-E1 con universo declarado "entre disparadores de AP7_3", asociación medida +16.614pp (encargo-e-envipe-g4-paso1.md 13.2).	python3 -c "import zipfile;z=zipfile.ZipFile('data/raw/envipe2025_csv.zip');f=z.open('tper_vic2_envipe2025/conjunto_de_datos/conjunto_de_datos_tper_vic2_envipe2025.csv');chunk=f.read(20000);print(chunk.split(chr(13).encode())[0])"
N8/G4.exposicion_violencia	envipe2018_fd_pdf	ENVIPE 2018, FD (TPer_Vic1/TPer_Vic2 equivalente)	S	EDAD, DOMINIO	NINGUNA	EXISTE-SATISFACE	fd_envipe2018.pdf via pdftotext -layout completo (5864 lineas). grep confirma AP7_3_10, AP7_3_11, AP7_3_12, AP7_3_13, AP7_3_14 (5/5) y AP4_10_01, AP4_11_09 presentes -- mismo patron de mnemonico que 2025, no releida palabra por palabra la pregunta completa (solo localizacion + conteo). Extiende hacia atras el rango que las notas previas (todas centradas en 2025) no cubrieron.	grep -c "AP7_3_10\b" /tmp/.../fd_envipe2018.txt
N8/G4.exposicion_violencia	envipe_2017_fd_envipe2017	ENVIPE 2017, FD (ultima ola pre-"datos abiertos", solo DBF)	S	EDAD, DOMINIO	NINGUNA	EXISTE-SATISFACE	fd_envipe2017.pdf via pdftotext -layout (5545 lineas). grep confirma AP7_3_10.._14 (5/5) y AP4_10_01/AP4_11_09 presentes. El payload de datos de este ano (envipe_2017_bd_envipe2017_dbf, fuera de esta fila) es DBF -- no abierto en esta sesion (no hay libreria DBF disponible, ver seccion "que no se pudo abrir").	grep -c "AP7_3_1[0-4]\b" /tmp/.../fd_envipe2017.txt
N8/G4.exposicion_violencia	envipe_2013_fd_envipe2013	ENVIPE 2013, FD, hoja TPer_Vic	S	EDAD (via TSDem)	NINGUNA	EXISTE-SATISFACE	fd_envipe2013.xlsx hoja TPer_Vic (1058 filas) leida completa via openpyxl. Confirma AP7_3_10-AP7_3_15 con wording casi identico a 2025 (unica diferencia notable: AP7_3_11 en 2013 dice solo "golpeo", 2025 agrega "empujo o ataco"). Tambien confirma AP4_10_01-AP4_10_15 (incl. item "usar joyas?" que no aparecio en la lectura de 2025) y AP4_11_09 "adquirir armas de fuego" -- bateria de exposicion Y de desenlace estables 12 anos antes de las mediciones ya hechas sobre 2025.	python3 openpyxl: ws=wb['TPer_Vic']; grep celdas por 'AP7_3_1'/'AP5_4'
N8/G4.exposicion_violencia	envipe_2011_fd_envipe2011	ENVIPE 2011, FD (.xls legado)	N	--	NINGUNA	EXISTE-NO-SATISFACE	FD abierto en esta sesion con xlrd 2.0.2 (wheel de pypi extraido en scratchpad, sin tocar el sistema): resuelve el POR-ABRIR que el barrido declaro. Hojas 2011: TVivien/TSDem/TPer_Vic(1063 filas)/TMod_Vic(530). Hojas 2012: TVivienda/TSDem/TPer_Viv(985)/TMod_Vic(629). HALLAZGO: el mnemonico NO es identificador estable entre olas. En 2011 AP4_10_1='cambiar puertas o ventanas?' (medidas de proteccion de la vivienda); en 2012 ese mismo texto es AP4_11_1, y AP4_10_* pasa a ser retraccion conductual ('permitir que sus hijos salieran', 'visitar parientes o amigos', 'llevar dinero en efectivo', 'frecuentar centros comerciales', 'viajar por carretera'). Ademas AP7_3 tiene solo _1/_2 en 2011 y _1.._11 en 2012. Empalmar por mnemonico entre olas pega dos constructos distintos sin error visible. AP5_4_1.._9 (9 items) presente en ambas, misma lista corta que K1 documento para 2013 y distinta de los AP5_4_01.._11 de 2025.	PYTHONPATH=<scratchpad>/pylibs python3 -c "import xlrd; wb=xlrd.open_workbook('data/raw/envipe2011/fd_envipe2011.xls'); sh=wb.sheet_by_name('TPer_Vic'); print([[str(c.value) for c in sh.row(r)] for r in range(sh.nrows)])"
N8/G4.exposicion_violencia	envipe_2012_fd_envipe2012	ENVIPE 2012, FD (.xls legado)	N	--	NINGUNA	EXISTE-NO-SATISFACE	FD abierto en esta sesion con xlrd 2.0.2 (wheel de pypi extraido en scratchpad, sin tocar el sistema): resuelve el POR-ABRIR que el barrido declaro. Hojas 2011: TVivien/TSDem/TPer_Vic(1063 filas)/TMod_Vic(530). Hojas 2012: TVivienda/TSDem/TPer_Viv(985)/TMod_Vic(629). HALLAZGO: el mnemonico NO es identificador estable entre olas. En 2011 AP4_10_1='cambiar puertas o ventanas?' (medidas de proteccion de la vivienda); en 2012 ese mismo texto es AP4_11_1, y AP4_10_* pasa a ser retraccion conductual ('permitir que sus hijos salieran', 'visitar parientes o amigos', 'llevar dinero en efectivo', 'frecuentar centros comerciales', 'viajar por carretera'). Ademas AP7_3 tiene solo _1/_2 en 2011 y _1.._11 en 2012. Empalmar por mnemonico entre olas pega dos constructos distintos sin error visible. AP5_4_1.._9 (9 items) presente en ambas, misma lista corta que K1 documento para 2013 y distinta de los AP5_4_01.._11 de 2025.	PYTHONPATH=<scratchpad>/pylibs python3 -c "import xlrd; wb=xlrd.open_workbook('data/raw/envipe2011/fd_envipe2011.xls'); sh=wb.sheet_by_name('TPer_Vic'); print([[str(c.value) for c in sh.row(r)] for r in range(sh.nrows)])"
N9/G4.confianza_institucional	envipe2025_fd_pdf	ENVIPE 2025, TPer_Vic1 Seccion V	S	EDAD, DOMINIO, ESTRATO, formalidad(parcial)	NINGUNA	EXISTE-SATISFACE	Ya MEDIDO y asociado bajo MESA-E1: forense/notas/2026-08-04-encargo-e-envipe-g4-paso1.md 13.3 -- los 7 items AP5_4_01/02/03/05/06/07/11 (justicia-policia) todos con signo negativo frente a BP1_23, 25/49 celdas significativas. hitoE-campana-medicion-v2_0.md:1070-1071 fija la particion completa: AP5_4_01/02/03/05/06/07/11 = justicia-policia (7 items) + AP5_4_04/08/09/10 = seguridad-FFAA (4 items) = los 11 items AP5_4 completos. Esta sesion releyo el header real de tper_vic1_envipe2025 y confirma AP5_4_01..AP5_4_11 sin huecos (11/11), no solo los 7 citados por el briefing.	grep -n "AP5_4_01\b" fd.txt ; header tper_vic1 conjunto_de_datos
N9/G4.confianza_institucional	envipe_2013_fd_envipe2013	ENVIPE 2013, FD, hoja TPer_Vic	S	EDAD	NINGUNA	EXISTE-SATISFACE	fd_envipe2013.xlsx hoja TPer_Vic. AP5_4_1..AP5_4_9 (9 items, SIN cero a la izquierda) -- lista de instituciones DISTINTA a 2025: incluye "Policia Federal" (AP5_4_4, cuerpo disuelto en 2019) y "Ejercito"/"Marina" como filas separadas; NO incluye FGR (creada 2018-19 sobre PGR) ni el bloque "MP y Fiscalias Estatales" tal como aparece en 2025. El patron de mnemonico AP5_4_N es estable 2013-2025 pero la COMPOSICION INSTITUCIONAL no lo es -- serie longitudinal de confianza_institucional[justicia] no es directamente comparable ano a ano sin mapear que institucion ocupa cada indice.	python3 openpyxl: filtra celdas 'AP5_4' en hoja TPer_Vic de fd_envipe2013.xlsx
N8/G4.exposicion_violencia	endireh2021_fd_pdf	ENDIREH 2021, FD completo (51795 lineas, TB_VD + 20 secciones)	N	EDAD, DOMINIO(urbanizacion), acceso_digital(hogar: P1_4_5/P1_4_9)	NINGUNA	EXISTE-SATISFACE	Deuda del programa (forense/hallazgos.md:77), C2 dejado ABIERTO por forense/notas/2026-08-04-cal-conf-faseb-pos4-endireh-paso1.md 5. Esta sesion la resuelve: pdftotext -layout completo del FD (51795 lineas) + grep -in de "protesta|manifesta|marcha|autodefensa|ronda comunitaria|policia comunitaria|grupo armado|arma (fuera de contexto de agresor)|callar|guardo silencio|espacio publico|restring|salir sola|dejar de salir" sobre el TEXTO COMPLETO -> CERO resultados en las 3 reglas de G4 (civico.protesta.agravio_urbano, civico.autodefensa.agravio_rural, comunicacion.inseguridad.ver_oir_callar) y CERO resultados de "retraccion del espacio publico" en la clausula general canon:372. La seccion mas cercana tematicamente (Seccion XV "Decisiones y libertad personal", fd.txt:46102-47850) es control/permiso de la pareja para salir, votar o ver amigos -- mecanismo de autoridad conyugal, no retraccion por miedo al crimen. C2 = N, declarado con certeza, no solo acotado.	pdftotext -layout data/raw/endireh2021/endireh2021_fd.pdf - | grep -in "protesta\|autodefensa\|callar\|espacio p.blico"
N8/G4.exposicion_violencia	endireh2021_bd_csv_zip	ENDIREH 2021, tabla TB_VD (microdato real)	N	EDAD(TSDem), DOMINIO(en TB_VD), acceso_digital(TVIV, nivel hogar)	NINGUNA	EXISTE-SATISFACE	Reproduce y verifica contra microdato real (no solo el FD) lo que 2026-08-04-cal-conf-faseb-pos4-endireh-paso1.md declaro como candidato: header real de bd_endireh_2021_csv/TB_VD.csv confirma las 19 variables (VTOT_A/12M, VPSI/VFIS/VECO/VSEX_A/12M, VESC/VLAB/VCOM_A/12M, VFAM, VPAR_A/12M) + FAC_VIV/FAC_MUJ/ESTRATO/UPM_DIS/EST_DIS (diseno completo). Universo: mujeres 15+ (FD 1.2.2 verbatim), VESC/VLAB/VPAR condicionan a subpoblaciones aun mas angostas (estudiantes/trabajadoras/con pareja, con categoria "blanco"). TSDem.csv confirma EDAD; TVIV.csv confirma P1_4_5/P1_4_9 (celular/internet, nivel hogar via UPM+VIV_SEL).	python3 -c "import zipfile;z=zipfile.ZipFile('data/raw/endireh2021/bd_endireh_2021_csv.zip');print(z.open('bd_endireh_2021_csv/TB_VD.csv').readline())"
N8/G4.exposicion_violencia	endireh_2016_bd_mujeres_endireh2016_sitioinegi_csv	ENDIREH 2016, 24 tablas TB_SEC_* + TSDem	N	EDAD(TSDem)	NINGUNA	EXISTE-SATISFACE	Hallazgo nuevo, no documentado antes: 2016 NO TIENE una tabla TB_VD ni ninguna "variable derivada" de violencia (grep -in "derivada" sobre fd_endireh2016_dbf.pdf da un solo resultado, ajeno). El listado de zip confirma que no hay archivo TB_VD.csv (24 tablas TB_SEC_* + TSDem, ninguna llamada VD) y el header de TSDem.csv no trae flags de violencia. La bateria de items crudos por ambito SI existe (TB_SEC_VI/VI_2 escolar, VII/VII_2 laboral, VIII/VIII_2 comunitario, X/X_2 familiar, XII/XII.I/XIII/XIII_2 pareja -- section numbers desplazados 1 respecto a 2021 porque 2021 agrego "Atencion obstetrica" como seccion propia) pero construir un equivalente de VTOT_A exige agregar items, no esta ya resuelto como en 2021. Mismo grep de C2 (protesta/autodefensa/callar) sobre fd_endireh2016_dbf.pdf (42445 lineas) -> tambien CERO resultados.	grep -in "derivada" fd_endireh2016_dbf.txt ; zip listing bd_mujeres_endireh2016_sitioinegi_csv.zip
N8/G4.exposicion_violencia	mociba2024_fd_xlsx	MOCIBA 2024, hoja TMociba (2867 filas)	S	EDAD, TLOC, DOMINIO, SEXO, conex_inte(P7_1/P7_4/P8_11USU)	NINGUNA	EXISTE-SATISFACE	Territorio no explorado antes (manifiesto usado_para de mociba2024_* solo cita eje acceso_digital, Encargo E/D-2 -- ninguna nota toca la bateria de violencia). Hoja TMociba leida completa via openpyxl. P4_01-P4_13: 13 tipos de ciberacoso sufridos en el ultimo ano (mensajes ofensivos, llamadas ofensivas, criticas por apariencia, usurpacion de identidad, contacto con nombre falso, vigilancia de cuentas, provocacion, insinuaciones sexuales, envio de contenido sexual no deseado, distribucion no consentida de contenido intimo, dano por publicacion de info personal, sextorsion, otra). P12_01-P12_13/P12_99: bateria de DESENLACE co-observada, misma persona, mismo instrumento, sin condicionar a subpoblacion mas alla de haber vivido >=1 situacion P4_XX: bloquear(01)/cambiar cuenta o contrasena(02)/eliminar publicacion(03)/confrontar(04)/DENUNCIAR ante MP o Fiscalia(05)/reportar a plataforma(06)/informar a alguien(07)/IGNORAR O NO CONTESTAR(08)/publicar en redes(09)/denunciar autoridad escolar-laboral(10)/reportar a policia(11)/otra(12)/NINGUNA(13)/NS-NR(99) -- cubre denuncia, evitacion Y silencio en una sola bateria. Nota del FD: SEXO/EDAD/NIVEL/GRADO/P7_1/P7_4/P8_11USU son variables heredadas del "modulo de usuarios de ENDUTIH" (marcadas con *) -- universo = usuarios de Internet via ENDUTIH, corte de edad exacto NO verificado en este acto (no se abrio el descriptor de ENDUTIH). FRONTERA: mide violencia DIGITAL, no la victimizacion delictiva del reactivo sellado (ENVIPE TPer_Vic2 AP7_3_10..14). No lo sustituye. Su valor es que responde a un hueco que el propio canon declara: H-12 de canon/modelo-decision-v4_0.md dice verbatim 'malla truncada: ENVIPE no tiene digital ni migracion'. Y no arrastra el defecto de BP1_23: la bateria de desenlace P12_01..P12_13/P12_99 no esta condicionada a mas subpoblacion que haber vivido al menos una situacion.	python3 openpyxl: wb['TMociba'], filtrar por P4_ y P12_
N8/G4.exposicion_violencia	mociba2024_bd_csv_zip	MOCIBA 2024, MOCIBA2024.csv (microdato real)	S	EDAD, TLOC, DOMINIO, SEXO	NINGUNA	EXISTE-SATISFACE	Reproduce contra microdato real (no solo el FD): header de MOCIBA2024.csv (unico csv del zip, terminador \r puro) trae exactamente las columnas P4_01..P4_13, P12_01..P12_13, P12_99, FACTOR, DOMINIO, ESTRATO, TLOC, UPM_DIS, EST_DIS, CVE_ENT, SEXO, EDAD -- coincide 1:1 con lo leido en mociba2024_fd_xlsx. ~43434 filas (conteo aproximado de \r, no se cargo el csv completo en memoria). FRONTERA: mide violencia DIGITAL, no la victimizacion delictiva del reactivo sellado (ENVIPE TPer_Vic2 AP7_3_10..14). No lo sustituye. Su valor es que responde a un hueco que el propio canon declara: H-12 de canon/modelo-decision-v4_0.md dice verbatim 'malla truncada: ENVIPE no tiene digital ni migracion'. Y no arrastra el defecto de BP1_23: la bateria de desenlace P12_01..P12_13/P12_99 no esta condicionada a mas subpoblacion que haber vivido al menos una situacion.	python3 -c "import zipfile;z=zipfile.ZipFile('data/raw/mociba2024/mociba2024_bd_csv.zip');f=z.open('MOCIBA2024.csv');chunk=f.read(3000);print(chunk.split(chr(13).encode())[0])"
N8/G4.exposicion_violencia	mociba_2015_mociba2015_fd	MOCIBA 2015 (primera ola), hoja TCiberacoso	S	EDAD, NIVEL(escolaridad)	NINGUNA	EXISTE-SATISFACE	Confirma continuidad de diseno 10 anos antes de 2024: hoja TCiberacoso (596 filas) leida completa via openpyxl. P3_1-P3_10: 10 tipos de exposicion (menos que los 13 de 2024 -- la bateria crecio con el tiempo). Por cada situacion, P7_X_1..P7_X_8: "A consecuencia de la situacion que vivio, que acciones tomo" -- Confrontar / Cambiar o cancelar numero-cuenta / Informar a tercera persona / Denunciar ante alguna autoridad / No responder / Ignorar la situacion / Otra -- arquitectura de co-observacion exposicion+desenlace (incl. silencio: "no responder"+"ignorar") YA PRESENTE desde la primera ola, no es una adicion tardia. No aparecen DOMINIO/ESTRATO/TLOC en esta hoja (a diferencia de 2024) -- termina en FAC_MOCIBA; variables de diseno completas no confirmadas para esta ola especifica en este acto. FRONTERA: mide violencia DIGITAL, no la victimizacion delictiva del reactivo sellado (ENVIPE TPer_Vic2 AP7_3_10..14). No lo sustituye. Su valor es que responde a un hueco que el propio canon declara: H-12 de canon/modelo-decision-v4_0.md dice verbatim 'malla truncada: ENVIPE no tiene digital ni migracion'. Y no arrastra el defecto de BP1_23: la bateria de desenlace P12_01..P12_13/P12_99 no esta condicionada a mas subpoblacion que haber vivido al menos una situacion.	python3 openpyxl: wb['TCiberacoso'], listar P3_/P7_
N10/G4.horizonte_temporal	envipe2025_fd_pdf	ENVIPE 2025, TPer_Vic1 pregunta 4.7	N	NO-APLICA	NINGUNA	EXISTE-NO-SATISFACE	AP4_7_1/AP4_7_2/AP4_7_3: "Considera que la seguridad publica en su entidad/municipio/pais mejorara, seguira igual o empeorara?" -- es expectativa de TENDENCIA SOCIAL agregada (macro), no planeacion o descuento temporal personal (el theta operacional declarado es "planeacion/descuento temporal", proxy conocido ENIF P4_10). Constructo distinto, ya descartado por forense/notas/2026-08-04-cal-conf-faseb-pos4-envipe-paso1.md 5 como percepcion/actitud (no se cito alli para N10 especificamente, se re-evalua aqui contra ese eje).	fd.txt:380-403 "AP4_7"
