# GENERADO por tools/mide_participacion_tipo_boleta.py --tabla-identificacion (ACTO MAESTRA35-L3, P0). No editar a mano.
entidad	de	a	hueco	tipo_de	tipo_a	dD_pres	dD_int	clase	identifica	estatus_entidad	cohorte
Oaxaca	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Oaxaca	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Puebla	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA	
Puebla	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA	
Querétaro	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Querétaro	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Quintana Roo	2016	2018	2	sin-federal	presidencial	1	0	SWITCH	beta_pres (+alpha)	TRATADO	g2018
Quintana Roo	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Quintana Roo	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
San Luis Potosí	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
San Luis Potosí	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Sinaloa	2016	2018	2	sin-federal	presidencial	1	0	SWITCH	beta_pres (+alpha)	TRATADO	g2018
Sinaloa	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Sinaloa	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Sonora	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Sonora	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Tabasco	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Tabasco	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Tamaulipas	2016	2018	2	sin-federal	presidencial	1	0	SWITCH	beta_pres (+alpha)	TRATADO	g2018
Tamaulipas	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Tamaulipas	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Tlaxcala	2016	2021	5	sin-federal	intermedia	0	1	SWITCH	beta_int (+alpha)	TRATADO	g2021
Tlaxcala	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2021
Veracruz	2017	2021	4	sin-federal	intermedia	0	1	SWITCH	beta_int (+alpha)	TRATADO	g2021
Yucatán	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Yucatán	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Zacatecas	2016	2018	2	sin-federal	presidencial	1	0	SWITCH	beta_pres (+alpha)	TRATADO	g2018
Zacatecas	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Zacatecas	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
