instrumento	id_manifiesto	sha256_verificado	necesidad	variable_encontrada	texto_del_reactivo	escala	tabla	n_filas	desenlace_coobservado_en_mismo_instrumento	es_panel	llave_ADR57c	clasificacion_a4	universo_declarado
ENFIH 2019	enfih2019_fd_xlsx	COINCIDE	12 familismo_apoyo (no-ENIF)	P11_1_5	'11.1 Si hoy tuviera una urgencia economica igual a lo que gana o recibe en un mes, ¿usted podria pagarla con un prestamo de amigos o familiares?'	binario Si/No	TModulo	40940	La misma Seccion 11 mide percepcion de carga financiera (P11_1_1..5, distintas fuentes de afrontamiento) -- co-observable dentro del instrumento aunque no nombrado como desenlace de un generador del motor	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-NO-SATISFACE	26 coincidencias de 'familiar', 15 de 'apoyo' (838 variables) -- la enorme mayoria son transacciones conductuales (prestamos ya recibidos de familiares, subsidios de gobierno) o P11_1_5 (capacidad percibida de afrontamiento en UN escenario hipotetico). Le falta: no es una disposicion general de apoyo/familismo, es capacidad percibida de coping en un escenario puntual, 2026-08-08
ENFIH 2019	enfih2019_fd_xlsx	COINCIDE	13 familismo_obligacion	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	838 variables; terminos obligacion/cuidar/cuidado = 0, 2026-08-08
ENFIH 2019	enfih2019_fd_xlsx	COINCIDE	14 puente radio_confianza	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	838 variables; terminos confianza/confia = 0 -- ENFIH no trae ningun reactivo de confianza pese a cubrir conducta financiera extensa (ahorro, credito, deuda, seguros, remesas) en 16 tablas, 2026-08-08
ENFIH 2019	enfih2019_fd_xlsx	COINCIDE	theta subjetivos (ENBIARE-like)	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	838 variables; terminos satisf* (corregido de 'satisfac' a 'satisf' para cubrir 'satisfecho/a')/bienestar/feliz/proposito/afect/optimis = 0 en las 16 hojas, 2026-08-08
ENASIC 2022	enasic2022_fd_xlsx	COINCIDE	3.11 sens_estatus (G2,G4)	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	1427 variables extraidas de las 6 hojas (TVIVIENDA,THOGAR,TCSDemPO,TPOB_CUI,THOG_UNIP,TPER_ELE) de enasic_2022_fd.xlsx via openpyxl; terminos estatus/apariencia/comparar/vecinos/marca = 0, 2026-08-08
ENASIC 2022	enasic2022_fd_xlsx	COINCIDE	4.6 aversion_riesgo (G2,G3)	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	1427 variables; riesgo/arriesg/perdida/certidumbre = 0; 'perder' 1 coincidencia irrelevante (perder contacto con hijos tras separacion de pareja, P9_25_5); 'seguro' 3 coincidencias, las 3 son nombres de programa/afiliacion (Seguro de Vida para Jefas de Familia, Seguro Social IMSS, Seguro Popular) sin contenido de riesgo/actitud, 2026-08-08
ENASIC 2022	enasic2022_fd_xlsx	COINCIDE	10 horizonte_temporal (G4)	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	1427 variables; 'futuro' 1 coincidencia irrelevante (nombre de programa de gobierno 'Jovenes Construyendo el Futuro'); planear/planeacion/plazo = 0, 2026-08-08
ENASIC 2022	enasic2022_fd_xlsx	COINCIDE	12 familismo_apoyo (no-ENIF)	P7_12_3 (bateria de 8 items 'le voy a leer unas frases')	'7.12.3 Le voy a leer unas frases. Usted me respondera si esta de acuerdo o en desacuerdo. Cuidar a las personas del hogar es responsabilidad de usted y demas integrantes de su hogar'	acuerdo/desacuerdo, codigo valido 1 = 'De acuerdo (Si)'	TPER_ELE (identico en TPOB_CUI y THOG_UNIP)	5579	La propia encuesta mide extensamente conducta de cuidado real (bateria P6.x: horas dedicadas, tareas especificas, corresidencia) -- co-observable dentro del mismo instrumento, aunque no nombrado como desenlace de un generador del motor	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-NO-SATISFACE	185 coincidencias de 'apoyo' en 1427 variables -- casi todas son checklist conductual de tareas especificas de cuidado (¿ayudo a banarse/vestirse/comer?) o si recibio pago, no disposicion general; bateria P7_12 (8 items de actitud sobre corresponsabilidad de cuidado) identificada por lectura dirigida tras hallar 'deber' en P7_12_7. Le falta: la disposicion esta encuadrada en CUIDADOS especificamente, no en apoyo familiar/economico general -- constructo cognado, no identico, 2026-08-08
ENASIC 2022	enasic2022_fd_xlsx	COINCIDE	13 familismo_obligacion	P7_12_7 (misma bateria de 8 items)	'7.12.7 Le voy a leer unas frases. Usted me respondera si esta de acuerdo o en desacuerdo. Se debe ensenar a la mujer (al hombre) que su deber es cuidar a los padres, conyuge, hijas e hijos'	acuerdo/desacuerdo, codigo valido 1 = 'De acuerdo (Si)'	TPER_ELE (identico en TPOB_CUI y THOG_UNIP)	5579	Misma nota que la fila anterior: co-observable con conducta real de cuidado dentro del instrumento	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-SATISFACE	'obligacion' literal = 0 coincidencias; hallado via termino complementario 'deber' (fuera de la lista minima del encargo, anadido en este acto). Candidato secundario mas debil: P6_38 'A las personas que declaro cuidar, ¿usted las cuida por... obligacion?' (variable unica, codigo valido '1', sin desglose visible de otras razones en el diccionario -- posible bateria incompleta en el FD). Satisface el criterio explicito del encargo ('cualquier item de obligacion hacia familiares es hallazgo'): nombra explicitamente padres/conyuge/hijas/hijos y el deber de cuidarlos, 2026-08-08
ENASIC 2022	enasic2022_fd_xlsx	COINCIDE	14 puente radio_confianza	P6_45_06	'6.45.06 ¿Por que no ha buscado este tipo de servicios o lugares (guarderia, casa del abuelo, asilo, o algun lugar donde otorguen cuidados o realicen actividades o talleres)? Incomodidad o desconfianza de que alguien ajeno lo cuide'	binario Si marcado / no marcado (razon de una lista de opcion multiple)	TPOB_CUI (identico en THOG_UNIP y TPER_ELE)	5677	Ninguno financiero -- ENASIC no trae desenlaces financieros en ninguna de sus 6 tablas	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-NO-SATISFACE	confianza/confia = 3 coincidencias, las 3 son la misma pregunta repetida en 3 tablas distintas. Le falta: es desconfianza acotada especificamente a 'que alguien ajeno cuide' (dominio de cuidados), no un radio de confianza general, y no existe ningun desenlace financiero en este instrumento para construir el puente que pide la necesidad 14, 2026-08-08
ENASIC 2022	enasic2022_fd_xlsx	COINCIDE	theta subjetivos (ENBIARE-like)	P6_39_1 / P6_39_2 / P6_39_3	'6.39.3 Derivado de los cuidados que usted otorga, ¿esta satisfecha(o) con la ayuda o apoyo que recibe para realizar los cuidados?' (y variantes .1 tiempo libre, .2 tiempo de cuidado dedicado)	binario Si/No (satisfecho / no satisfecho)	TPOB_CUI	5677	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-NO-SATISFACE	Busqueda corregida: 'satisfac' (termino original) no empata la forma irregular 'satisfecho/a' del verbo satisfacer -- rehecho con raiz 'satisf', 6 coincidencias (P5_20 satisfaccion laboral + P6_39_1/2/3 satisfaccion con aspectos del cuidado que brinda). bienestar 4 coincidencias son nombres de programa de gobierno (Pension para el Bienestar); afect 20 coincidencias son 'afectado/a' (impacto negativo del cuidado en la vida del cuidador), no afecto emocional; feliz/proposito/optimis = 0. Le falta: son items de satisfaccion acotados al dominio de cuidados, no una bateria de bienestar subjetivo general (satisfaccion con la vida/afecto/proposito), 2026-08-08
ENBIARE 2021	enbiare2021_fd_pdf	COINCIDE	3.11 sens_estatus (G2,G4)	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	2326 lineas de texto extraidas de enbiare_2021_fd.pdf via pdftotext -layout; terminos estatus/apariencia/comparar/marca = 0; 'vecinos' 3 coincidencias, las 3 sobre pertenencia a organizacion vecinal o conocer vecinos por nombre (capital social/participacion comunitaria, Apartado G), no sobre comparacion de estatus por apariencia, 2026-08-08
ENBIARE 2021	enbiare2021_fd_pdf	COINCIDE	4.6 aversion_riesgo (G2,G3)	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	riesgo/arriesg/perdida/perder/certidumbre = 0; 'seguro' 1 coincidencia, afiliacion al Seguro Social (IMSS) -- cobertura de salud, no item de riesgo, 2026-08-08
ENBIARE 2021	enbiare2021_fd_pdf	COINCIDE	10 horizonte_temporal (G4)	PA6 (peldano de vida a 5 anios) + PA3_08 (satisfaccion con perspectivas a futuro)	PA6: 'A6. Segun su percepcion, ¿en que escalon diria usted que va a estar dentro de cinco anios?' (escalera 0-10, 0='la peor vida posible', 10='la mejor vida posible'). PA3_08: 'A3. ¿Que tan satisfecho esta con sus perspectivas a futuro?' (0-10)	0-10 (tarjeta/escalera numerica)	TENBIARE	31166	Ninguno de G4 (violencia/justicia) -- ENBIARE no trae bateria de victimizacion ni justicia; el item de seguridad mas cercano es satisfaccion con 'seguridad ciudadana' (PA3_11), tambien de percepcion, no un desenlace conductual de G4	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-NO-SATISFACE	'futuro' 1 coincidencia via barrido automatizado (matcheo parcial); PA6 y PA3_08 hallados por lectura dirigida completa del Apartado A (Bienestar Subjetivo, L418-625). Le falta exactamente lo que pide la necesidad 10: co-observacion con un desenlace de G4 (violencia/justicia) en el mismo instrumento -- el reactivo de horizonte/expectativa SI existe y es limpio, pero no hay desenlace de G4 que unirle aqui, 2026-08-08
ENBIARE 2021	enbiare2021_fd_pdf	COINCIDE	12 familismo_apoyo (no-ENIF)	PB2_1	'B2. En caso de que se le presente una urgencia o necesidad, ¿considera usted que siempre contara con la ayuda de personas de su familia?' (codigos: 1=Si, 2=No, 3=No tiene familia)	categorica (Si/No/No tiene familia)	TENBIARE	31166	Apartado F (PF1_1..6) mide dificultades economicas del hogar (pedir prestado para alimentos/renta/agua/luz/colegiaturas/medicinas) en el mismo instrumento y la misma persona -- co-observable, aunque no nombrado como desenlace de un generador del motor	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-SATISFACE	'apoyo' 1 coincidencia literal (titulo de apartado); PB2_1/PB2_2 hallados por lectura dirigida del Apartado B (Confianza y Redes de Apoyo, L611-708) tras localizar la seccion via 'confianza'. Es expectativa de recibir apoyo familiar en una urgencia -- disposicion/percepcion general, no acotada a un dominio especifico como los candidatos de ENFIH/ENASIC; PB2_2 (misma pregunta para amistades no familiares) permite ademas contrastar familismo vs. red no familiar, 2026-08-08
ENBIARE 2021	enbiare2021_fd_pdf	COINCIDE	13 familismo_obligacion	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	obligacion = 0; termino complementario 'deber' (anadido tras el hallazgo en ENASIC) = 0 en las 2326 lineas. PB2_1/PB2_2 miden expectativa de RECIBIR apoyo, no obligacion propia de DAR apoyo -- direccion de constructo distinta, no se reclasifica aqui, 2026-08-08
ENBIARE 2021	enbiare2021_fd_pdf	COINCIDE	14 puente radio_confianza	PB1_01 / PB1_02 (bateria de confianza generalizada + institucional, 12 items) + PF1_1..6 (dificultades economicas)	PB1_01: 'B1. En general, ¿cuanto confia en la mayoria de la gente...' PB1_02: 'B1. En general, ¿cuanto confia en la gente que usted [conoce]...' (escala 0-10, 0='nada en absoluto', 10='completamente'). PF1_1: 'F1. En los ultimos 12 meses, ¿usted o alguien en su hogar tuvo que pedir prestado para pagar alimentos o despensa?' (Si/No), mas PF1_2..6 (renta, agua, luz/gas/telefono, colegiaturas, medicinas)	PB1: 0-10 numerica; PF1: binario Si/No	TENBIARE	31166	SI -- PF1_1..6 (dificultades economicas / necesidad de pedir prestado) esta en la MISMA tabla TENBIARE, mismo folio/hogar/persona seleccionada que la bateria de confianza PB1. Satisface estructuralmente la condicion de la necesidad 14 (reactivo de confianza + desenlace financiero, mismo instrumento, misma muestra)	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna (co-observacion limpia = asociacion, no identificacion, sin llave ADR-57(c): no es panel, no hay grupo de comparacion de experimento natural, no es diseno experimental de terceros)	EXISTE-SATISFACE	confianza/confia = 13 coincidencias (bateria B1 completa: gente en general, gente conocida, medios, policia municipal/estatal, Guardia Nacional, Ejercito y Marina, ministerio publico, juzgados, camaras, partidos, funcionarios); prestado = 6 coincidencias (bateria F1 completa). NO VERIFICADO en este acto: si PB1_01/02 miden el mismo constructo que 'radio_confianza' tal como esta operacionalizado hoy con ENCUCI AP5_1_1/2/3 (modelo-decision-v4_0.md:268) -- PB1_01/02 lucen estructuralmente afines (gradiente conocido->desconocido) pero la equivalencia de constructo queda para que mesa la adjudique, no se afirma aqui. F1 es a nivel 'usted o alguien en su hogar' (no estrictamente individual) -- nota declarada, no oculta, 2026-08-08
ENBIARE 2021	enbiare2021_fd_pdf	COINCIDE	theta subjetivos (ENBIARE-like)	PA1 (satisfaccion de vida) + PA3_01..17 (satisfaccion por dominio) + PA4_01..10 (afecto positivo/negativo del dia anterior)	PA1: 'A1. ¿Podria decirme, en esa escala de 0 a 10, que tan satisfecho(a) se encuentra actualmente con su vida?'. PA4_05: 'A4. ¿Cuanta parte del dia de ayer se sintio emocionado(a) o alegre?'. PA4_10: '...se sintio triste o deprimido(a)?' (bateria completa de 10 items de afecto tipo dia-reconstruido, 5 positivos + 5 negativos)	PA1/PA3: 0-10 numerica; PA4: 0-10 'cuanta parte del dia'	TENBIARE	31166	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-SATISFACE	bienestar 44 coincidencias (titulo 'APARTADO A. BIENESTAR SUBJETIVO' + pie de pagina repetido); satisf* 3 coincidencias parciales por artefacto de extraccion de PDF -- la bateria completa (PA1, PA2, PA3_01-17, PA4_01-10, PA5, PA6) se identifico por lectura dirigida integra del Apartado A (L418-625), no por barrido de terminos solo. 'satisfaccion' cubierto ampliamente (18 items: vida en general + 17 dominios especificos incluyendo vida familiar PA3_06 y vida afectiva/amorosa PA3_07); 'afecto' (animo del dia anterior, estilo PANAS) cubierto por PA4 (10 items); 'proposito'/sentido de vida NO encontrado (0 coincidencias) -- el bienestar subjetivo esta satisfecho en dos de sus tres componentes citados por el encargo (satisfaccion, afecto); proposito queda NO-ENCONTRADO dentro de este mismo instrumento, 2026-08-08
