conducta	conducta_texto	ola	comparado_con	veredicto	alcance_del_veredicto	reactivo	texto_literal	opciones_y_codigos	filtro_y_flujo	periodo_referencia	unidad	poblacion_base	ponderador_y_diseno	fuente	secciones_fd_recorridas	texto_buscado	nota
C3	Horas semanales de cuidado — NÚCLEO MÍNIMO 2009/2014/2019/2024: sólo actividades presentes en las cuatro olas (comer, bañar, cargar, llevar a guardería/escuela, tareas, juntas, salud, pasivo; dependientes: comer, bañar, medicamentos, salud, terapia, pasivo; 60+: salud, pasivo)	2014	2024	CAMBIO-MENOR	Como C2/2014.	TMODULO2 6.11 {01,02,05,06,07,11}, 6.12 {1,2,3}, 6.13 {1,3,4,5,6} · TMODULO3 6.15 {2,4}	Subconjunto de C1/2014	Como C2/2014	Como C2/2014	«Durante la semana pasada» · horas/minutos L-V y S-D (columnas _2.._5 de cada ítem)	persona y hogar (FAC_VIV)	integrantes del hogar de 12 años y más (TMODULO2/TMODULO3, 42 118 registros según cabecera DBF; base nacional Enut2014.zip, el subconjunto _PI es extracción, no muestra adicional)	FAC_PER (persona, C 5) · FAC_VIV (vivienda; no existe FAC_HOG) · EDIS × UPM_DIS (el estrato se llama EDIS, no EST_DIS) · TLOC 1-4	enut2014_fd.xls sha256/16=032c504c100241d5 hoja TModulo2 filas 195-406 y TModulo3 filas 25-103 · enut2014_diccionario_variables.html sha256/16=db9c9f75b47a2842	FD hojas TSDem (SEXO, EDAD, TLOC, FAC_PER, EDIS), TModulo1 (NIV, 6.1-6.10), TModulo2 (6.11-6.13), TModulo3 (6.14-6.15, VII, VIII), THogar, TVivienda; RNM 2014 descripciones de tabla		—
C3	Horas semanales de cuidado — NÚCLEO MÍNIMO 2009/2014/2019/2024: sólo actividades presentes en las cuatro olas (comer, bañar, cargar, llevar a guardería/escuela, tareas, juntas, salud, pasivo; dependientes: comer, bañar, medicamentos, salud, terapia, pasivo; 60+: salud, pasivo)	2009	2024	CAMBIO-MENOR	Mismas actividades; cambian (a) los cortes de edad («menor de 6» ≈ 0-5, «menor de 15» ≈ 0-14, «mayor de 60» ≈ 60+), (b) 5.11-5.13 no excluyen dependientes (una persona puede contarse en 5.10 y en 5.12), (c) 5.10 se capta por persona cuidada y se suma por cuidador, (d) medicamentos 2009 incluye «monitoreó o estuvo al pendiente de sus síntomas».	TCuidados 5.10 P5_10_1..6 (suma sobre N_REF por cuidador) · TModulo2 5.11 P5_11_1..3 · 5.12 P5_12_1..5 · 5.13 P5_13_1..2	Ver C1/2009 (5.10, 5.11, 5.12, 5.13 completos)	Ver C1/2009	Ver C1/2009	«¿Durante la semana pasada …» · horas y minutos de lunes a viernes y de sábado a domingo (columnas _2.._5 de cada ítem)	persona (media) y hogar (razón con FAC_VIV)	integrantes del hogar de 12 años y más (TModulo2, 44 084 registros según cabecera DBF; TCuidados una fila por par cuidador×dependiente)	FAC_PER (persona) · FAC_VIV (vivienda/hogar; no existe FAC_HOG) · EST_DIS × UPM_DIS · LOC 1 urbano / 2 rural	enut2009_fd.pdf sha256/16=7f51369ae14244f7 pdf-págs 8 (3.14 NIV), 19-20 (5.11-5.13), 26 (5.10 TCuidados) · enut2009_diccionario_variables.html sha256/16=ccd1eb3e762d8b4c · cuest_ENUT2009.pdf dentro de enut2009_bd_dbf.zip sha256/16(zip)=ae1bbbaf12ec4eb6	FD cap. III (TSDem: SEXO, EDAD, NIV, LOC), cap. V TModulo2 5.1-5.24, TCuidados 5.10, diseño muestral; RNM 2009 grupos TCuidados/TModulo; cuestionario 2009 secciones V		Dirección del sesgo declarada, no medida: (b) empuja C3(2009) ≥ C3(2014+); los cortes «menor de 6/15» coinciden con 0-5/0-14 en años cumplidos.
C4	reparto_hogar: razón ponderada Σ_h w_h·(horas de cuidado de mujeres 40+ del hogar h) / Σ_h w_h·(horas de cuidado del hogar h), todos los hogares con al menos una persona 12+ en el módulo, 0/0 incluido en el denominador (CALC-ENUT-0001)	2024	2024 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Sobre C1 reproduce CALC-ENUT-0001 (oro); sobre C2/C3 es la razón núcleo.	SEXO=2 y EDAD_V≥40 (numerador); LLAVEHOG (agregación); FAC_HOG de TSDEM (constante por hogar, guarda G-FAC-HOG de CALC-ENUT-0001)	SEXO «3.4 (NOMBRE) es hombre / es mujer» 1/2; EDAD_V «Edad verificada» 12-96	SEXO 1 hombre / 2 mujer; EDAD_V 12-96 (97 = 97+, 98 NS en EDAD)	Hogares agrupados por LLAVEHOG; hogar sin FAC_HOG sale contado	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	hogar (razón, escala [0,1])	hogares de TMODULO/TVAR_CREA (29 181 hogares según CALC-ENUT-0001)	FAC_PER (persona, en TMODULO y TVAR_CREA) · FAC_HOG (hogar, en TSDEM/THOGAR, no en TVAR_CREA) · EST_DIS × UPM_DIS · TLOC 1-4	enut2024_fd.xlsx sha256/16=4a7dddf1bc0612f5 hoja TMODULO filas 659-1199 (FILTRO_S6_11..P6_15A_7_4) y hoja TVAR_CREA filas 43-53 · enut2024_diccionario_variables.html sha256/16=f9a2e32bc7673946	FD hojas TVIVIENDA, THOGAR, TSDEM (FAC_HOG), TMODULO (6.11-6.15, FILTRO_S6_1x, EDAD_V, NIV, TLOC, diseño), TVAR_CREA (variables creadas, derivadas, diseño); RNM 2024; dictamen ADR-557 (forense/notas/2026-09-19-GEN2-PISOS-ENUT2019-EJES-1-dictamen.md §1)		Escala distinta de C1-C3 (razón vs horas): nunca se compara ni promedia con ellas (PARO b).
C4	reparto_hogar: razón ponderada Σ_h w_h·(horas de cuidado de mujeres 40+ del hogar h) / Σ_h w_h·(horas de cuidado del hogar h), todos los hogares con al menos una persona 12+ en el módulo, 0/0 incluido en el denominador (CALC-ENUT-0001)	2019	2024	CAMBIO-MENOR	Misma razón sobre C2/C3; hogar = (UPM, VIV_SEL, HOGAR); FAC_HOG de THogar/TSDem (existe). Cambia sólo lo que cambia C2.	SEXO, EDAD_V (TModulo); FAC_HOG (TSDem/THogar) unido por UPM+VIV_SEL+HOGAR	SEXO 1 Hombre / 2 Mujer; EDAD_V 12-97	SEXO 1/2; EDAD_V 12-97	Hogares por (UPM, VIV_SEL, HOGAR)	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	hogar (razón)	hogares con al menos una persona en TModulo tradicional	FAC_PER (persona) · FAC_HOG (hogar, en TSDem/THogar) · EST_DIS × UPM_DIS · TLOC 1-4 · ponderadores reemplazados el 28/ago/2025 (nota_bd_enut_2019.txt)	enut2019_fd.xlsx sha256/16=8577edc8e1f2b001 hoja TModulo filas 6.11-6.15 (P6_11_01..P6_15_4) · enut2019_diccionario_variables.html sha256/16=3c47a1341092fdd1	FD hojas TVivienda, THogar (FAC_HOG), TSDem (SEXO, EDAD, FAC_HOG, FAC_PER), TModulo (NIV, 6.1-6.15, EDAD_V, TLOC, EST_DIS, UPM_DIS, FAC_PER); RNM 2019 descripciones de tabla; nota_bd_enut_2019.txt		FAC_HOG reemplazado el 28/ago/2025 (nota_bd_enut_2019.txt); la copia del corpus es esa versión.
C4	reparto_hogar: razón ponderada Σ_h w_h·(horas de cuidado de mujeres 40+ del hogar h) / Σ_h w_h·(horas de cuidado del hogar h), todos los hogares con al menos una persona 12+ en el módulo, 0/0 incluido en el denominador (CALC-ENUT-0001)	2014	2024	CAMBIO-MENOR	Ponderador de hogar: FAC_VIV de THOGAR (no existe FAC_HOG); hogar = (CONTROL, VIV_SEL, HOGAR).	SEXO, EDAD (TSDem, unidos por CONTROL+VIV_SEL+HOGAR+N_REN); FAC_VIV (THOGAR)	SEXO 1 Hombre / 2 Mujer; EDAD 00-99	SEXO 1/2; EDAD 2 dígitos	Hogares por (CONTROL, VIV_SEL, HOGAR)	«Durante la semana pasada» · horas/minutos L-V y S-D (columnas _2.._5 de cada ítem)	hogar (razón, FAC_VIV)	hogares con al menos una persona en TMODULO2	FAC_PER (persona, C 5) · FAC_VIV (vivienda; no existe FAC_HOG) · EDIS × UPM_DIS (el estrato se llama EDIS, no EST_DIS) · TLOC 1-4	enut2014_fd.xls sha256/16=032c504c100241d5 hoja TModulo2 filas 195-406 y TModulo3 filas 25-103 · enut2014_diccionario_variables.html sha256/16=db9c9f75b47a2842	FD hojas TSDem (SEXO, EDAD, TLOC, FAC_PER, EDIS), TModulo1 (NIV, 6.1-6.10), TModulo2 (6.11-6.13), TModulo3 (6.14-6.15, VII, VIII), THogar, TVivienda; RNM 2014 descripciones de tabla		Variante de ponderador declarada; FAC_VIV = FAC_HOG salvo viviendas con más de un hogar.
C4	reparto_hogar: razón ponderada Σ_h w_h·(horas de cuidado de mujeres 40+ del hogar h) / Σ_h w_h·(horas de cuidado del hogar h), todos los hogares con al menos una persona 12+ en el módulo, 0/0 incluido en el denominador (CALC-ENUT-0001)	2009	2024	CAMBIO-DE-INSTRUMENTO	Sólo existe sobre C3 (C2 no construible en 2009); FAC_VIV de THogar; hogar = (CONTROL, VIV_SEL, HOGAR).	SEXO, EDAD, NIV (TSDem, unidos por CONTROL+VIV_SEL+HOGAR+N_REN); FAC_VIV (THogar)	SEXO; EDAD; «3.14 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela?»	SEXO 1/2; EDAD 2 dígitos	Hogares por (CONTROL, VIV_SEL, HOGAR)	«¿Durante la semana pasada …» · horas y minutos de lunes a viernes y de sábado a domingo (columnas _2.._5 de cada ítem)	hogar (razón, FAC_VIV)	hogares con al menos una persona en TModulo2	FAC_PER (persona) · FAC_VIV (vivienda/hogar; no existe FAC_HOG) · EST_DIS × UPM_DIS · LOC 1 urbano / 2 rural	enut2009_fd.pdf sha256/16=7f51369ae14244f7 pdf-págs 8 (3.14 NIV), 19-20 (5.11-5.13), 26 (5.10 TCuidados) · enut2009_diccionario_variables.html sha256/16=ccd1eb3e762d8b4c · cuest_ENUT2009.pdf dentro de enut2009_bd_dbf.zip sha256/16(zip)=ae1bbbaf12ec4eb6	FD cap. III (TSDem: SEXO, EDAD, NIV, LOC), cap. V TModulo2 5.1-5.24, TCuidados 5.10, diseño muestral; RNM 2009 grupos TCuidados/TModulo; cuestionario 2009 secciones V	Los ítems que C2 exige y 2009 no pregunta (véase C2/2009: «terapia» 0, «computadora» 0, «cargó»/«remedios»/«tareas»/«juntas» 0 en 5.10); «FAC_HOG» en FD 2009 diseño muestral: 0 (sólo FAC_VIV y FAC_PER)	Entra sólo en la variante mínima.
C5	Trabajo doméstico no remunerado para el propio hogar — lista de bloques que lo componen (contexto pedido por el encargo; ninguna celda lo usa)	2024	2024 (ancla)	MISMO-INSTRUMENTO	Bloques: preparación y servicio de alimentos, limpieza de la vivienda, limpieza y cuidado de ropa y calzado, mantenimiento/instalación/reparaciones menores, compras, pagos y trámites, gestión y administración.	TVAR_CREA TRAB_NO_REM_HOG = PREP_SERV_ALIM + LIMP_VIV + LIMP_ROP + MANT_VIV + COMPRAS_HOG + PAGOS_TRAM_HOG + ORG_SUP_HOG (composición por concepto del FD; fórmula no publicada)	FD TVAR_CREA fila 35 «Trabajo domestico no remunerado para el propio hogar» y filas 36-42	horas decimales	—	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	persona	personas elegidas de 12 años y más (TMODULO; TVAR_CREA 74 053 personas según el árbitro MAESTRA35-L7)	FAC_PER (persona, en TMODULO y TVAR_CREA) · FAC_HOG (hogar, en TSDEM/THOGAR, no en TVAR_CREA) · EST_DIS × UPM_DIS · TLOC 1-4	enut2024_fd.xlsx sha256/16=4a7dddf1bc0612f5 hoja TMODULO filas 659-1199 (FILTRO_S6_11..P6_15A_7_4) y hoja TVAR_CREA filas 43-53 · enut2024_diccionario_variables.html sha256/16=f9a2e32bc7673946	FD hojas TVIVIENDA, THOGAR, TSDEM (FAC_HOG), TMODULO (6.11-6.15, FILTRO_S6_1x, EDAD_V, NIV, TLOC, diseño), TVAR_CREA (variables creadas, derivadas, diseño); RNM 2024; dictamen ADR-557 (forense/notas/2026-09-19-GEN2-PISOS-ENUT2019-EJES-1-dictamen.md §1)		No se mide en este acto; se lista porque el encargo pide la composición de «trabajo doméstico».
C5	Trabajo doméstico no remunerado para el propio hogar — lista de bloques que lo componen (contexto pedido por el encargo; ninguna celda lo usa)	2019	2024	CAMBIO-MENOR	Los mismos 7 bloques (RNM 2019, descripción de TMODULO); ítem por ítem no verificado aquí.	TModulo 6.4-6.10 (bloques del RNM: Preparación y servicio de alimentos · Limpieza de la vivienda · Limpieza y cuidado de ropa y calzado · Mantenimiento… · Compras · Pagos y trámites · Gestión y administración)	RNM 2019 descripción de TMODULO_tradicional	ítem Sí + horas/minutos	—	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	persona	integrantes del hogar de 12 años y más (TMODULO tradicional; la tabla _indígena es extracción del subconjunto hablante, RNM 2019)	FAC_PER (persona) · FAC_HOG (hogar, en TSDem/THogar) · EST_DIS × UPM_DIS · TLOC 1-4 · ponderadores reemplazados el 28/ago/2025 (nota_bd_enut_2019.txt)	enut2019_fd.xlsx sha256/16=8577edc8e1f2b001 hoja TModulo filas 6.11-6.15 (P6_11_01..P6_15_4) · enut2019_diccionario_variables.html sha256/16=3c47a1341092fdd1	FD hojas TVivienda, THogar (FAC_HOG), TSDem (SEXO, EDAD, FAC_HOG, FAC_PER), TModulo (NIV, 6.1-6.15, EDAD_V, TLOC, EST_DIS, UPM_DIS, FAC_PER); RNM 2019 descripciones de tabla; nota_bd_enut_2019.txt		Veredicto a nivel de bloque, no de ítem: CAMBIO-MENOR por prudencia (no se recorrieron los ítems); un sucesor que mida trabajo doméstico lo verifica.
C5	Trabajo doméstico no remunerado para el propio hogar — lista de bloques que lo componen (contexto pedido por el encargo; ninguna celda lo usa)	2014	2024	CAMBIO-MENOR	Los mismos 7 bloques (RNM 2014, TModulo1).	TMODULO1 6.4-6.10	RNM 2014 descripción de TModulo1	ítem Sí + horas/minutos	—	«Durante la semana pasada» · horas/minutos L-V y S-D (columnas _2.._5 de cada ítem)	persona	integrantes del hogar de 12 años y más (TMODULO2/TMODULO3, 42 118 registros según cabecera DBF; base nacional Enut2014.zip, el subconjunto _PI es extracción, no muestra adicional)	FAC_PER (persona, C 5) · FAC_VIV (vivienda; no existe FAC_HOG) · EDIS × UPM_DIS (el estrato se llama EDIS, no EST_DIS) · TLOC 1-4	enut2014_fd.xls sha256/16=032c504c100241d5 hoja TModulo2 filas 195-406 y TModulo3 filas 25-103 · enut2014_diccionario_variables.html sha256/16=db9c9f75b47a2842	FD hojas TSDem (SEXO, EDAD, TLOC, FAC_PER, EDIS), TModulo1 (NIV, 6.1-6.10), TModulo2 (6.11-6.13), TModulo3 (6.14-6.15, VII, VIII), THogar, TVivienda; RNM 2014 descripciones de tabla		Nivel de bloque, no de ítem.
C5	Trabajo doméstico no remunerado para el propio hogar — lista de bloques que lo componen (contexto pedido por el encargo; ninguna celda lo usa)	2009	2024	CAMBIO-MENOR	Los mismos 7 bloques bajo otra numeración: 5.3 alimentos, 5.4 limpieza de la casa, 5.5 ropa, 5.6 construcción/reparación, 5.7 compras, 5.8 pagos y trámites, 5.9 cuentas y gastos.	TModulo1/TModulo2 5.3-5.9	FD 2009 cap. V: «desgranó maíz, coció o molió el nixtamal…» (5.3), «limpió o recogió la casa?» (5.4), «lavó, puso a secar o tendió la ropa?» (5.5), «construyó o hizo una ampliación a su vivienda?» (5.6), «hizo las compras para su hogar?» (5.7), «realizó pagos o trámites…» (5.8), «llevó las cuentas y los gastos del hogar?» (5.9)	ítem Sí + horas/minutos	—	«¿Durante la semana pasada …» · horas y minutos de lunes a viernes y de sábado a domingo (columnas _2.._5 de cada ítem)	persona	integrantes del hogar de 12 años y más (TModulo2, 44 084 registros según cabecera DBF; TCuidados una fila por par cuidador×dependiente)	FAC_PER (persona) · FAC_VIV (vivienda/hogar; no existe FAC_HOG) · EST_DIS × UPM_DIS · LOC 1 urbano / 2 rural	enut2009_fd.pdf sha256/16=7f51369ae14244f7 pdf-págs 8 (3.14 NIV), 19-20 (5.11-5.13), 26 (5.10 TCuidados) · enut2009_diccionario_variables.html sha256/16=ccd1eb3e762d8b4c · cuest_ENUT2009.pdf dentro de enut2009_bd_dbf.zip sha256/16(zip)=ae1bbbaf12ec4eb6	FD cap. III (TSDem: SEXO, EDAD, NIV, LOC), cap. V TModulo2 5.1-5.24, TCuidados 5.10, diseño muestral; RNM 2009 grupos TCuidados/TModulo; cuestionario 2009 secciones V		Nivel de bloque, no de ítem.
E	Ejes de la rejilla (sexo · edad 12-17/18-29/30-39/40-59/60+ · escolaridad homologada hasta_primaria/secundaria/media_superior/superior · localidad urbano/rural) — construcción por ola	2024	2024 (ancla)	MISMO-INSTRUMENTO	Fila ancla.	SEXO · EDAD_V · NIV (00-11) · TLOC (1-4) en TMODULO	NIV 00 Ninguno, 01 Preescolar, 02 Primaria, 03 Secundaria, 04 Normal básica, 05 Técnicos con secundaria, 06 Preparatoria, 07 Técnicos con preparatoria, 08 Licenciatura, 09 Especialidad, 10 Maestría, 11 Doctorado, 99 NE · TLOC 1 100 000+, 2 15 000-99 999, 3 2 500-14 999, 4 <2 500	hasta_primaria={00,01,02} · secundaria={03} · media_superior={04,05,06,07} · superior={08,09,10,11} · 99 fuera · urbano=TLOC{1,2,3} · rural=TLOC{4}	Código inválido sale sólo del eje afectado	—	persona	personas elegidas de 12 años y más (TMODULO; TVAR_CREA 74 053 personas según el árbitro MAESTRA35-L7)	FAC_PER (persona, en TMODULO y TVAR_CREA) · FAC_HOG (hogar, en TSDEM/THOGAR, no en TVAR_CREA) · EST_DIS × UPM_DIS · TLOC 1-4	enut2024_fd.xlsx sha256/16=4a7dddf1bc0612f5 hoja TMODULO filas 659-1199 (FILTRO_S6_11..P6_15A_7_4) y hoja TVAR_CREA filas 43-53 · enut2024_diccionario_variables.html sha256/16=f9a2e32bc7673946	FD hojas TVIVIENDA, THOGAR, TSDEM (FAC_HOG), TMODULO (6.11-6.15, FILTRO_S6_1x, EDAD_V, NIV, TLOC, diseño), TVAR_CREA (variables creadas, derivadas, diseño); RNM 2024; dictamen ADR-557 (forense/notas/2026-09-19-GEN2-PISOS-ENUT2019-EJES-1-dictamen.md §1)		Homologación de escolaridad calcada de PISOS-REJILLA-escolaridad-catalogos-v1_0.tsv (ENVIPE/ENCIG: 0-2, 3, 4-7, 8-9).
E	Ejes de la rejilla (sexo · edad 12-17/18-29/30-39/40-59/60+ · escolaridad homologada hasta_primaria/secundaria/media_superior/superior · localidad urbano/rural) — construcción por ola	2019	2024	CAMBIO-MENOR	NIV con 10 códigos (0-9) donde 2024 tiene 12: se homologa; TLOC idéntico.	SEXO · EDAD_V · NIV (0-9) · TLOC (1-4) en TModulo	NIV 0 Ninguno, 1 Preescolar, 2 Primaria, 3 Secundaria, 4 Técnicos con secundaria, 5 Normal básica, 6 Preparatoria, 7 Técnicos con preparatoria, 8 Licenciatura, 9 Maestría o doctorado · TLOC 1-4 (sólo base tradicional)	hasta_primaria={0,1,2} · secundaria={3} · media_superior={4,5,6,7} · superior={8,9} · urbano=TLOC{1,2,3} · rural={4}	Como 2024	—	persona	integrantes del hogar de 12 años y más (TMODULO tradicional; la tabla _indígena es extracción del subconjunto hablante, RNM 2019)	FAC_PER (persona) · FAC_HOG (hogar, en TSDem/THogar) · EST_DIS × UPM_DIS · TLOC 1-4 · ponderadores reemplazados el 28/ago/2025 (nota_bd_enut_2019.txt)	enut2019_fd.xlsx sha256/16=8577edc8e1f2b001 hoja TModulo filas 6.11-6.15 (P6_11_01..P6_15_4) · enut2019_diccionario_variables.html sha256/16=3c47a1341092fdd1	FD hojas TVivienda, THogar (FAC_HOG), TSDem (SEXO, EDAD, FAC_HOG, FAC_PER), TModulo (NIV, 6.1-6.15, EDAD_V, TLOC, EST_DIS, UPM_DIS, FAC_PER); RNM 2019 descripciones de tabla; nota_bd_enut_2019.txt		—
E	Ejes de la rejilla (sexo · edad 12-17/18-29/30-39/40-59/60+ · escolaridad homologada hasta_primaria/secundaria/media_superior/superior · localidad urbano/rural) — construcción por ola	2014	2024	CAMBIO-MENOR	NIV 0-9 idéntico a 2019 (en TMODULO1); SEXO/EDAD en TSDem (join por CONTROL+VIV_SEL+HOGAR+N_REN); TLOC 1-4.	SEXO, EDAD (TSDem) · NIV (TMODULO1) · TLOC	NIV 0 Ninguno … 9 Maestría o doctorado (FD TModulo1 filas 36-45) · TLOC 1-4 (TSDem fila 95)	Como 2019	Como 2024	—	persona	integrantes del hogar de 12 años y más (TMODULO2/TMODULO3, 42 118 registros según cabecera DBF; base nacional Enut2014.zip, el subconjunto _PI es extracción, no muestra adicional)	FAC_PER (persona, C 5) · FAC_VIV (vivienda; no existe FAC_HOG) · EDIS × UPM_DIS (el estrato se llama EDIS, no EST_DIS) · TLOC 1-4	enut2014_fd.xls sha256/16=032c504c100241d5 hoja TModulo2 filas 195-406 y TModulo3 filas 25-103 · enut2014_diccionario_variables.html sha256/16=db9c9f75b47a2842	FD hojas TSDem (SEXO, EDAD, TLOC, FAC_PER, EDIS), TModulo1 (NIV, 6.1-6.10), TModulo2 (6.11-6.13), TModulo3 (6.14-6.15, VII, VIII), THogar, TVivienda; RNM 2014 descripciones de tabla		—
E	Ejes de la rejilla (sexo · edad 12-17/18-29/30-39/40-59/60+ · escolaridad homologada hasta_primaria/secundaria/media_superior/superior · localidad urbano/rural) — construcción por ola	2009	2024	CAMBIO-MENOR	NIV con otro catálogo (0-9: 4 Preparatoria, 5 Normal, 6 Carrera técnica o comercial, 7 Profesional, 8 Maestría, 9 Doctorado); localidad LOC 1 urbano / 2 rural (sin TLOC).	SEXO, EDAD, NIV, LOC (TSDem, join por CONTROL+VIV_SEL+HOGAR+N_REN)	«3.14 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela?» NIV 0 Ninguno, 1 Preescolar, 2 Primaria, 3 Secundaria, 4 Preparatoria o bachillerato, 5 Normal, 6 Carrera técnica o comercial, 7 Profesional, 8 Maestría, 9 Doctorado, b Blanco · LOC 1 Urbano / 2 Rural	hasta_primaria={0,1,2} · secundaria={3} · media_superior={4,5,6} · superior={7,8,9} · urbano=LOC{1} · rural=LOC{2}	Como 2024	—	persona	integrantes del hogar de 12 años y más (TModulo2, 44 084 registros según cabecera DBF; TCuidados una fila por par cuidador×dependiente)	FAC_PER (persona) · FAC_VIV (vivienda/hogar; no existe FAC_HOG) · EST_DIS × UPM_DIS · LOC 1 urbano / 2 rural	enut2009_fd.pdf sha256/16=7f51369ae14244f7 pdf-págs 8 (3.14 NIV), 19-20 (5.11-5.13), 26 (5.10 TCuidados) · enut2009_diccionario_variables.html sha256/16=ccd1eb3e762d8b4c · cuest_ENUT2009.pdf dentro de enut2009_bd_dbf.zip sha256/16(zip)=ae1bbbaf12ec4eb6	FD cap. III (TSDem: SEXO, EDAD, NIV, LOC), cap. V TModulo2 5.1-5.24, TCuidados 5.10, diseño muestral; RNM 2009 grupos TCuidados/TModulo; cuestionario 2009 secciones V		«Carrera técnica o comercial» (6) puede tener antecedente de primaria; se asigna a media_superior y se declara.
