conducta	conducta_texto	ola	comparado_con	veredicto	alcance_del_veredicto	reactivo	texto_literal	opciones_y_codigos	filtro_y_flujo	unidad	poblacion_base	fuente	secciones_fd_recorridas	componentes_no_estimables	texto_buscado	limite_fd	nota
K3	Uso de crédito informal: fiado · préstamo de conocidos · empeño · gota a gota	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Componentes con reactivo: préstamo de conocidos = 6.1.3 (amistades o personas conocidas) + 6.1.4 (familiares); empeño = 6.1.2; caja de ahorro = 6.1.1 (no está en la lista de mesa, se declara). Componentes SIN reactivo en esta ola: fiado y gota a gota.	P6_1_1..P6_1_5 (6.1)	6.1 De julio de 2020 a la fecha, ¿pidió prestado… 1 en una caja de ahorro del trabajo o de personas conocidas? 2 en una casa de empeño? 3 a sus amistades o personas conocidas? 4 a sus familiares? 5 Otro (ESPECIFIQUE)	1 Sí / 2 No por ítem	Primera pregunta de la sección 6, a toda persona elegida, sin filtro; no hay pase (sigue el cintillo de crédito formal). Sin pregunta de intereses ni de destino del préstamo informal.	P	Persona elegida de 18 años y más (cuestionario 2021 pdf-pág 5: «DE 18 AÑOS Y MÁS»; FD 2021 TModulo fila 1502: EDAD 18-96); residente habitual en vivienda particular	enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 pdf-pág 15; enif_2021_fd_pdf.zip/enif_2021_estructura_del_archivo.xlsx sha256/16(zip)=6f4e3aab705ddb69 TModulo filas 614-622	Cuestionario 2021 pdf-págs 15-19 (SECCIÓN 6, 6.1-6.18) + pág 5 (universo) + pág 11 (5.4); FD 2021: TModulo filas 611-899 (P6_1_1..P6_18_9, 96 campos); modelo ER 2021 (TMODULO)	fiado; gota a gota	«fiado», «fiar», «fía», «gota a gota», «prestamista», «agiotista», «usura», «usurero», «tanda» (como crédito), «abonero» buscados en el cuestionario completo (secciones 1-14) y en el FD TModulo: 0 reactivos. El único acierto de «fiado» es la subcadena «fiador» (6.18/6.17 razones de rechazo). La opción 6.1.5 «Otro (especifique)» puede contener ambos, pero no es identificable sin abrir la respuesta abierta, que el microdato público no trae.		La pieza «no fundir empeño con gota a gota» está a salvo en el texto: empeño tiene casilla propia (6.1.2) en las cinco olas y gota a gota no tiene casilla en ninguna. Ventana de referencia: «de julio de 2020 a la fecha» (levantamiento jun-ago 2021, ≈12 meses).
K3	Uso de crédito informal: fiado · préstamo de conocidos · empeño · gota a gota	2024	2021	CAMBIO-MENOR	Componentes con reactivo: conocidos (6.1.3+6.1.4), empeño (6.1.2), caja (6.1.1). Fiado y gota a gota sin reactivo.	P6_1_1..P6_1_5 (6.1); nuevos P6_1A_3, P6_1A_4, P6_1A_5 (6.1a)	6.1 En los últimos 12 meses, de junio de 2023 a la fecha, ¿pidió prestado… 1 en una caja de ahorro del trabajo o de personas conocidas? 2 en una casa de empeño? 3 a sus amistades o personas conocidas? 4 a sus familiares? 5 Otro (ESPECIFIQUE) · 6.1a ¿Por el préstamo que pidió (RESPUESTA EN 6.1) le cobran intereses?	6.1: 1 Sí / 2 No por ítem (los cinco ítems idénticos a 2021). 6.1a: 1 Sí / 2 No / 9 No sabe; el FD sólo trae 6.1a para los ítems 3, 4 y 5 (no para caja ni empeño).	A toda persona elegida, sin filtro; «CON CÓDIGO 1, PREGUNTE 6.1a SEGÚN CORRESPONDA»; «SI TODAS TIENEN CÓDIGO 2, PASE A CINTILLO PREVIO A 6.2».	P	Persona elegida de 18 años y más (cuestionario 2024 pdf-pág 4: «PARA PERSONAS DE 18 AÑOS Y MÁS»; FD 2024 TSDEM fila 39); residente habitual en vivienda particular	enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 pdf-pág 16; enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 TMODULO filas 668-686	Cuestionario 2024 pdf-págs 16-20 (SECCIÓN 6, 6.1-6.17) + pág 4 (universo) + pág 12 (5.4); FD 2024: TMODULO filas 665-903 (P6_1_1..P6_17_9, 84 campos); modelo lógico 2024 (TMODULO)	fiado; gota a gota	«fiado», «fiar», «fía», «gota a gota», «prestamista», «agiotista», «usura», «usurero», «tanda» (como crédito), «abonero» buscados en el cuestionario completo (secciones 1-14) y en el FD TModulo: 0 reactivos. El único acierto de «fiado» es la subcadena «fiador» (6.18/6.17 razones de rechazo). La opción 6.1.5 «Otro (especifique)» puede contener ambos, pero no es identificable sin abrir la respuesta abierta, que el microdato público no trae. 6.1a («le cobran intereses» por préstamo de conocidos/familiares/otro) es EXISTE-NO-SATISFACE para gota a gota: separa préstamo con interés de sin interés, no prestamista predatorio de familiar que cobra.		Por qué no entra en el estimando: la ventana pasa de «de julio de 2020 a la fecha» a «en los últimos 12 meses, de junio de 2023 a la fecha» — misma ventana nominal (≈12 meses antes del levantamiento) con redacción distinta; 6.1a se añade DESPUÉS del ítem y no altera la pregunta de tenencia. Si el sucesor usa 6.1a para partir «conocidos» en con/sin interés, esa partición sólo existe en 2024.
K3	Uso de crédito informal: fiado · préstamo de conocidos · empeño · gota a gota	2018	2021	CAMBIO-MENOR	Componentes con reactivo: conocidos (6.1.3+6.1.4), empeño (6.1.2), caja (6.1.1). Fiado y gota a gota sin reactivo. Exige recorte 18-70.	P6_1_1..P6_1_5 (6.1); además P6_2_1..P6_2_9 (6.2 destino del préstamo informal)	6.1 De abril de 2017 a la fecha, ¿pidió prestado… 1 en una caja de ahorro del trabajo o de conocidos? 2 en una casa de empeño? 3 a sus amigos o conocidos? 4 a sus familiares? 5 Otro (ESPECIFIQUE)	1 Sí / 2 No por ítem; «CON ALGÚN CÓDIGO 1, PREGUNTE 6.2» (destino, multirrespuesta 0/1); «SI TODAS TIENEN CÓDIGO 2, PASE A 6.3»	A toda persona elegida, sin filtro previo.	P	Persona elegida de 18 a 70 años (cuestionario 2018 pdf-pág 3: «DE 18 A 70 AÑOS»; FD 2018 TModulo fila 605: EDAD 18..70); residente habitual en vivienda particular	enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e pdf-pág 12; enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 TModulo filas 413-440	Cuestionario 2018 pdf-págs 12-15 (SECCIÓN 6, 6.1-6.19) + pág 3 (universo) + pág 8 (5.4-5.6); FD 2018: TModulo filas 410-599 (P6_1_1..P6_19_9, 89 campos) + TModulo2 SECCIÓN 10 (filas 302-393)	fiado; gota a gota	«fiado», «fiar», «fía», «gota a gota», «prestamista», «agiotista», «usura», «usurero», «tanda» (como crédito), «abonero» buscados en el cuestionario completo (secciones 1-14) y en el FD TModulo: 0 reactivos. El único acierto de «fiado» es la subcadena «fiador» (6.19 razones de rechazo). La opción 6.1.5 «Otro (especifique)» puede contener ambos, pero no es identificable sin abrir la respuesta abierta, que el microdato público no trae. Firma D2: la cita del texto buscado se deja aquí para que 2018 no se declare NO-CONSTRUIBLE por nombre de variable.		Por qué no entra en el estimando: «amigos o conocidos» → «amistades o personas conocidas» es lenguaje incluyente sin cambio de referente; ventana «de abril de 2017 a la fecha» (levantamiento 30 abr-22 jun 2018, ≈13 meses) frente a ≈12 en 2021: un mes de ventana en una tasa anual de «pidió prestado» no cambia la conducta, y se declara. 2018 además pregunta destino (6.2), que 2021 no.
K3	Uso de crédito informal: fiado · préstamo de conocidos · empeño · gota a gota	2015	2021	CAMBIO-MENOR	Componentes con reactivo: conocidos (6.1.1 familiares + 6.1.2 amigos o conocidos), empeño (6.1.4), caja (6.1.3). Fiado y gota a gota sin reactivo. Exige recorte 18-70 y REMAPEO DE SUFIJOS: el orden de 6.1 es distinto de 2018+ (P6_1_2 = amigos en 2015, = empeño en 2018+).	P6_1_1 (familiares), P6_1_2 (amigos o conocidos), P6_1_3 (caja), P6_1_4 (empeño), P6_1_5 (otro) (6.1); además P6_2_1..P6_2_5 (6.2 intereses por fuente) y P6_3_1..P6_3_9 (6.3 destino del préstamo informal)	6.1 En el último año, de julio del año pasado a la fecha, ¿pidió dinero prestado... 1 a sus familiares? 2 a sus amigos o conocidos? 3 en una caja de ahorro del trabajo o de conocidos? 4 en una casa de empeño? 5 Otro (ESPECIFIQUE) · 6.2 Sin decirme la cantidad, ¿le cobran o cobraron intereses (RESPUESTA DE 6.1)?	6.1: 1 Sí / 2 No por ítem (REGISTRE EL CÓDIGO CORRESPONDIENTE PARA CADA OPCIÓN); «CON CÓDIGO 1 PREGUNTE 6.2» (1 Sí / 2 No / 9 No sabe); «SI TODAS TIENEN CÓDIGO 2, PASE A 6.4»; 6.3 destino (CIRCULE LOS CÓDIGOS CORRESPONDIENTES, 9 categorías)	Primera pregunta de la sección 6, a toda persona elegida, sin filtro previo (cintillo: «A continuación, le voy a preguntar sobre algún préstamo del año pasado»).	P	Persona elegida de 18 a 70 años (cuestionario 2015 pdf-pág 2: «PARA PERSONAS DE 18 A 70 AÑOS», «Resto de las personas de 18 a 70 años»; FD 2015 TModulo1 fila 634: EDAD [18-70]); residente habitual en vivienda particular	enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e pdf-pág 9 (6.1, 6.2) y 10 (6.3); enif_2015_fd.xlsx sha256/16=8233cf53f5904966 TModulo1 filas 559-619	Cuestionario 2015 pdf-págs 9-12 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.21, reactivo por reactivo) + pág 2 (universo) + pág 9 (5.25.2-5.32b); búsqueda de términos sobre el cuestionario completo (20 páginas, 1 623 líneas de texto extraído con pdftotext -layout); FD 2015: TModulo1 filas 559-624 (6.1-6.5, 23 campos) + TModulo2 filas 9-332 (6.6-6.21, 101 campos) + TModulo1 5.26.1/5.26.2 + Índice; modelo de datos 2015 = imagen sin texto	fiado; gota a gota	«fiado», «fiar», «gota a gota», «prestamista», «agiotista», «usur», «abonero», «tanda» (como crédito) en el cuestionario 2015 completo (20 páginas): 0 reactivos. Único acierto de «fiado»: la subcadena «fiador» (6.21.4 razones de rechazo); «tanda» aparece sólo como forma de ahorro (4.x, 5.31). FD 2015 completo: 0 campos. La opción 6.1.5 «Otro (especifique)» puede contener ambos, pero no es identificable sin la respuesta abierta, que el microdato público no trae.		Por qué no entra en el estimando: «amigos o conocidos» → «amistades o personas conocidas» es lenguaje incluyente sin cambio de referente; «caja de ahorro del trabajo o de conocidos» ≡ «del trabajo o de personas conocidas»; ventana «de julio del año pasado a la fecha» (≈12-13 meses según la fecha de entrevista, que el cuestionario no fija) frente a «de julio de 2020 a la fecha» en 2021: misma construcción. 2015 además pregunta intereses (6.2) y destino (6.3), que 2021 no. La trampa concreta es el orden: 1 familiares, 2 amigos, 3 caja, 4 empeño — el sucesor mapea por texto, nunca por sufijo.
K3	Uso de crédito informal: fiado · préstamo de conocidos · empeño · gota a gota	2012	2021	CAMBIO-MENOR	Componentes con reactivo y mismo referente: conocidos (6.1.3 amigos o conocidos + 6.1.4 familiares), empeño (6.1.2). Componente con CAMBIO DE REFERENTE: caja = 6.1.1 «caja de ahorro entre amigos o conocidos» (sin «del trabajo»): no es el mismo ítem que 6.1.1 de 2021 y se mide rotulado aparte o no se agrega. Fiado y gota a gota sin reactivo. Exige recorte 18-70. Orden de ítems igual a 2018+ (caja, empeño, amigos, familiares, otro).	P6_1_1 (caja entre amigos/conocidos), P6_1_2 (empeño), P6_1_3 (amigos o conocidos), P6_1_4 (familiares), P6_1_5 (otro) (6.1); además P6_2_1..P6_2_5 (6.2 intereses) y P6_3_1..P6_3_8 (6.3 destino del préstamo informal)	6.1 De abril de 2011 a la fecha, ¿pidió dinero prestado a... 1 caja de ahorro entre amigos o conocidos? 2 casa de empeño? 3 amigos o conocidos? 4 familiares? 5 Otro (ESPECIFIQUE) · 6.2 Sin decirme la cantidad, ¿le cobraron intereses en la (sus) (RESPUESTA DE 6.1)?	6.1: 1 Sí / 2 No por ítem (REGISTRE EL CÓDIGO CORRESPONDIENTE); «CON CÓDIGO 1, PREGUNTE 6.2» (1 Sí / 2 No); «SI TODAS SON CÓDIGO 2, PASE A 6.4»; 6.3 destino (CIRCULE LOS CÓDIGOS CORRESPONDIENTES, 8 categorías, educación y salud fundidas)	Primera pregunta de la sección 6, a toda persona elegida, sin filtro previo (cintillo: «A continuación, le voy a preguntar sobre algún préstamo o crédito»).	P	Persona elegida de 18 a 70 años (cuestionario 2012 pdf-pág 3: «PARA PERSONAS DE 18 A 70 AÑOS», «IDENTIFIQUE A LAS PERSONAS DE 18 A 70 AÑOS»; FD 2012 NOTAS ACLARATORIAS fila 15); residente habitual en vivienda particular	enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 pdf-pág 7 (6.1, 6.2) y 8 (6.3); fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 TMODULO1 filas 446-505; modelo_enif2012.pdf sha256/16=77a9b05ed53f243d	Cuestionario 2012 pdf-págs 7-10 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, reactivo por reactivo) + pág 3 (universo) + pág 7 (5.16-5.18); búsqueda de términos sobre el cuestionario completo (16 páginas, 1 061 líneas de texto extraído con pdftotext -layout); FD 2012: TMODULO1 filas 445-842 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, 109 campos) + TMODULO1 filas 125-149 (SECCIÓN 4) + TMODULO2 filas 254-443 (SECCIÓN 10) + NOTAS ACLARATORIAS; modelo de datos 2012 (TMODULO1 P6_1_1..P6_20_9)	fiado; gota a gota; caja de ahorro del trabajo (el ítem 2012 es «entre amigos o conocidos»)	«fiado», «fiar», «gota a gota», «prestamista», «agiotista», «usur», «abonero», «tanda» (como crédito) en el cuestionario 2012 completo (16 páginas): 0 reactivos. Único acierto de «fiado»: la subcadena «fiador» (6.19.1); «tanda» sólo como forma de ahorro (4.x, 8.x). «del trabajo» dentro de 6.1: 0 aciertos (el ítem dice «entre amigos o conocidos»). FD 2012 completo: 0 campos. La opción 6.1.5 «Otro (especifique)» puede contener fiado y gota a gota, pero no es identificable sin la respuesta abierta, que el microdato público no trae.		Por qué entra como CAMBIO-MENOR y no como CAMBIO-DE-INSTRUMENTO: los dos componentes de la lista de mesa con reactivo (conocidos, empeño) tienen texto y referente idénticos a 2021; ventana «de abril de 2011 a la fecha» (≈13 meses si la entrevista es de mayo-junio; el cuestionario no fija la fecha) frente a ≈12 en 2021: un mes de ventana en una tasa anual de «pidió prestado» no cambia la conducta, y se declara en cada RESULT. La caja NO está en la lista de mesa (la fila ancla ya lo declara) y en 2012 cambia de referente: se excluye del agregado, no se colapsa. 2012 además pregunta intereses (6.2) y destino (6.3).
K4	Motivo de no tener crédito, partido en (a) autoexclusión declarada y (b) exclusión por oferta	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Partición leída del texto: (b) exclusión por oferta = 1 (no cumple requisitos) + 3 (cree que lo van a rechazar: rechazo anticipado, se rotula aparte) + 2 (sucursal lejos o no hay: exclusión por acceso, se rotula aparte); (a) autoexclusión declarada = 6 (no le interesa o no lo necesita) + 7 (no le gusta endeudarse); ni a ni b = 4 (no confía / mal servicio), 5 (intereses o comisiones altas), 8 (impuestos), 9 (otro). (a) y (b) son separables: sí.	P6_15 (6.15); base definida por P6_2_1..9 = 2 y P6_14 = 2	6.15 ¿Cuál es la razón principal por la que nunca ha tenido un préstamo, crédito o tarjeta de crédito?	1 No cumple con los requisitos (no tiene trabajo, ingresos insuficientes) · 2 La sucursal le queda lejos o no hay · 3 Cree que la (lo) van a rechazar · 4 No confía en las instituciones financieras o le dan mal servicio · 5 Los intereses o comisiones son altas · 6 No le interesa o no lo necesita · 7 No le gusta endeudarse · 8 No quiere que le cobren impuestos · 9 Otro (ESPECIFIQUE); CIRCULE UN SOLO CÓDIGO; todas PASE A 6.17	Sólo la responde quien no tiene ningún producto formal (todas 6.2 = 2 → PASE A 6.14) Y nunca lo tuvo (6.14 = 2). Los ex-usuarios (6.14 = 1) reciben 6.16 «¿por qué dejó de tener...?», cuyas opciones incluyen 5 «Ya no cumple con los requisitos» (oferta) y 2 «No se quiere volver a endeudar» (autoexclusión). Respuesta única: razón principal.	P	Persona elegida de 18 años y más (cuestionario 2021 pdf-pág 5: «DE 18 AÑOS Y MÁS»; FD 2021 TModulo fila 1502: EDAD 18-96); residente habitual en vivienda particular; K4 se pregunta sólo a la subpoblación que nunca ha tenido crédito formal	enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 pdf-pág 18; enif_2021_fd_pdf.zip/enif_2021_estructura_del_archivo.xlsx sha256/16(zip)=6f4e3aab705ddb69 TModulo filas 851-871	Cuestionario 2021 pdf-págs 15-19 (SECCIÓN 6, 6.1-6.18) + pág 5 (universo) + pág 11 (5.4); FD 2021: TModulo filas 611-899 (P6_1_1..P6_18_9, 96 campos); modelo ER 2021 (TMODULO)				La base de K4 NO es «no tiene crédito hoy» sino «nunca ha tenido»; los ex-usuarios sin crédito hoy quedan fuera de 6.15 y tienen su propia partición en 6.16. Un sucesor que quiera «motivo de no tener crédito hoy» debe unir 6.15 y 6.16 con dos catálogos distintos, y decirlo.
K4	Motivo de no tener crédito, partido en (a) autoexclusión declarada y (b) exclusión por oferta	2024	2021	CAMBIO-MENOR	(a) y (b) completas; separables: sí. Códigos y partición idénticos a 2021.	P6_14 (6.14); base P6_2_1..9 = 2 y P6_13 = 2	6.14 ¿Cuál es la razón principal por la que nunca ha tenido un préstamo, crédito o tarjeta de crédito?	1 No cumple con los requisitos (no tiene trabajo, ingresos insuficientes o variables, no tiene identificación oficial, etcétera) · 2 La sucursal le queda lejos o no hay · 3 Cree que la (lo) van a rechazar · 4 No confía en las instituciones financieras o le dan mal servicio · 5 Los intereses o comisiones son altas · 6 No le interesa o no lo necesita · 7 No le gusta endeudarse · 8 No quiere que le cobren impuestos · 9 Otro (ESPECIFIQUE); CIRCULE UN SOLO CÓDIGO; todas PASE A 6.16	Igual que 2021: todas 6.2 = 2 → PASE A 6.13; 6.13 = 2 → 6.14; 6.13 = 1 → 6.15 (ex-usuarios, mismo catálogo que 6.16 de 2021).	P	Persona elegida de 18 años y más (cuestionario 2024 pdf-pág 4: «PARA PERSONAS DE 18 AÑOS Y MÁS»; FD 2024 TSDEM fila 39); residente habitual en vivienda particular; sólo quien nunca ha tenido crédito formal	enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 pdf-pág 19; enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 TMODULO filas 860-869	Cuestionario 2024 pdf-págs 16-20 (SECCIÓN 6, 6.1-6.17) + pág 4 (universo) + pág 12 (5.4); FD 2024: TMODULO filas 665-903 (P6_1_1..P6_17_9, 84 campos); modelo lógico 2024 (TMODULO)				Por qué no entra en el estimando de K4: el único cambio es el paréntesis de la opción 1, que añade ejemplos («o variables», «no tiene identificación oficial», «etcétera») todos de exclusión por oferta. Puede atraer respuestas desde 9 Otro hacia (b), nunca desde (a) hacia (b) ni al revés: la partición a/b no se mueve, el nivel de (b) puede subir por lectura. Se declara como riesgo de nivel, no de partición.
K4	Motivo de no tener crédito, partido en (a) autoexclusión declarada y (b) exclusión por oferta	2018	2021	CAMBIO-MENOR	(a) y (b) completas; separables: sí. Falta la opción «impuestos» (8 de 2021). Exige recorte 18-70.	P6_6 (6.6); base P6_3 = 2, P6_4 = 2 y P6_5 = 2	6.6 ¿Cuál es la razón principal por la que nunca ha tenido un préstamo, crédito o tarjeta de crédito? (el FD 2018 fila 448 la transcribe como «...por la que no tiene...»; manda el cuestionario)	1 No cumple con los requisitos (no tiene trabajo, ingresos insuficientes) · 2 La sucursal le queda lejos o no hay · 3 Cree que lo van a rechazar · 4 No confía en las instituciones financieras o le dan mal servicio · 5 Los intereses o comisiones son altas · 6 No le interesa o no lo necesita · 7 No le gusta endeudarse · 8 Otro (ESPECIFIQUE); CIRCULE UN SOLO CÓDIGO; todas PASE A 6.18	6.3 No → 6.4 No → 6.5 No → 6.6. Misma base que 2021 (sin producto formal hoy y nunca lo tuvo); ex-usuarios (6.5 = 1) → 6.7 con catálogo propio (7 opciones, sin «impuestos»).	P	Persona elegida de 18 a 70 años (cuestionario 2018 pdf-pág 3: «DE 18 A 70 AÑOS»; FD 2018 TModulo fila 605: EDAD 18..70); residente habitual en vivienda particular; sólo quien nunca ha tenido crédito formal	enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e pdf-pág 12; enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 TModulo filas 448-455	Cuestionario 2018 pdf-págs 12-15 (SECCIÓN 6, 6.1-6.19) + pág 3 (universo) + pág 8 (5.4-5.6); FD 2018: TModulo filas 410-599 (P6_1_1..P6_19_9, 89 campos) + TModulo2 SECCIÓN 10 (filas 302-393)				Por qué no entra en el estimando: la opción ausente («no quiere que le cobren impuestos») no pertenece ni a (a) ni a (b); en 2018 esas respuestas caen en 8 Otro o en 4/5, todas fuera de la partición. El código 8 significa «Otro» en 2018 y «impuestos» en 2021: colisión de código a declarar. «Cree que lo van a rechazar» vs «la (lo)»: lenguaje incluyente. Firma D2: 2018 entra a K4 con esto declarado.
K4	Motivo de no tener crédito, partido en (a) autoexclusión declarada y (b) exclusión por oferta	2015	2021	CAMBIO-DE-INSTRUMENTO	(a) y (b) separables por código, pero 6.6 es MULTIRRESPUESTA («CIRCULE LOS CÓDIGOS CORRESPONDIENTES», ocho variables Sí/No) frente a «razón principal, un solo código» en 2018-2024: una distribución de razones múltiples no es la distribución de la razón principal, y la partición a/b sólo se recupera con una regla de prioridad que hoy no existe. La BASE sí coincide con 2018+: nunca ha tenido (6.4 No → 6.5 No → 6.6), aunque el texto diga «no tiene». Partición por código: (b) exclusión por oferta = 1 requisitos + 5 cree que lo van a rechazar + 4 sucursal; (a) autoexclusión = 6 no le gusta endeudarse + 7 no le interesa; ni a ni b = 2 intereses/comisiones, 3 no confía, 8 otro.	P6_6_1..P6_6_8 (6.6, multirrespuesta); base P6_4 = 2 y P6_5 = 2	6.6 ¿Cuál es la razón por la que no tiene un préstamo, crédito o tarjeta de crédito... no cumple con los requisitos (no tiene trabajo, ingresos insuficientes)? los intereses o comisiones son altas? no confía en las instituciones financieras o le dan mal servicio? la sucursal le queda lejos o no hay? cree que lo van a rechazar? no le gusta endeudarse? no le interesa o no lo necesita? Otro (ESPECIFIQUE)	1 no cumple con los requisitos · 2 los intereses o comisiones son altas · 3 no confía en las instituciones financieras o le dan mal servicio · 4 la sucursal le queda lejos o no hay · 5 cree que lo van a rechazar · 6 no le gusta endeudarse · 7 no le interesa o no lo necesita · 8 Otro; CIRCULE LOS CÓDIGOS CORRESPONDIENTES (FD: ocho campos 1 Sí / 2 No / b); todas PASE A 6.20. No existe la opción «impuestos» (8 de 2021).	6.4 No → 6.5; 6.5 No → 6.6; 6.6 → PASE A 6.20. Misma base que 2021 (sin producto formal hoy y nunca lo tuvo); ex usuarios (6.5 = 1) → 6.7 «¿Por qué dejó de tener su crédito o tarjeta de crédito?» (multirrespuesta, 7 opciones: 1 mala experiencia · 2 intereses muy altos · 3 ya no lo necesita · 4 ya no cumple con los requisitos · 5 no se quiere volver a endeudar · 6 prefiere otro tipo de préstamo (familiares o amigos) · 7 otro) → PASE A 6.20.	P	Persona elegida de 18 a 70 años (cuestionario 2015 pdf-pág 2: «PARA PERSONAS DE 18 A 70 AÑOS», «Resto de las personas de 18 a 70 años»; FD 2015 TModulo1 fila 634: EDAD [18-70]); residente habitual en vivienda particular	enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e pdf-pág 10 (6.4-6.7); enif_2015_fd.xlsx sha256/16=8233cf53f5904966 TModulo2 filas 9-34	Cuestionario 2015 pdf-págs 9-12 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.21, reactivo por reactivo) + pág 2 (universo) + pág 9 (5.25.2-5.32b); búsqueda de términos sobre el cuestionario completo (20 páginas, 1 623 líneas de texto extraído con pdftotext -layout); FD 2015: TModulo1 filas 559-624 (6.1-6.5, 23 campos) + TModulo2 filas 9-332 (6.6-6.21, 101 campos) + TModulo1 5.26.1/5.26.2 + Índice; modelo de datos 2015 = imagen sin texto				Qué cambió y por qué no entra en la serie: el instrumento es multirrespuesta. Lo que el cuestionario añade al FD: la base es «nunca tuvo» (el flujo 6.4→6.5→6.6 lo fija), así que si mesa quisiera una medición rotulada aparte, la población base es la misma que en 2018+ y sólo cambia el instrumento; una tasa «declara al menos una razón (b)» es estimable con este texto, pero no es la razón principal. No se degrada a NO-ESTIMABLE: la conducta se pregunta, con otro instrumento. Sucede a la fila v1.0 (esperaba CAMBIO-DE-INSTRUMENTO; confirmado).
K4	Motivo de no tener crédito, partido en (a) autoexclusión declarada y (b) exclusión por oferta	2012	2021	CAMBIO-DE-INSTRUMENTO	Tres razones, cada una suficiente: (i) 6.5 es MULTIRRESPUESTA («CIRCULE LOS CÓDIGOS CORRESPONDIENTES») frente a razón principal; (ii) la BASE es «no tiene hoy» (6.4 = 2), sin separar ex usuarios: 2012 no tiene «alguna vez tuvo» y el flujo va directo 6.4 No → 6.5; (iii) la casilla de autoexclusión viene fundida con «no lo ha solicitado» (6.5.1 «No le interesa, no lo necesita o no lo ha solicitado»), que no es autoexclusión declarada. Partición por código, si mesa quisiera una medición rotulada: (b) 4 requisitos + 6 cree que lo van a rechazar + 7 sucursal; (a) 5 no le gusta endeudarse + 1 (contaminada); ni a ni b = 2 intereses/comisiones, 3 no confía en los bancos, 8 otro.	P6_5_1..P6_5_8 (6.5, multirrespuesta); base P6_4 = 2	6.5 ¿Por qué no tiene un préstamo, crédito o tarjeta de crédito?	1 No le interesa, no lo necesita o no lo ha solicitado · 2 Los intereses o las comisiones son altos · 3 No confía en los bancos o le dan mal servicio · 4 No cumple con los requisitos (no tiene trabajo, ingresos insuficientes) · 5 No le gusta endeudarse · 6 Cree que lo van a rechazar · 7 La sucursal le queda lejos o no hay · 8 Otro (ESPECIFIQUE); CIRCULE LOS CÓDIGOS CORRESPONDIENTES; PASE A 6.17. No existe «impuestos».	6.4 No → 6.5 → PASE A 6.17. No existe pregunta de ex usuarios ni «alguna vez tuvo»: la base de 6.5 junta a quien nunca tuvo y a quien dejó de tener.	P	Persona elegida de 18 a 70 años (cuestionario 2012 pdf-pág 3: «PARA PERSONAS DE 18 A 70 AÑOS», «IDENTIFIQUE A LAS PERSONAS DE 18 A 70 AÑOS»; FD 2012 NOTAS ACLARATORIAS fila 15); residente habitual en vivienda particular; base de 6.5: quien no tiene crédito formal hoy (nunca usuarios y ex usuarios juntos)	enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 pdf-pág 8 (6.4, 6.5); fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 TMODULO1 filas 509-541; modelo_enif2012.pdf sha256/16=77a9b05ed53f243d	Cuestionario 2012 pdf-págs 7-10 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, reactivo por reactivo) + pág 3 (universo) + pág 7 (5.16-5.18); búsqueda de términos sobre el cuestionario completo (16 páginas, 1 061 líneas de texto extraído con pdftotext -layout); FD 2012: TMODULO1 filas 445-842 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, 109 campos) + TMODULO1 filas 125-149 (SECCIÓN 4) + TMODULO2 filas 254-443 (SECCIÓN 10) + NOTAS ACLARATORIAS; modelo de datos 2012 (TMODULO1 P6_1_1..P6_20_9)				Qué cambió y por qué no entra en la serie: instrumento (multirrespuesta), población base (no separa ex usuarios) y catálogo (autoexclusión fundida con «no lo ha solicitado»). Para K4(a) 2012 es la ola más lejana: la casilla que la hipótesis del corpus llama «no le interesa» incluye aquí a quien simplemente nunca pidió. No se degrada a NO-ESTIMABLE: la conducta se pregunta, con otro instrumento y otra base. Sucede a la fila v1.0 (esperaba CAMBIO-DE-INSTRUMENTO por las tres razones; confirmado).
