# data/reactivos-ciegos-81-v1_0.tsv -- DERIVADO por tools/censa_reactivos_ciegos.py
# ACTO GEN2-REACTIVOS-RESIDUALES-2 (15/sep/2026, NUBE, sin corpus). NO se edita a mano: se re-genera.
#   python3 tools/censa_reactivos_ciegos.py --salida data/reactivos-ciegos-81-v1_0.tsv
# Una fila por grupo ciego (texto_reactivo vacio en el 100% de sus filas) FUERA de las cinco
# familias del lote prioritario (ENVIPE/ENIF/ENCUCI/ENSAFI/ENNViH). Es el objeto que NC-0136
# nombra como "los 81 grupos historicamente ciegos que quedan fuera del lote" -- aqui derivado.
# DOS CAPAS, DOS GRADOS DE PROMESA: `fd_filas_capa_limpia` cuenta solo el descriptor XLSX
# (data/inventario-fd-v1_1.tsv), que da pares variable->enunciado limpios. `fd_filas_con_texto`
# incluye ademas data/inventario-fd-ext-v1_0.tsv (PDF/XLS), que arrastra encabezados de tabla
# como si fueran reactivos: 6745 de sus 10635 filas caen en tripletas (instrumento, variable_id,
# texto) repetidas, y elcos2012 tiene sus 29 filas iguales al encabezado "(2) | (1)", con CERO
# enunciados utilizables. Por eso un grupo cuya unica ruta viene de esa capa sale
# CANDIDATA-FD-EXT-POR-VERIFICAR y no se presenta como resuelto.
# ALCANCE DEL NEGATIVO (A.15): `filas_ciegas` mide que el enunciado del reactivo no esta
# indexado en el universo del buscador; NO certifica que el reactivo no exista en la fuente real,
# ni suficiencia o insuficiencia cientifica de nada. La busqueda por variable_id SI cubre estos
# grupos. `demanda_hoy` se deriva por IGUALDAD de `instrumento` contra la columna homonima de
# data/corrida0/mapa-demanda-19-corr-v1_0.tsv y por prefijo contra las filas RETENIDA* de
# forense/prereg-duelo-v2/F5-panel-candidatos-v<N>.tsv (la version mas alta presente): NINGUNA-DECLARADA-HOY dice que ninguno de
# esos dos consumidores lo reclama hoy, no que el grupo sea prescindible.
instrumento	filas_ciegas	fd_filas_con_texto	fd_filas_totales	fd_filas_capa_limpia	ruta_recuperacion	demanda_hoy
eder2025	970	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
edr2024	101	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
elcos2012	347	29	29	0	CANDIDATA-FD-EXT-POR-VERIFICAR	R13-FAM-ELCOS
enadid2023	695	675	675	675	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
enaproce2015	1269	0	0	0	REQUIERE-FD-EN-CORPUS	R03-TRA-ENAPROCE-TRAMITES
enaproce2018	1310	0	0	0	REQUIERE-FD-EN-CORPUS	R03-TRA-ENAPROCE-TRAMITES
enasem2018	2178	2167	2167	2167	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
enasem2021	2096	2092	2092	2092	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
enasem2024	2222	2212	2212	2212	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
enasic2022	1356	1319	1319	1319	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
enbiare2021	349	151	151	0	CANDIDATA-FD-EXT-POR-VERIFICAR	NINGUNA-DECLARADA-HOY
encig2011	207	6	6	0	CANDIDATA-FD-EXT-POR-VERIFICAR	NINGUNA-DECLARADA-HOY
encig2013	229	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
encig2015	1176	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
encig2017	1605	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
encig2019	1745	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
encig2021	3517	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
encig2023	3717	0	0	0	REQUIERE-FD-EN-CORPUS	CORR-0001
encig2025	2385	0	0	0	REQUIERE-FD-EN-CORPUS	CORR-0002
encoap2023	240	0	0	0	REQUIERE-FD-EN-CORPUS	R10-DIN-ENCO-AHORRO
encup2012	282	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
endireh2003	1381	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
endireh2006	7105	1385	1385	0	CANDIDATA-FD-EXT-POR-VERIFICAR	NINGUNA-DECLARADA-HOY
endireh2011	9270	162	162	0	CANDIDATA-FD-EXT-POR-VERIFICAR	NINGUNA-DECLARADA-HOY
endutih2023	479	467	467	467	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
endutih2024	490	477	477	477	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
endutih2025	509	499	499	499	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
enestyc1992	1670	0	0	0	REQUIERE-FD-EN-CORPUS	R05-ENESTYC
enestyc1995	712	0	0	0	REQUIERE-FD-EN-CORPUS	R05-ENESTYC
enestyc1999	1140	0	0	0	REQUIERE-FD-EN-CORPUS	R05-ENESTYC
enestyc2001	1332	0	0	0	REQUIERE-FD-EN-CORPUS	R05-ENESTYC
enestyc2005	3040	0	0	0	REQUIERE-FD-EN-CORPUS	R05-ENESTYC
enfih2019	664	664	664	664	CABLEAR-CAPA-FD-YA-EN-REPO	CORR-0012
enigh2012	957	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enigh2014	1011	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enigh2016	1089	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enigh2018	1099	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enigh2020	1256	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enigh2022	1290	0	0	0	REQUIERE-FD-EN-CORPUS	CORR-0011
enoe2005	471	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2008	399	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2012	471	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2014	471	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2016	1668	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2017	1668	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2018	2702	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2019	4343	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2020	1233	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2023	4496	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2024	4524	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2025	4514	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe2026	1284	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoe_microdatos_post2019	12480	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoen2020	2184	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoen2021	4575	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enoen2022	4500	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
enpol2021	1258	93	93	0	CANDIDATA-FD-EXT-POR-VERIFICAR	R11-TRA-ENPOL-MORDIDA
enti2022	760	99	99	0	CANDIDATA-FD-EXT-POR-VERIFICAR	NINGUNA-DECLARADA-HOY
enut2009	596	66	66	0	CANDIDATA-FD-EXT-POR-VERIFICAR	NINGUNA-DECLARADA-HOY
enut2019	1307	656	656	656	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
enut2024	885	885	885	885	CABLEAR-CAPA-FD-YA-EN-REPO	CORR-0014
iter2020	286	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
mociba2015	320	136	136	136	CABLEAR-CAPA-FD-YA-EN-REPO	R01-CIV-MOCIBA-DENUNCIA
mociba2016	418	207	207	207	CABLEAR-CAPA-FD-YA-EN-REPO	R01-CIV-MOCIBA-DENUNCIA
mociba2017	344	170	170	170	CABLEAR-CAPA-FD-YA-EN-REPO	R01-CIV-MOCIBA-DENUNCIA
osf_interacting_as_equals	37	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
