id_lectura	archivo_fuente_linea	rol_fuente	concepto_deduplicado	componente_y_limite	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-ed13e951-06	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L33	caso_base	CRPOP-BANCOPPEL	IMOR/IMORA 3T24 y mora de nómina/tarjeta de columna financiera tienen distinta calidad; CAT de enero 2026 es otro corte	PENDIENTE-PRODUCTO-FECHA	¿Qué estado auditado y serie regulada confirman mora y CAT por producto en misma ventana?	HR Ratings BanCoppel 2024; PCR Verum 2026; CNBV por producto; tarifario enero 2026	ASTRA5-MESA-DINERO	Separar reporte dictaminado, columna de mercado y tarifa declarada; no deducir margen desde CAT.
LECTURA-ed13e951-07	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L42	caso_base	CRPOP-FAMSA	Revocación regulatoria y exceso de partes relacionadas documentan gobierno del banco; no estiman mora o voluntad del cliente	PENDIENTE-RESOLUCION-ORIGINAL	¿Qué causal, monto y fecha constan en oficio DOF/CNBV y qué exposición precedió la revocación?	DOF revocación Banco Ahorro Famsa 1-jul-2020; SHCP comunicado 058; estados previos	ASTRA5-MESA-DINERO	Extraer causal y base del 1,812.2 mdp/ICAP; separar ahorradores de acreditados.
LECTURA-ed13e951-08	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L50	caso_base	CRPOP-CREAL	Crédito Real concentra nómina formal; IMOR previo al default y ajuste contable no muestran que sus deudores seguían pagando	PENDIENTE-CARTERA-REEXPRESADA	¿Qué EEFF auditados, aviso BMV y resolución judicial separan cartera vencida, interés devengado y deuda financiera 2020-22?	Crédito Real factsheets/EEFF 2020-22, avisos BMV y resolución 2022	ASTRA5-MESA-DINERO	No equiparar NPL del emisor con conducta de informales; identificar corte de 46% y revisión 3.3%.
LECTURA-ed13e951-09	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L59	caso_base	CRPOP-FINDEP	Findep tiene cartera mixta México/EE.UU. y castigos a 180 días; refinanciación y ROE no aíslan perfil de pago del mismo cliente que Crédito Real	PENDIENTE-DESAGREGACION-PAIS	¿Qué EEFF distinguen país, cartera y producto, IMOR/IMORA y cronograma de vencimientos 2022-24?	Findep reporte anual 2023; HR Ratings 2024; crédito HSBC citado	ASTRA5-MESA-DINERO	Separar operación estadounidense y mexicana; no llamar contrafactual pareado al emisor con cartera distinta.
LECTURA-ed13e951-10	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L67	caso_base	CRPOP-CAME	IMORA 2024 24.8% del base y cartera vencida ajustada 2023 34% del complemento son métricas y cortes distintos	PENDIENTE-DEFINICION-CAME	¿Qué boletín CNBV/PCR Verum define ambos indicadores, NICAP y fecha de intervención/revocación?	CNBV SOFIPO 2024-25; PCR Verum CAME 2024; actos 2025	ASTRA5-MESA-DINERO	Armonizar fecha, entidad y fórmula; no afirmar réplica causal de Famsa.
LECTURA-ed13e951-11	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L73	pares_base	CRPOP-PARES	Azteca/Famsa, Crédito Real/Findep y bancos/CAME difieren simultáneamente en producto, cliente, regulación, fondeo y tiempo	NO-IDENTIFICA-CONTRAFACTUAL	¿Hay estudio que empareje carteras, producto, cohorte y shock exógeno para aislar gobierno frente a pago?	forense §Pares; protocolos/datos longitudinales no identificados	ASTRA5-MESA-DINERO	Conservarlos como contrastes ilustrativos, no estimadores causales pareados.
LECTURA-ed13e951-12	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L78	reglas_base	CRPOP-REGLAS	Cinco CONFIRMA abarcan existencia de oferta, scoring, horizonte, disposición y herramienta/trampa; son cinco afirmaciones con evidencia distinta	PENDIENTE-REGLA-POR-COMPONENTE	¿Qué prueba primaria identifica cada mecanismo y denominador de ENSAFI 27.3% atrasado, sin inferir voluntad o aversión desde mora?	forense reglas 1-5; ENSAFI 2023 pregunta y FD; Bruhn/Love 2014; cartera por producto	ASTRA5-MESA-DINERO	Descomponer cada regla; no trasladar efecto de apertura bancaria a motivo individual de pago.
LECTURA-ed13e951-13	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L85	auditoria_base	CRPOP-URBANO	La auditoría reconoce sesgo urbano, diáspora Findep y ausencia de contraste limpio de cobranza; shocks macro no son rasgo cultural	PENDIENTE-COBERTURA	¿Qué cobertura geográfica/producto tienen series reguladas y cuál fuente estima efecto de cobranza domiciliaria separado de selección?	forense módulo autocrítico; CNBV/Findep; Banxico mora macro; ensayo causal por localizar	ASTRA5-MESA-DINERO	Conservar reserva rural/indígena y de EE.UU.; no elevar intuición de cobranza a mecanismo confirmado.
LECTURA-ed13e951-14	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L95	recomendacion_base	CRPOP-UMBRALES	Alertas >30% partes relacionadas, >20% interés devengado y mora 25-30% son propuestas de decisión, no umbrales validados	PENDIENTE-VALIDACION-UMBRALES	¿Qué norma regulatoria o prueba retrospectiva calibra sensibilidad/especificidad de cada umbral?	forense recomendaciones 1/5; LIC art.73 y reglas CNBV; series históricas de emisores	ASTRA5-MESA-DINERO	Etiquetar recomendación; cotejar regla legal y evitar convertir números propuestos en medición de comportamiento.
LECTURA-ea74603e-06	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L22	casos_complemento	CRPOP-COMPARTAMOS	IMOR etapa 3 4T24/4T25, castigos trimestrales y pérdida esperada Banxico no comparten denominador ni prueban pago sin presión grupal	PENDIENTE-ESTADOS-GRUPO	¿Qué estados CNBV/BMV y regla de castigo definen cartera grupal/individual, castigos y pérdida esperada?	Banco Compartamos resúmenes 4T24/4T25; Banxico indicadores febrero 2024; contrato grupal	ASTRA5-MESA-DINERO	Separar año, cartera y producto; no llamar pago voluntario sin identificar garantía solidaria.
LECTURA-ea74603e-07	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L22	casos_complemento	CRPOP-TANDAS	Participación estimada 30-31% y ausencia de default auditado son afirmaciones diferentes; tanda no equivale a crédito bancario	PENDIENTE-TANDA-UNIVERSO	¿Qué encuesta mexicana, año, pregunta y universo sostienen 30-31%, y existe estimación longitudinal de incumplimiento?	Sociológica UAM y estudio de tandas citado en §C; encuesta primaria por localizar	ASTRA5-MESA-DINERO	No inferir tasa de pago a partir de participación ni usar fuentes de diáspora como México.
LECTURA-ea74603e-08	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L22	casos_complemento	CRPOP-CONTROL-BANCA	IMOR ajustado de consumo 10.5% dic2023 y tarjeta 13.7% jun2025 no controlan clase social, precio, originación ni producto frente a bancos populares	PENDIENTE-CONTROL-COMPARABLE	¿Qué series CNBV con igual fecha, producto, castigos y distribución de riesgo permiten comparar segmentos?	HR Ratings sectorial banca 2024; CNBV portafolio tarjetas/consumo 2023-25	ASTRA5-MESA-DINERO	Conservar referencia descriptiva sin afirmar equivalencia conductual por clase.
LECTURA-ea74603e-09	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L51	recomendaciones_complemento	CRPOP-RATIO-ALARMA	IMOR ajustado >2.5 veces IMOR simple y default tanda <5% son benchmarks propuestos, no reglas estimadas ni observadas	PENDIENTE-CALIBRACION	¿Qué validación de series por institución respalda el umbral 2.5 y qué dato auditado de tandas mediría <5%?	compass-4 recomendaciones 2/5; CNBV IMOR/castigos; estudio longitudinal de tandas por identificar	ASTRA5-MESA-DINERO	Etiquetar umbral hipotético; no elevar benchmark a dato nacional.
LECTURA-ea74603e-10	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L63	anexo_complemento	CRPOP-CALIDAD-FUENTE	Anexo marca AUDITADA a cifras vía prensa/auto-reporte y reconoce ausencia de EEFF auditados Crédito Real post-2020	PENDIENTE-FUENTE-PRIMARIA	¿Cuáles tasas y causas se reproducen literalmente en CNBV/BMV/SEC/DOF y cuáles sólo en prensa o ficha corporativa?	compass-4 §C por actor; originales regulatorios enumerados	ASTRA5-MESA-DINERO	Verificar cada procedencia antes de conservar etiqueta de calidad; mantener compass-4 como complemento mixto.
