unidad	ruta	sha256_recalculado	linea	marca_tier	pasaje
TIER-cb16d398-L48	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	48	Tier: MEDIO (mercado auto-reportado) / FUERTE	**Indicador 7 — Tamaño y perfil del BNPL. Lectura: ÁMBAR PROSPECTIVO. Tier: MEDIO (mercado auto-reportado) / FUERTE (perfil de usuario, AMVO).**
TIER-cb16d398-L51	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	51	Tier: MEDIO-FUERTE	**Indicador 8 — Invisibilidad crediticia / phantom debt. Lectura: ROJO ESTRUCTURAL (punto ciego). Tier: MEDIO-FUERTE.**
TIER-cb16d398-L54	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	54	Tier: FUERTE	**Indicador 9 — Costo del crédito (tasas efectivas). Lectura: ROJO ESTRUCTURAL. Tier: FUERTE.**
TIER-cb16d398-L57	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	57	Tier: FUERTE	**Indicador 10 — Endeudamiento y actitudes de los hogares (ENIF 2024). Lectura: NEUTRAL-TRANQUILIZADOR / ANTI-ESENCIALISTA. Tier: FUERTE.**
TIER-baa568e2-L53	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	53	[ILUSTRATIVO/MEDIA]	**CASO A4 — "El voto es nuestro": economía moral del clientelismo (Cornelius 2002; Schedler 2004) [ILUSTRATIVO/MEDIA]**
TIER-baa568e2-L75	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	75	[FUERTE, mecanismo]	**CASO B3 — Secreto del voto percibido como mecanismo de eficacia (Ascencio & Chang 2025) [FUERTE, mecanismo]**
TIER-baa568e2-L83	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	83	[MEDIA→ILUSTRATIVO]	**CASO C1 — Pensión del Bienestar y programas 4T (gobierno federal, 2018–2024) [MEDIA→ILUSTRATIVO]**
TIER-baa568e2-L92	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	92	[MEDIA, cualitativo]	**CASO C2 — Centralización clientelar y Servidores de la Nación (Langston 2025) [MEDIA, cualitativo]**
TIER-baa568e2-L99	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	99	[FUERTE, descriptivo]	**CASO C3 — Brecha de participación presidencial vs. judicial (Regla 3) [FUERTE, descriptivo]**
TIER-baa568e2-L120	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	120	Tier: FUERTE	**REGLA 1 — "El clientelismo desde abajo tiene AGENCIA: se acepta el beneficio pero se conserva autonomía de voto." → CONFIRMA (con matiz acotado). Tier: FUERTE.**
TIER-baa568e2-L123	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	123	Tier: MEDIA	**REGLA 2 — "Las transferencias directas universales se viven como derecho/gratitud al líder pero SIN monitoreo ni broker." → CONFIRMA en "sin monitoreo condicional / premio no compra"; ROMPE PARCIALMENTE en "sin broker". Tier: MEDIA (correlacional para la 4T).**
TIER-baa568e2-L126	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	126	Tier: FUERTE	**REGLA 3 — "La participación es contingente al peso simbólico del acto." → CONFIRMA. Tier: FUERTE (descriptivo) con contraevidencia parcial.**
TIER-baa568e2-L129	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	129	Tier: DÉBIL	**REGLA 4 — "El voto de clase media responde a estabilidad/aspiración, no es antisistema." → INDETERMINADO. Tier: DÉBIL.**
TIER-d47463c2-L80	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	80	**NARRATIVA POPULAR**	**NARRATIVA POPULAR** (circula pero débil o no verificada):
TIER-d6710e19-L69	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md	d6710e1956c13df90af4accd80c4d20c5740d54962164b66264b1f2a234aa8f7	69	**NARRATIVA POPULAR**	**NARRATIVA POPULAR** (a tratar con cuidado, sin darla por hecho):
TIER-4482e7e0-L83	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md	4482e7e0c8a87d4ca3d7e3313f49a83d1931373729f48c3274f817ac0b0211e9	83	**Narrativa popular**	**Narrativa popular** (extendida, débilmente sustentada o falsa):
TIER-6b7fe5aa-L73	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	73	| **Fuerte** |	| Cambios conductuales masivos (joyería, noche, transporte) | **Fuerte** | ENSU/ENVIPE, INEGI (2024–2025) |
TIER-6b7fe5aa-L74	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	74	| **Fuerte** |	| Percepción de inseguridad > victimización real | **Fuerte** | ENVIPE 2024/2025; literatura de percepción |
TIER-6b7fe5aa-L75	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	75	| **Fuerte** |	| Colapso de confianza institucional, no personal | **Fuerte** | ENCIG 2023 (INEGI), Latinobarómetro, Research Land 2026 |
TIER-6b7fe5aa-L76	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	76	| **Fuerte** |	| Cifra negra 93.2% e impunidad | **Fuerte** | ENVIPE 2025 (INEGI, comunicado 127/25) |
TIER-6b7fe5aa-L77	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	77	| **Fuerte** |	| Costo económico 11% del PIB | **Fuerte** | IEP, Índice de Paz México 2026 |
TIER-6b7fe5aa-L78	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	78	| **Fuerte** |	| Desplazamiento interno forzado (28,900 en 2024) | **Fuerte** | Ibero-ACNUR ("Travesías forzadas", 2025); CMDPDH |
TIER-6b7fe5aa-L79	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	79	| **Medio** |	| Normalización como mecanismo adaptativo | **Medio** | Literatura psicosocial; observación cualitativa |
TIER-6b7fe5aa-L81	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	81	| **Medio** |	| Desensibilización por exposición digital | **Medio** | "Narco Emotions"; Crisis Group; teoría del cultivo |
TIER-6b7fe5aa-L82	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	82	| **Medio** |	| Hipervigilancia adaptativa vs. TEPT | **Medio** | Encuesta Nac. Epidemiología Psiquiátrica; literatura clínica |
TIER-6b7fe5aa-L83	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	83	| **Hipótesis** |	| Afrontamiento por supresión → somatización | **Hipótesis** | Corpus previo; literatura de "nervios/susto" |
TIER-112051b2-L43	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	43	[FUERTE como principio]	**La distinción maestra del corpus es ESTRUCTURA vs. CULTURA vs. ADAPTACIÓN RACIONAL** [FUERTE como principio]. La regla de oro, verbatim del corpus foundational: "La 'improvisación' es creatividad forzada por falta de recursos y entornos impredecibles. Cuando las condiciones cambian —como demuestra el sector fintech o la manufactura de exportación— los mexicanos muestran altos niveles de planeación, formalidad y organización." Antes de atribuir una conducta a "cultura", hay que descartar que sea respuesta racional a estructura e instituciones.
TIER-112051b2-L73	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	73	[HIPÓTESIS RAZONABLE]	**[HIPÓTESIS RAZONABLE] — intuición fuerte, evidencia indirecta:**
TIER-112051b2-L76	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	76	[NARRATIVA POPULAR]	**[NARRATIVA POPULAR] — cliché sin sustento representativo:**
TIER-112051b2-L198	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	198	[MEDIA/HIPÓTESIS]	- SI [reunión social/familiar sin sanción] ENTONCES [llega con holgura de 15-60 min, "ahorita voy"] — PORQUE [norma de flexibilidad relacional] — **[MEDIA/HIPÓTESIS]**.
TIER-112051b2-L203	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	203	[HIPÓTESIS RAZONABLE]	- SI [invitación social y decir "no" sería descortés] ENTONCES [dice "sí voy" aunque la asistencia sea incierta] — PORQUE [simpatía/quedar bien] — **[HIPÓTESIS RAZONABLE]** (no confundir con mentira).
TIER-112051b2-L219	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	219	[HIPÓTESIS RAZONABLE]	- SI [evento social sin costo por faltar] ENTONCES ["ahí nos vemos" sin compromiso firme] — PORQUE [elasticidad + simpatía] — **[HIPÓTESIS RAZONABLE]**.
TIER-112051b2-L223	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	223	[HIPÓTESIS RAZONABLE]	- SI [alta percepción de inseguridad / zona de violencia] ENTONCES [evita salir de noche, cambia hábitos, prioriza corto plazo] — PORQUE [cálculo racional de costo-beneficio, hipervigilancia adaptativa] — **[HIPÓTESIS RAZONABLE]** (no dato duro; el corpus enmarca el cambio como adaptación racional, no como contracción medida del horizonte temporal).
TIER-112051b2-L247	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	247	[NARRATIVA POPULAR]	- **¿Qué conclusiones serían peligrosas si se usaran de forma simplista?** "Los mexicanos no saben planear / son impuntuales / viven el momento por cultura." Usadas en RH, crédito o política pública, justificarían discriminación y borrarían la responsabilidad estructural. El reporte las marca como [NARRATIVA POPULAR] y las desarma.
TIER-c42009a3-L154	corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	154	**fuerte**	**(b) Tamaño de efecto:** La asociación genotipo→percepción es **fuerte** (p<0.0001). Pero el efecto sobre **ingesta real** es **inconsistente**: varios estudios (p. ej. Sharafi et al., Food Quality and Preference 2016) encuentran que "liking" e ingesta de verdura **no** difieren significativamente por fenotipo gustativo una vez controlado el contexto; en una intervención comunitaria (Deshaware & Singhal / estudio HHL, 2018), los non-tasters aumentaron más su consumo, pero los efectos fueron moderados y dependientes de la intervención.
TIER-c42009a3-L167	corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	167	**débil**	- El **efecto principal** de MAOA sobre agresión es **débil**; la señal está en la interacción con maltrato.
TIER-bbdb2e23-L74	corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	bbdb2e2379ec2384157ae720c11cba50e9ab187b60d858c359ee118070a8ba85	74	[HIPÓTESIS RAZONABLE]	**[HIPÓTESIS RAZONABLE]**:
TIER-bbdb2e23-L78	corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	bbdb2e2379ec2384157ae720c11cba50e9ab187b60d858c359ee118070a8ba85	78	[NARRATIVA POPULAR]	**[NARRATIVA POPULAR]**:
TIER-bbdb2e23-L163	corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	bbdb2e2379ec2384157ae720c11cba50e9ab187b60d858c359ee118070a8ba85	163	[HIPÓTESIS RAZONABLE]	**Cruce con corpus.** Toca **colorismo/pigmentocracia** (el ideal estético blanco-delgado) y **marianismo** (el cuerpo femenino como objeto de escrutinio), pero la evidencia directa que ligue colorismo e imagen corporal es débil — marcado como **[HIPÓTESIS RAZONABLE]**.
TIER-bbdb2e23-L219	corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	bbdb2e2379ec2384157ae720c11cba50e9ab187b60d858c359ee118070a8ba85	219	[NARRATIVA POPULAR]	2. **"El fatalismo ante la diabetes es cultural."** Mayormente desesperanza estructural y falta de acceso. [NARRATIVA POPULAR]
