id_lectura	archivo_fuente_linea	componente_y_limite	concepto_deduplicado	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
APUESTAS-CASO-05	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L67	Effie y proporción de tiendas Walmex son publicidad/huella comercial, no preferencia «calidad > precio 2:1»	ASP-REGLAS-CONSUMO	CONTRADICCION-FORENSES	¿Qué observación D/E distingue precio, calidad percibida y marco publicitario en compra real?	Mamá Lucha campaña; Walmex formato Bodega Aurrera; panel hogares por localizar	ASTRA5-MESA-DINERO	Conservar contradicción explícita y NO VALIDADA del forense aspiracional.
APUESTAS-CASO-06	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L76	Progresa RCT mide paquete transferencia+condicionalidad, no separa ingreso estable de horizonte mental; 14% consumo y 11% alimentos requieren estudio/cohorte	APUESTAS-PROGRESA	PENDIENTE-RCT	¿Qué asignación y contrafactual de Behrman/Hoddinott/Skoufias generan cada efecto y aíslan condicionalidad?	evaluaciones Progresa originales y datos de asignación por localizar	ASTRA5-U1	Separar inversión en capital humano, consumo y mecanismo de planeación.
APUESTAS-CASO-07	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L85	NOM-051 apoyo 74%, comprensión 79%, compra reducida autodeclarada 45/39% y reformulación industrial 56% son desenlaces/universos diferentes	APUESTAS-ETIQUETADO	PENDIENTE-INSP	¿Qué cuestionarios INSP 2020-21, grupos de edad y diseño causal sostienen apoyo, compra y reformulación?	INSP estudio etiquetado frontal 2020-21; NOM-051 y evaluación industrial por cotejar	ASTRA5-MESA-SALUD	Separar opinión, comprensión, compra autodeclarada y ventas observadas.
APUESTAS-CASO-08	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L94	DiDi y Uber habilitaron efectivo, pero subsidios, comisiones y cobertura también cambiaron; cuota conjunta 56% no aísla efecto del efectivo	APUESTAS-MOVILIDAD	PENDIENTE-PLATAFORMAS	¿Qué cuota DiDi sola por ciudad/periodo y experimento de habilitación de efectivo existen?	DiDi/Uber comunicados y datos de ciudades por localizar	ASTRA5-U4	Distinguir disponibilidad de pago, adopción y efecto causal.
APUESTAS-CASO-09	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L105	CoDi 21.8M cuentas validadas, 3.09M cuentas con uso y 17.8M transacciones no comparten unidad; miedo SAT no medido	CODI-USO	PENDIENTE-CODI-SERIE	¿Qué tabulados Banxico 2019-25 dan cada conteo y qué encuesta mide razón de no uso?	Banxico CoDi reporte por mes; NTT Data oct-2025 por cotejar	ASTRA5-U4	Deduplicar con TECNOLOGIA/FIN y no inferir aversión cultural.
APUESTAS-CASO-10	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L114	Tecate cambió campaña tras crítica; sin ventas atribuibles no se sabe efecto de masculinidad en compra ni segmento	APUESTAS-TECATE	ILUSTRATIVO-SIN-METRICA	¿Qué fechas/campañas y ventas por cohorte podrían atribuir respuesta a mensaje?	Tecate campañas 2012/2015, retiro y marca por cotejar	ASTRA5-MESA-DINERO	Conservar episodio reputacional, no «romper» motivación masculina universal con él.
APUESTAS-CASO-11	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L123	Jüsto cierre 2025 y rescate 2026 son eventos financieros; penetración online supermercado de internautas no identifica causa de insolvencia	APUESTAS-JUSTO	PENDIENTE-JUSTO	¿Qué estados/nota de reestructuración separan liquidez, rentabilidad y demanda de usuarios en México?	Jüsto comunicados cierre/rescate 2025-26; encuesta compra supermercado online por cotejar	ASTRA5-U4	Mantener error de segmentación como hipótesis, no adjudicar fracaso al consumidor.
APUESTAS-CASO-12	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L134	BCG 91→77→57% y esquema completo 45.6% tienen cohortes/periodos distintos; desabasto plausible no exclusivo sin motivo por niño	APUESTAS-VACUNACION	PENDIENTE-COBERTURA-MOTIVO	¿Qué ENSANUT y cadena de abastecimiento emparejan cobertura, disponibilidad y rechazo por localidad?	ENSANUT Continua/SUP Salud Pública de México 2024; compras BCG por cotejar	ASTRA5-MESA-SALUD	No reemplazar esencialismo antivacunas por monocausalidad de desabasto.
APUESTAS-CASO-13	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L142	Tsuru 2017 y NOM-194: discontinuación puede obedecer cumplimiento regulatorio, pero ventas/seguridad y percepción de comprador son objetos distintos	APUESTAS-TSURU	PENDIENTE-NOM-194	¿Qué obligación/fecha NOM-194 y comunicación Nissan confirman motivo de discontinuación y qué serie ventas cubre ene-may 2017?	NOM-194-SCFI-2015 y Nissan 2017 comunicados; INEGI ventas por modelo por cotejar	ASTRA5-MESA-DINERO	Separar motivo regulatorio de preferencia del comprador.
APUESTAS-CASO-14	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L150	Costco vs Sam's repite forense aspiracional; ingresos absolutos y rentabilidad por club carecen de base auditada comparable México	ASP-CREDITO-MEMBRESIA	PENDIENTE-FORMATO	¿Qué métricas México por formato auditadas y mismo periodo sustentan 189,869 vs 94,500 mdp?	Costco/Nasdaq y Walmex/BMV desgloses por cotejar	ASTRA5-MESA-DINERO	Deduplicar caso y mantener mecanismo de devoción como hipótesis.
APUESTAS-CASO-15	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L159	Kavak valuación y quejas Profeco no miden disposición a pagar por certeza; 218 quejas sin base de transacciones no son tasa	APUESTAS-KAVAK	ILUSTRATIVO-SIN-DENOMINADOR	¿Qué universo Profeco/ventas y precio comparable permiten medir quejas y premium por garantía?	Profeco quejas 2025; Kavak rondas/valuación y ventas por cotejar	ASTRA5-MESA-DINERO	Conservar ejecución como alternativa, no declarar supuesto correcto por crecimiento inicial.
APUESTAS-CASO-16	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L167	Susana Distancia difusión no mide distancia física, contagio ni efectividad de personaje	APUESTAS-SUSANA	ILUSTRATIVO-SIN-EFECTO	¿Qué evaluación de exposición al personaje y comportamiento de distanciamiento existió?	Secretaría Salud campaña 2020 y estudio de difusión en redes por localizar	ASTRA5-MESA-SALUD	No usar viralidad como RESULT epidemiológico.
APUESTAS-PAR-01	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L177	RappiCard NBER AUC incremental de huella digital evalúa predicción en solicitantes sin historial; no compara ensayo de scoring tipo EE.UU. fracasado ni prueba todos los segmentos populares	CRED-FACIL-BNPL	PENDIENTE-NBER-POBLACION	¿Qué diseño, muestra, métrica AUC y fecha de Chioda et al. 33208 generan 0.124/0.026/0.006/0.001 y qué política contrafactual comparan?	NBER Working Paper 33208 revisión 2025 y anexos de RappiCard por localizar	ASTRA5-MESA-DINERO	Leer estudio primario y delimitar inferencia predictiva; no llamar par contrafactual empresarial.
APUESTAS-PAR-02	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L181	CoDi/OXXO Pay se repite como par pero estructuras y métricas difieren; efectivo como variable decisiva no identificado	CODI-OXXO-PAR	CORRECCION-PAR-CAUSAL	¿Qué mismo segmento y ventana permiten comparar probabilidad de pagar con canal físico vs QR?	Banxico CoDi 2019-25; FEMSA OXXO Pay/Spin transacciones por localizar	ASTRA5-U4	Deduplicar con L10 y casos 4/9; evitar doble conteo de respaldo.
APUESTAS-PAR-03	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L184	Costco/Sam's repite forense aspiracional y caso 14; «devoción» no tiene variable medida y escala/rentabilidad no son métricas equivalentes	ASP-CREDITO-MEMBRESIA	PENDIENTE-FORMATO	¿Qué encuesta de lealtad, cuota y margen por formato México puede emparejarse en mismo periodo?	Costco FY2025, Walmex Sam's disclosure, panel compradores por localizar	ASTRA5-MESA-DINERO	Deduplicar sin declarar resultado psicológico aislado.
APUESTAS-SINT-01	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L187	La sección CONFIRMA une efectivo, adopción fintech, dignidad, Progresa, vacunas y CoDi; cada inferencia usa unidad y diseño distinto y no hereda tier FUERTE	APUESTAS-REGLAS	PENDIENTE-SINTESIS-POR-CASO	¿Qué medición primaria sostiene cada paso desde desenlace comercial o cobertura a mecanismo conductual?	forense §5; Banxico/ENIF/Progresa/ENSANUT por caso; briefs previos por localizar	ASTRA5-U0	Separar seis tesis y no trasladar veredicto del caso a la regla general.
APUESTAS-SINT-02	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L187	Mamá Lucha CONFIRMA calidad>dignidad en apuestas pero el forense aspiracional declara esa regla NO VALIDADA; premio y ventas agregadas no prueban preferencia individual	ASP-REGLAS-CONSUMO	CONTRADICCION-FORENSES	¿Qué panel D/E compara elección de calidad a igual precio y exposición a campaña?	forense apuestas §5; forense aspiracional regla 1; panel Kantar/NielsenIQ por localizar	ASTRA5-MESA-DINERO	Mantener contradicción entre fuentes sin promediar veredictos.
APUESTAS-SINT-03	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L219	El registro reconoce sobrerrepresentación fintech y material retrospectivo; la conclusión utilidad>confianza solo está acotada al ámbito financiero	APUESTAS-SES-GENERALIZACION	PENDIENTE-MARCO-CASOS	¿Cuál fue marco de búsqueda y selección de éxitos/fracasos con supuesto declarado previo por dominio?	forense §7-8; archivo de briefs/decks previos por localizar	ASTRA5-U0	No generalizar a política, salud o religión desde muestra fintech seleccionada.
APUESTAS-SINT-04	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L240	Las reglas SI-ENTONCES y plazo de 3-12 meses son recomendaciones prospectivas; no hay RESULT de intervención para dignidad, confianza o efecto de campañas	APUESTAS-RECOMENDACIONES	PROPUESTA-NO-MEDIDA	¿Qué diseño prospectivo especificaría segmento, tratamiento, desenlace y umbral de éxito?	forense recomendaciones etapas 1-3; protocolo prospectivo inexistente	ASTRA5-U0	Conservar como operación futura, no como afirmación medida del mapa.
