id_afirmacion	programa_id	ola	pregunta_buscada	secciones_recorridas
ASTRA5-U0-SINT-018	ENOE		brecha salarial por sexo y horas de trabajo de cuidado no remunerado, como reactivo directo de ENOE	cuestionarios ENOE v5/v6a: bloque de ingreso (persona ocupada) trae ingreso, no brecha calculada por el WEF; horas de cuidado no remunerado no es reactivo ENOE (pertenece a ENUT, fuera de este grupo de programas)
ASTRA5-U0-FAM-032	ENOE		ingreso de personas recién egresadas Y renta mínima de vivienda en CDMX, como reactivo único comparable	cuestionario ENOE (bloque de ingreso por ocupación, ninguna ruptura por 'recién egresado'); no existe reactivo de renta de vivienda en ningún programa de este grupo -- la cifra de renta proviene de un índice inmobiliario ajeno al corpus
ASTRA5-U0-SINT-016	CCPV	1930 (no en corpus)/1925 (libro)	categoria racial/etnica en el Censo de Poblacion 1930	data/manifiesto.yaml (sin match de censo 1930; CCPV en corpus solo trae 2020); catalogo de programas del corpus
ASTRA5-U0-EMOC-001	CONEVAL	N/A	escala de autoconstrual dignidad/face/honor de Smith et al. (2017), muestra universitaria	data/manifiesto.yaml (sin match de 'Smith' ni de la encuesta cross-cultural citada); catalogo de programas CONEVAL/corpus (solo tabulados de pobreza)
ASTRA5-U0-SALMEN-038	ENSANUT	2021;2022;2023;2024	uso de redes sociales o tiempo de pantalla en adolescentes, cruzado con sintomatologia depresiva	forense/analisis/salud-bienestar/lista-cerrada-P1.md §2 (tabla ENSANUT 2021-2024, archivo adolescentes: unica fila d0817); forense/analisis/salud-bienestar/estructura-ensanut.md
ASTRA5-U0-CRFAC-020	BANXICO		morosidad de SOFOM ENR y OIFNB «en niveles históricamente altos»: dicho del REF, que la construye con información de burós; no hay serie pública por sector (buscado: boletines CNBV y SIE en el manifiesto)	forense/analisis/dinero-series/afirmacion-serie-v1_0.tsv (heredado de GEN2-DINERO-SERIES-CNBV-BANXICO-1); dos constancias CNBV/Banxico ya en repo
ASTRA5-U0-CRPOP-029	CNBV		IMOR/IMORA/ROE de una SOFOM ENR y su línea de fondeo: la CNBV no publica serie prudencial de ENR (buscado: boletín estadístico de SOFOM ENR en el manifiesto y en las dos constancias); la fuente son reportes de calificadora y emisora	forense/analisis/dinero-series/afirmacion-serie-v1_0.tsv (heredado de GEN2-DINERO-SERIES-CNBV-BANXICO-1); dos constancias CNBV/Banxico ya en repo
ASTRA5-U0-CRPOP-040	CNBV		umbrales normativos de alerta (partes relacionadas, interés capitalizado) y un dato de emisora quebrada: no es afirmación sobre una serie; buscado: R16 y boletines en las dos constancias	forense/analisis/dinero-series/afirmacion-serie-v1_0.tsv (heredado de GEN2-DINERO-SERIES-CNBV-BANXICO-1); dos constancias CNBV/Banxico ya en repo
ASTRA5-U0-TRUST-018	BANXICO		«82% de las transacciones en efectivo»: sin fuente identificada; no es serie administrativa de pagos (las series SPEI/CoDi del manifiesto miden montos y operaciones electrónicas, no la proporción en efectivo); el piso de persona sería ENIF, fuera de este acto	forense/analisis/dinero-series/afirmacion-serie-v1_0.tsv (heredado de GEN2-DINERO-SERIES-CNBV-BANXICO-1); dos constancias CNBV/Banxico ya en repo
ASTRA5-U0-VIOL-041	BANXICO		estudio econométrico de Banxico (homicidios → IED estatal): estimación de investigación, no serie; título no identificado por el report	forense/analisis/dinero-series/afirmacion-serie-v1_0.tsv (heredado de GEN2-DINERO-SERIES-CNBV-BANXICO-1); dos constancias CNBV/Banxico ya en repo
