id_lectura	archivo_fuente_linea	rol_fuente	concepto_deduplicado	componente_y_limite	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
CASO-baa568e2-B3	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L75	caso_forense	CLIENT-SECRETO-PERCIBIDO	Ascencio-Chang 2025 encuesta N=1043 y laboratorio: creencia de secreto modula cumplimiento; 0.06→0.63 es resultado de laboratorio, no tasa nacional	PENDIENTE-DOS-EXPERIMENTOS	¿Qué asignación de dádiva y pregunta de secreto/elección corresponden a encuesta versus laboratorio?	Ascencio-Chang 2025 PSRM doi:10.1017/psrm.2024.54, artículo/suplemento/replicación por cotejar	ASTRA5-U3	Separar muestra encuesta de experimento de laboratorio y sus universos; no transferir 0.63 a población mexicana.
CASO-baa568e2-C1	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L83	caso_forense	CLIENT-4T	ENEM 2024 beneficiarios y voto con aprobación/identidad confundidos; falta coeficiente independiente visible	PENDIENTE-ENEM-COEFICIENTE	¿Cuál coeficiente y error estándar de beneficiario federal neto de identidad Morena y aprobación AMLO publica ENEM 2024?	ENEM 2024 artículo/modelo de Castro Cornejo/Altamirano/Beltrán; cuestionario/datos por cotejar	ASTRA5-U3	No llamar nulo el efecto por no recuperar tabla; conservar correlación y datos de autorreporte separados.
CASO-baa568e2-C2	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L92	caso_forense	CLIENT-BROKER-CENTRAL	Langston 2025 documenta intermediación de Servidores de la Nación sin condicionalidad de voto; frase «sin broker» retirada	PENDIENTE-TEXTO-CUALITATIVO	¿Qué observación/entrevista Langston 2025 identifica función de afiliación frente a monitoreo electoral individual?	Langston 2025 Foro Internacional artículo primario por cotejar; correcciones-vigentes-v1_0.tsv «ni broker»	ASTRA5-U3	Preservar broker histórico en análisis; no confundir existencia de intermediario con capacidad de verificar voto secreto.
CASO-baa568e2-C3	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L99	caso_forense	CLIENT-PARTICIPACION-INE	Forense cita ≈61% presidencial 2024 y 13.02% judicial SCJN 2025; report político usa 59.8/12.86 sin estimador/cargo judicial comparable	PENDIENTE-ARMONIZAR-CARGOS	¿Qué tasas salen de cómputo presidencial, estudio muestral de participación y boleta SCJN con su lista nominal?	INE cómputo presidencial 9-jun-2024 61.04%; estudio muestral 2024 59.8%; cómputos judiciales SCJN 2025 13.02%; cargo/corte de 12.86 por identificar	ASTRA5-U3	No inferir «mismos beneficiarios» de dos agregados ni saliencia causal; conservar oficina, fuente y estimador de cada tasa.
PAR-baa568e2-01	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L106	pasaje_interno	CLIENT-PROGRESA-4T	Progresa 2000 y Pensión 4T 2024 difieren programa, universo, elección y diseño; no son mismo tratamiento condicionado vs no condicionado con estructura constante.	PENDIENTE-DICTAMEN-POR-CASO	¿Qué contrafactual común aisla condicionalidad manteniendo población/periodo?	De La O/Imai-King-Velasco; ENEM 2024	ASTRA5-U3	Marcar par como analogía histórica, no comparación causal.
PAR-baa568e2-02	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L109	pasaje_interno	CLIENT-EMISOR-2018	PRI y Morena 2018 ofrecen a segmentos elegidos distintos; «mismo electorado» no equivale a asignación aleatoria y margen no identifica efecto nulo.	PENDIENTE-DICTAMEN-POR-CASO	¿Qué panel cruza emisor, oferta, aceptación y voto con confusores?	Greene-Simpser EQD 2018 cuestionario/panel	ASTRA5-U3	Revisar selección de destinatario y attrition.
PAR-baa568e2-03	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L112	pasaje_interno	CLIENT-SECRETO-PERCIBIDO	Oferta y creencia de monitoreo del laboratorio son unidades del experimento; la encuesta N=1043 no hereda probabilidad 0.06→0.63.	PENDIENTE-DICTAMEN-POR-CASO	¿Qué asignación y condición mantiene idéntica la oferta en cada brazo?	Ascencio-Chang 2025 artículo/suplemento	ASTRA5-U3	Registrar estimando laboratorio y alcance externo.
PAR-baa568e2-04	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L115	pasaje_interno	CLIENT-PARTICIPACION-INE	Presidencial 2024 vs judicial 2025 no sigue a los mismos beneficiarios; cambiar cargo/año/boleta rompe supuesto de tratamiento constante.	PENDIENTE-DICTAMEN-POR-CASO	¿Qué panel observa beneficio y participación en ambos actos para mismas personas?	INE cómputos 2024/2025; panel individual por localizar	ASTRA5-U3	No inferir saliencia causal de dos tasas agregadas.
REGLA-baa568e2-01	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L120	pasaje_interno	CLIENT-AGENCIA	Agencia modal se infiere de estudios locales/históricos y mecanismo de laboratorio; tamaño ≥5-10 puntos es umbral editorial no calibrado.	PENDIENTE-DICTAMEN-POR-CASO	¿Qué estimando nacional con IC/heterogeneidad cuantifica cumplimiento y voto de preferencia?	Greene-Simpser; Cantú; Ascencio-Chang	ASTRA5-U3	No elevar regla a prevalencia nacional ni hacer infalsable agencia.
REGLA-baa568e2-02	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L123	pasaje_interno	CLIENT-4T	«Sin broker» está retirado por FP-57; ENEM 2024 no publica coeficiente independiente suficiente para declarar canal aprobación exclusivo.	PENDIENTE-DICTAMEN-POR-CASO	¿Qué coeficiente y prueba de monitoreo condicional separan beneficio/aprobación/identidad?	Langston 2025; ENEM 2024 artículo/tablas	ASTRA5-U3	Preservar intermediación sin asumir compra ni nulidad de beneficio.
REGLA-baa568e2-03	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L126	pasaje_interno	CLIENT-PARTICIPACION-INE	61.04% presidencial y 13.02% judicial son observaciones institucionales; «peso simbólico» y fracaso de maquinaria son inferencias no identificadas.	PENDIENTE-DICTAMEN-POR-CASO	¿Qué medida directa de saliencia y movilización controla complejidad, cargo y año?	INE cómputos; encuesta postelectoral/panel por localizar	ASTRA5-U3	Confirmar solo diferencia descriptiva, sin atribución causal.
REGLA-baa568e2-04	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L129	pasaje_interno	CLIENT-CLASE-MEDIA	Regla 4 explícitamente indeterminada; ruralidad/educación ENEM no miden motivo estabilidad/aspiración ni antisistema.	PENDIENTE-DICTAMEN-POR-CASO	¿Qué pregunta conjunta de clase/ingreso, motivación y voto contrasta regla?	ENEM 2024 cuestionario y estudio de clase media por registrar	ASTRA5-U3	Mantener hipótesis pendiente, no NO-MEDIBLE universal.
CLIENT-INTERNO-01	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L132-L163	pasaje_interno	CLIENT-AUDITORIA	Auditoría/caveats advierten literatura antigua, diáspora Song 2020, 4T correlacional y riesgo asimétrico de falsabilidad; recomendaciones de campaña carecen evaluación.	PENDIENTE-DICTAMEN-POR-CASO	¿Qué nuevas pruebas nacionales y evaluación de mensaje sobre secreto del voto existen?	Song 2020 diáspora; INE campañas; estudios primarios por registrar	ASTRA5-U3	No promover recomendaciones o umbral a RESULT; conservar reserva por segmento.
