ruta	localizador_original	texto_retirado_o_degradado	localizador_vigente	lectura_vigente	operacion_mapa
corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md	L19-L21	PDI Hofstede como causa de indirección	L19-L21	Hofstede es correlato descriptivo c; estructura/adaptación son explicadores candidatos, no identificación causal	Separar observación de mecanismo
corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	L9-L12	Hofstede Fuerte y causa de consumo	L9-L12	Hofstede MEDIA c, correlato descriptivo; conservar por separado conducta mexicana documentada	Degradar tier y prohibir causalidad implícita
corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	L15,L129	Documentos del proyecto ausentes en Drive y perfiles 2/3/G2 reconstruidos como si fueran texto canónico	L15,L129	Tres reports citados sí existen ahora en corpus/reports; glosario-corregido-v2 no localizado. El forense no leyó las definiciones verbatim y sus veredictos sobre perfiles/G2 siguen siendo hipótesis históricas, no validación canónica	Leer los tres reports locales antes del cruce; localizar glosario exacto y no dar por validada la reconstrucción
corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	L5,L85-L91	Caso iPhone descrito como test más limpio/aislable y dependencia contrafactual de 24 mensualidades demostrada	L85-L91	Series de penetración/envíos y declaración de analistas no comparan acceso con y sin financiación para el mismo segmento; crédito como mecanismo plausible, efecto marginal no identificado	Exigir contrato causal de elegibilidad/tasa de financiamiento y compra antes de dictaminar necesidad del crédito
corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	L20,L46-L52	Starbucks, Liverpool y departamentales se contraen como bloque en 2025-26	L46-L52	El propio forense reporta Liverpool VMT −2.5% y Palacio ingresos +4.2% en 1T2026; no hay contracción común de las departamentales ni par contrafactual controlado	Conservar series por empresa/métrica/periodo y separar desaceleración de contracción
corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	L10,L181	CoDi vs OXXO Pay/Spin como «par contrafactual más limpio» y relación con efectivo como variable decisiva	L58,L105,L181	Cuentas y transacciones CoDi, usuarios Spin, pagos OXXO Pay y corresponsalías son métricas distintas; redes, elegibilidad y periodos difieren. No se identifica causalmente la preferencia por efectivo	Separar series/universos y buscar comparación emparejada antes de adjudicar mecanismo
corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	L11,L67,L192	Mamá Lucha «confirma» calidad > precio 2:1 por publicidad y expansión de formato	L67 y forense aspiracional L118	El forense aspiracional la declara NO VALIDADA con métrica de venta; premio Effie y proporción de tiendas no miden preferencia D/E precio-calidad	Conservar contradicción visible y no dictaminar regla hasta panel/experimento de compra
corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	L14	Muestras de diáspora como evidencia directa en México	L14	Marca b, transferibilidad no verificada	No atribuir medibilidad poblacional mexicana
corpus/reports/Psicología__Conducta_y_Sociedad_en_el_México_Contemporáneo__Análisis_Transcultural_y_Estructural.md	L35-L43	Híbrido honor rural/dignidad urbano	L45	Sensibilidad reputacional MEDIA bajo autopercepción de dignidad; dignidad/face no polos; honor retirado	Excluye híbrido, agrega afirmación vigente L45
corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	L3	«ni broker» como posición vigente del motor	L3	Documento es base histórica; «ni broker» retirado en modelo v2.3	No confundir reporte forense fechado con regla actual
corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	L3	«ni broker» como posición vigente del motor	L3	Documento es base histórica; «ni broker» retirado en modelo v2.3	No confundir reporte forense fechado con regla actual
corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	L23,L68	PNAS Nexus 2023 N≈97,149 como evidencia experimental directa de descuento temporal	L23,L68	Shah et al. 2023, doi:10.1093/pnasnexus/pgad058, aleatoriza estados de cuenta/SMS entre clientes activos de una AFORE y observa aportación voluntaria; no administra tarea de descuento temporal ni representa a toda la población mexicana	Corregir constructo y universo en mapa; no trasladar el efecto de mensaje a una tasa de descuento o rasgo nacional
corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	L9,L18	59.8% presidencial 2024 y 12.86% judicial 2025 como dos tasas finales directamente comparables de los mismos electores	L9,L18	INE registra 59.8% en estudio muestral de participación 2024 pero 61.04% en cómputo distrital presidencial; 13.02% judicial se publica para boleta SCJN, y el cargo/corte de 12.86% no está identificado; fuentes y estimadores difieren	Citar cada tasa con fuente, cargo, fecha, estimador y lista nominal; no usar la brecha para probar motivación individual
corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md	L3,L9,L47,L71	~22% de confianza en mayoría atribuido a WVS México 2018; 87.4% de confianza profunda en familia como si fuera la misma escala	L3,L9,L47,L71	WVS México 2018, codebook v3.0 Q57 p.27 publica 10.5% para mayoría; Q58 p.27 publica 73.0% familia completamente y 91.9% completamente/algo. El origen de ~22% y 87.4% requiere otra fuente/ola/escala; el dato v5.1 no fue abierto.	Cotejar atribuciones contra fuente primaria; no presentar 22% ni 87.4% como tabulado WVS 2018 v3.0, ni codebook v3.0 como RESULT v5.1.
corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md	L31	Mayores de 50 confían >10 puntos más que menores de 35 en confianza interpersonal generalizada	L31	WVS México 2018 codebook v3.0 Q57: 50+ 9.3%, hasta29 11.6%; ese tabulado tiene signo opuesto y cortes diferentes. La fuente de >10 pp y del corte <35 no está identificada.	No trasladar brecha generacional sin ola, reactivo y cortes etarios exactos; mantener dato legisladores juveniles separado.
corpus/reports/Humor_in_Mexican_Psychological_Life__2023-2026_Update.md	L10	EHV validada en dos muestras mexicanas N=1,380 y N=550 como si fueran tamaños independientes	L10,L33	EHV Calleja et al. 2022 PDF UNAM físico SHA256 84cd234ee12287ba408367367a872fd63f47f5688881e824d1021af24f1e7b5b, Tabla 1 p.69: n total 1,380 dividido en AFE n=550 y AFC n=830; ocho ítems finales HV1-HV8, alfa .915/omega .914 y AVE .572 pp.70-71. Muestras no probabilísticas con alta escolaridad. Texto p.70 asigna invarianza a muestra 2 pero Tabla 4 p.72 rotula muestra 1; requiere aclaración de autor antes de fijar n del contraste por sexo.	Corregir doble conteo y fijar ítems, escala 1-7, muestras y métricas; registrar PDF/condiciones en carril documental; no inferir prevalencia nacional ni adoptar n de invarianza sin resolver contradicción interna.
corpus/reports/Humor_in_Mexican_Psychological_Life__2023-2026_Update.md	L62-L63	«Escalera de Cantor»; PDF ESSH 2023 restringido como vacío documental vigente	L10,L62-L63	WHR usa escalera de Cantril, evaluación vital 0-10. ESSH Cruz Vargas/Sánchez Aragón 2023 sí tiene PDF primario UNAM físico SHA256 3cd81a191c9a10cc0e2c761c8c50a16d35c7f66b72d4821ce102aef585e514f5. Tres muestras no probabilísticas distintas: exploratoria n=150, AFE n=185 y AFC/invarianza n=302. El AFE de 17 ítems publica alfa .896 y omega .898 (p.81); tras AFC la escala final de 9 ítems publica alfa .807 (p.82). La Tabla 3 p.83 y el texto p.82 reportan invarianza por sexo dentro de n=302; el ΔRMSEA estricto supera el corte declarado y la tabla presenta columnas ambiguas. Además, Tabla 1 p.81 imprime χ²(1)=0.265 junto a p<.05; esa combinación es inconsistente y no acredita diferencia por sexo. No equivale a invarianza nacional ni a prevalencia de humor.	Corregir Cantor→Cantril y dependencia ESSH de inaccesible a copia física sin registro; contratar AFE, escala final e invarianza por separado, preservar duda de tabla y solicitar aclaración metodológica si se va a adoptar invarianza estricta o diferencia de categorías por sexo.
corpus/reports/Humor_in_Mexican_Psychological_Life__2023-2026_Update.md	L4,L18	93.0 millones de identidades sociales como penetración de personas únicas o prueba de consumo de humor	L4,L18	DataReportal Digital 2025 Mexico publica 93.0 millones de identidades, 70.7% de la población como razón descriptiva; advierte que identidades no representan necesariamente individuos únicos. No mide humor.	Conservar unidad identidades y fecha enero 2025; no convertirla en personas únicas ni conducta humorística.
corpus/reports/Mexican_Population_Genomics__2025-2026_Scientific_and_Market_Opportunity_Update.md	L4,L29,L43	Artículo Nature Medicine 2026 identificado como Medina-Muñoz/Moreno-Estrada y 42,769 variantes todas clínicamente accionables	L4,L11,L29,L43	La publicación primaria se titula Clinical genetic variation across Hispanic populations in the Mexican Biobank, DOI 10.1038/s41591-025-04100-z, primera autora Carmina Barberena-Jonas; Santiago G. Medina-Muñoz es coautor y Andrés Moreno-Estrada autor sénior. MexVar ofrece 42,769 variantes genotipadas de relevancia biomédica (riesgo/diagnóstico/respuesta); no todas tienen utilidad clínica validada. MXB n=6,011 de 898 localidades/32 estados.	Corregir autoría y separar frecuencia/implicación biomédica de variante clínicamente accionable o beneficio de test.
corpus/reports/Mexican_Population_Genomics__2025-2026_Scientific_and_Market_Opportunity_Update.md	L72,L86,L106	30% de mejora de supervivencia con tratamiento molecular guiado en Theranomics	L72,L86,L106	El propio report declara cifra no verificada/posible confusión con mortalidad oncológica estadounidense o supervivencia pediátrica. No hay ensayo ni estimando de supervivencia localizado.	Excluir de contratos cerrados y proyección medida hasta encontrar estudio clínico, población, comparador y horizonte.
corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	L12,L32	ENCUCI 2020 32.1% atribuido a confianza en «la mayoría de las personas»	L12,L32	FD ENCUCI 2020 P5.1 y C-06b en main: 32.1% se reproduce solo para AP5_1_3 vecinos a corte ≥8/10 (estimado 32.3%, IC95 31.3-33.3). AP5_1_1 mayoría es 21.9% (IC95 21.1-22.7). AP5_1_2 conocidos 62.2% (IC95 61.2-63.3) respalda la cita 62.1%.	Reetiquetar 32.1% como vecinos, no usarlo como confianza generalizada; citar umbral 8-10 y distinguir Pew/WVS.
corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	L4,L10,L53	«Menos de una de cada cuatro personas pertenece a alguna organización» inferido de 23/19/16/11 ENCUCI 2020	L4,L10,L53	FD ENCUCI P6.2 pregunta «Alguna vez en su vida… ha participado» en 13 tipos, no pertenencia actual. La unión de cualquier tipo no está dada por la tasa máxima 23% y requiere microdato/RESULT; P7.3 petición/trabajo son otras conductas vitalicias.	Usar «alguna vez participó» para P6.2 y no afirmar unión <25% ni membresía actual sin reactivo/RESULT propio.
corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	L6,L17,L94	9.5% de quienes no usan internet no sabe usarlo (lectura condicional del report)	L6,L17,L94; INEGI comunicado 57/25 p.2 gráfica 1	9.5 puntos porcentuales de todas las personas 6+ no usaron internet y declararon no saber usarlo; las cinco razones publicadas suman 16.9% de la población 6+, que es el total no usuario. Como proporción de no usuarios equivale aproximadamente a 56.2% por cifras redondeadas, aún sin RESULT propio P7_2=2. El RESULT #1085 P7_2=1/3/4 usa denominador no usuarios y no se compara directamente con 1.6/2.8/1.8 del comunicado.	Descomponer TEC-001 en TEC-001..007 con universos persona/hogar y P7_1/P7_2/P4_4; preservar 9.5 publicado y no llamarlo RESULT. Documento primario https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2025/endutih/ENDUTIH_24.pdf SHA256 e0c61aa10113b1ba15b261633615b9ba2661316729c8a36e237546a723966f81.
corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md	L4,L12,L51	«73 de cada 100 nacidas en el estrato más bajo siguen en pobreza por ingresos» como probabilidad de destino dado origen	CEEY Informe de movilidad social en México 2025 pp.54-56, Figura 19; report L4,L12	El cuerpo del informe define el cálculo como proporción entre personas en pobreza por ingresos actual que provienen del 20% de hogares con menos recursos de origen: P(origen Q1 | pobreza actual)=73% en 2023. El comunicado/resumen CEEY y el report enuncian la condicional inversa P(pobreza actual | origen Q1). El texto y nota de Figura 19 son internamente ambiguos, pero 73% no puede ser la conjunción sobre toda la población cuando pobreza actual es 41%. No contratar la lectura inversa sin tabulado de denominadores o aclaración CEEY.	Reservar el 73% como CONDICIONAMIENTO-DISPUTADO; solicitar tabla/código que fije denominador y universo. Mantener 50% Q1→Q1, 2% Q1→Q5 y 9/63% educativos como estimandos separados.
corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md	L13	13% con padres incluidos financieramente frente a 4% sin inclusión como si fuera comparación de todos los adultos o del mismo Q1 del informe principal	CEEY Informe inclusión financiera 2025 p.36 Figura 11 y nota; report L13	Figura 11 restringe a personas 25–64 con origen en hogares de los grupos 1 y 2 (40% inferior) por tamaño de observaciones, separadas por inclusión financiera parental; n analítica 16 205 del cuestionario básico ESRU-EMOVI 2023. 13%/4% llega al grupo 5; cociente publicado >3, descriptivo y no causal. Es otro dominio de origen que Q1→Q5 2% del informe principal.	Contratar 13% y 4% con origen Q1+Q2, parentalidad, instrumento y n propios; no deduplicar con MER-014 Q1→Q5 ni inferir efecto causal de inclusión.
corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md	L6,L28,L38	«12% de los mexicanos…15%…mayoría corrupción (47%), contactos (27%) y riqueza familiar (14%)» como opinión nacional 2025-26 y 47% corrupción sola	L6,L28,L38	Mijs/Hoy Social Problems 2021, experimento Lexia octubre-diciembre 2017: Tabla 2 solo control mexicano de panel con internet; 12% riqueza talento+esfuerzo, 15% pobreza falta talento+esfuerzo, 27% contactos y 14% familia rica. Tabla 2 «Otros» riqueza 43%, prosa «corrupción y otros» 47%; el 47 no es corrupción sola y la discrepancia interna queda sin contrato. N México 1600 es el experimento completo, no denominador de tabla 2.	MER-019..022 solo para cuatro agregados de Tabla 2; reservar 47 y generalización nacional. DOI 10.1093/socpro/spaa059, versión final PDF SHA 0b94e2a89ffae3753970a7113f4c66b97abe7439ea4c83d41041c11d94310ca9 pp.7-10,17.
corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md	L28,L41	Oxfam 2019: 25.5% blancos/mestizos frente a 8.5% «indígenas» de educación superior y 41.7% indígenas frente a 14.2% blancos/mestizos en «escalón de ingresos» inferior; 50% menos educación superior en mujeres de piel oscura	L28,L41	Informe extenso Oxfam/Colmex 2019 basado en MMSI 2016: Cuadro 7 p.43 define 25.5/8.5 por autoadscripción blanca/mestiza e indígena; hablantes de lengua indígena son otro corte (6.2% frente a 23.1% no hablantes). Cuadro 9 p.53 define 41.7/14.2 como quintil inferior de índice de riqueza de bienes/servicios/activos por autoadscripción, no ingreso monetario. El resumen Oxfam p.13 gráfico 2 mide quintil superior de riqueza por tono/sexo, no educación femenina; 50% de educación permanece sin tabla.	Texto del informe extenso localizado en espejo institucional Edomex, pero copia física falló TLS, sin hash/id: mantener atribución provisional y sin contrato activo. Resumen Oxfam PDF SHA 7a675f32f73cc9ea09a443379148bb54ddbc41e454ffec60c20bb759be835288. Obtener PDF íntegro y verificar Cuadros 7/9 antes de adjudicar.
