unidad	tipo	filas_o_contratos	razon
LECTURA-bbdb2e23-06	F	ASTRA5-U0-SALUD-012;ASTRA5-U0-SALUD-013	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-07	F	ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-015	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-08	F	ASTRA5-U0-SALUD-016;ASTRA5-U0-SALUD-017	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-09	F	ASTRA5-U0-SALUD-018	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-10	F	ASTRA5-U0-SALUD-019;ASTRA5-U0-SALUD-020	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-11	F	ASTRA5-U0-SALUD-021	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-12	F	ASTRA5-U0-SALUD-022;ASTRA5-U0-SALUD-023	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-13	F	ASTRA5-U0-SALUD-024;ASTRA5-U0-SALUD-025	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-14	F	ASTRA5-U0-SALUD-026	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-15	F	ASTRA5-U0-SALUD-027	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
SALUD-INTERNO-01	F		NO-AFIRMACION: auditoría meta — la inversión de marcas (b)/(c) de procedencia frente al glosario §0.1 ya está declarada explícitamente por el propio report en su nota fechada 29/jul/2026 (L54-56); no es una afirmación empírica nueva sobre conducta en México, es una nota de procedencia editorial que U0 tomó en cuenta al llenar procedencia_evidencia de todas las filas.
SALUD-INTERNO-02	F	ASTRA5-U0-SALUD-001;ASTRA5-U0-SALUD-002;ASTRA5-U0-SALUD-003;ASTRA5-U0-SALUD-004;ASTRA5-U0-SALUD-005;ASTRA5-U0-SALUD-006;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-015;ASTRA5-U0-SALUD-030;ASTRA5-U0-SALUD-031;ASTRA5-U0-SALUD-021;ASTRA5-U0-SALUD-034;ASTRA5-U0-SALUD-035;ASTRA5-U0-SALUD-019;ASTRA5-U0-SALUD-020	DEDUP: nota meta sobre los Patrones A-G (impuestos, sellos, farmacias, enfermedad, imagen, drogas); sus componentes cuantitativos y de reactivo ya están cubiertos por las filas listadas.
SALUD-INTERNO-03	F	ASTRA5-U0-SALUD-039	
SALUD-INTERNO-04	F	ASTRA5-U0-SALUD-028;ASTRA5-U0-SALUD-029;ASTRA5-U0-SALUD-030;ASTRA5-U0-SALUD-031;ASTRA5-U0-SALUD-032;ASTRA5-U0-SALUD-033;ASTRA5-U0-SALUD-034;ASTRA5-U0-SALUD-035;ASTRA5-U0-SALUD-036;ASTRA5-U0-SALUD-037;ASTRA5-U0-SALUD-012;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-027;ASTRA5-U0-SALUD-020	DEDUP: nota meta sobre reglas SI-ENTONCES, mitos y vigencia regulatoria (IEPS/NOM/DOF); sus componentes ya están cubiertos por las filas listadas (reglas=028-037, mitos=012/013/027, norma DOF=020).
