# DERIVADO — NO EDITAR (tools/nc_por_clase.py, ACTO GEN2-SENAL-1 · P2)
# universo: 177 filas ABIERTA de 446 en forense/no-corrido.tsv
# `SUCESOR-YA-FUSIONADO` es CANDIDATO: no autoriza cerrar. El cierre exige
# evidencia POR PRODUCTO, una fila a la vez. Nunca en bloque.
# ACTO GEN2-SENAL-1 verifico a mano las 20 candidatas mas probables:
# CERO de las 18 SUCESOR-YA-FUSIONADO resistieron. Ver columna
# `verificado_por_producto_en_senal_1`. El campo `sucesor` NO predice el cierre.
id	fecha	acto_que_la_abrio	pr	clase	que_le_falta	evidencia_derivada	verificado_por_producto_en_senal_1	pieza	que_no_se_corrio	sucesor_declarado
NC-0061	2026-09-08	GEN2-TRAMITE-BANDEJA		BANDEJA-TITULAR	la fila se enruta a una bandeja/titular			P3 (timbre de tandas) + timbre OECD (P6 de ACTO GEN2-CIERRES-GRUPO-A)	el envio fisico de los dos correos ya redactados (OECD a govtrustinfo@oecd.org, tandas a equipo@tandamas.mx)	E09: reutilizar borradores; el operador envia con identidad/cuenta y aporta comprobante || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. Medido hoy:
NC-0070	2026-09-08	GEN2-C0-B	646	ESPERA-ACTO-NOMBRADO	parcial: corrió GEN2-MARCADOR-C0-D-A8-HUECO, GEN2-V2; falta GEN2-B-MARCO, GEN2-MARCADOR-C0-D, GEN2-VIGENCIA-DEUDA-1	GEN2-B-MARCO=NO-CORRIÓ · GEN2-MARCADOR-C0-D=NO-CORRIÓ · GEN2-MARCADOR-C0-D-A8-HUECO=CORRIÓ · GEN2-V2=CORRIÓ · GEN2-VIGENCIA-DEUDA-1=NO-CORRIÓ		P2 -- los CALC de modulacion si P2 llega a correr	ningun CALC de modulacion corrio: P2 entrega las DOS specs congeladas y ninguna cifra, que es lo que T9 exige (spec antes que cifra) y lo que el encargo autoriza explicitamente. Ademas, prereg-caja-S18 declara TRA-M-02 NO-CONSTRUIBLE-SIN-CR	C0-D, o acto sucesor con perimetro de modulacion || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. El acto que el plan define como C0-D (PLAN-FINAL-G
NC-0072	2026-09-08	GEN2-PRIMERA-SILLA		ESPERA-ACTO-NOMBRADO	espera GEN2-C0-D, GEN2-LOTE, GEN2-LOTE-ENCIG-1, GEN2-MARCADOR-C0-D, GEN2-VIGENCIA-DEUDA-1 (encargo EXISTE: GEN2-LOTE-ENCIG-1, GEN2-MARCADOR-C0-D, GEN2-VIGENCIA-DEUDA-1)	GEN2-C0-D=encargo NO-ENCONTRADO · GEN2-LOTE=encargo NO-ENCONTRADO · GEN2-LOTE-ENCIG-1=encargo EXISTE · GEN2-MARCADOR-C0-D=encargo EXISTE · GEN2-VIGENCIA-DEUDA-1=encargo EXISTE		P4 -- la segunda silla y las siguientes	Se escribio UNA cita, la que la derivacion de C0-B S5 dejo documentada, y ninguna mas.	"C0-D (patron de cita ya probado de punta a punta) || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. Medido hoy: `grep -rn ""SELLADA-SIN-ADOPTAR"" tools"
NC-0075	2026-09-09	GEN2-C0-D		ESPERA-ACTO-NOMBRADO	espera GEN2-C0-C, GEN2-MARCADOR-C0-D, GEN2-MOTOR-SEMANTICA, GEN2-MOTOR-Y-HERENCIA-EXPLICITA, GEN2-VIGENCIA-DEUDA-1 (encargo EXISTE: GEN2-MARCADOR-C0-D, GEN2-MOTOR-Y-HERENCIA-EXPLICITA, GEN2-VIGENCIA-DEUDA-1)	GEN2-C0-C=encargo NO-ENCONTRADO · GEN2-MARCADOR-C0-D=encargo EXISTE · GEN2-MOTOR-SEMANTICA=encargo NO-ENCONTRADO · GEN2-MOTOR-Y-HERENCIA-EXPLICITA=encargo EXISTE · GEN2-VIGENCIA-DEUDA-1=encargo EXISTE		P4 -- NC-0024 y NC-0026 CERRADAS con cita	No se cierran. Las dos filas nombran a C0-D como sucesor pero su objeto esta fuera del perimetro que este mismo encargo declara («No toca capturas L, motor M, CALC previos ni sus sellos»).	ACTO C0-C primero (motor y emisor limpios) y despues un acto de marcador por segmento; NC-0024 y NC-0026 siguen ABIERTAS con ese sucesor re-apuntado || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision d
NC-0085	2026-09-09	GEN2-LOTE-ENVIPE-1		SUCESOR-YA-FUSIONADO	acto sucesor GEN2-E11-RES0028-PARTICION-CIERRE tiene nota de cierre	GEN2-E11-RES0028-PARTICION-CIERRE -> 2026-09-15-GEN2-E11-RES0028-PARTICION-cierre.md	NO-RESUELTA · el sucesor es una ficha; la adopción sigue pendiente	P2/P3	adoptar RES-0028 (denuncia_por_otra_razon, 0.705687) con su propio corrida0_resultado_id	forense/notas/2026-09-15-GEN2-E11-RES0028-PARTICION-cierre.md: ficha sucesora con particion/universo reconstruidos y propuesta de uso; adopcion requiere firma posterior
NC-0090	2026-09-09	GEN2-FIRMAS-ADOPCION-1	656	BANDEJA-TITULAR	la fila se enruta a una bandeja/titular			CIERRE	Correspondencia OCDE/tandas	E09: correspondencia y busqueda academica dirigida de OCDE/tandas || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. E–09 (PR #693, GEN2-ADQUISICION-D
NC-0098	2026-09-09	GEN2-R-SERIE-DBF		SUCESOR-YA-FUSIONADO	todas las FP citadas están FIRMADAS; falta verificar el producto	FP-375=FIRMADA	NO-RESUELTA · U4 en las tres olas DBF sigue sin medirse	P1/P2 (estimandos)	medir U4 (unidad PERSONA, ID_PER, FAC_ELE, tper_vic2) en las tres olas DBF	acto que necesite U4 en olas anteriores a 2021; ver NC-0099 para el caso 2012 || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. NC-0099 (el caso 2012
NC-0107	2026-09-09	GEN2-LOTE-ENCIG-1	#664	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			ADOPCION	RES-0009 y RES-0011 (paga_mordida_encig2025_presencial/_digital, rama base CD) quedan SIN cita de adopcion en milpa/tramite.yaml	E04: mantener tasas discrepantes sin adopcion y formular regla prospectiva por unidad si hace falta
NC-0111	2026-09-09	GEN2-LOTE-ENCIG-1	#664	BANDEJA-TITULAR	la fila se enruta a una bandeja/titular			UNIVERSO	El denominador de la familia B no es el universo de tramites, y no es reparable con ENCIG	E04 acota el dato actual; E09 busca una fuente para tasa general || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. Medido hoy: E04 (`ADR-458`, `ACTO 
NC-0120	2026-09-09	GEN2-ADQ-VERIFICACION-CAJA	#718	NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			P1 (politica de recuperacion; unico alcance restante)	observar una recuperacion real de StartWhenAvailable	Observar una perdida real futura si ocurre naturalmente; no reiniciar, suspender ni cambiar el reloj para fabricarla y no volver a encargar la migracion Codex
NC-0136	2026-09-11	GEN2-REACTIVOS-RESIDUALES-BUSQUEDA-UTIL	#742	ESPERA-ACTO-NOMBRADO	espera GEN2-39 (encargo NO-ENCONTRADO)	GEN2-39=encargo NO-ENCONTRADO		P3 (hallazgo ampliado al contestar el gate D-14 de NC-0123)	acreditar las 12875 filas residuales del lote prioritario y cubrir los 81 grupos históricamente ciegos que quedan fuera de ese lote	NC-0136: continuar por 81 grupos históricamente ciegos fuera del lote y por sus residuales acreditables; dentro del lote atender 2642 correspondencias ambiguas, 2679 etiquetas técnicas, 7462 filas auxiliares y 92 preguntas no localizadas
NC-0151	2026-09-10	MESA-CONCILIACION-E01	#693	BANDEJA-TITULAR	la fila se enruta a una bandeja/titular			D17 / FP-314 y accesos pendientes	presentar con identidad y compromisos reales los expedientes tecnicos ya listos de ICPSR 35024, OECD Trust PUM y ENJUVE; recibir acceso o respuesta. Reuters DNR queda diferido por no tener consumidor/reactivo/ano vigente y no se persigue el	titular: completar solo datos personales/contractuales verdaderos, presentar y aportar acuse; receptor tecnico verifica respuesta/bytes antes de cualquier spec o calculo
NC-0153	2026-09-10	GEN2-MOTOR-USOS-Y-COMPLEMENTOS	#695	BANDEJA-TITULAR	la fila se enruta a una bandeja/titular			Fase 4 -- demanda de tasa general ENCIG	presentar a INEGI la solicitud tecnica ya lista sobre el enlace ENCIG 8.5 con NT_TIPO/P7_3 o alternativa nacional evento x canal con negativos, universo y diseno; recibir respuesta	titular presenta por Contacto INEGI; receptor verifica llave/unidad, negativos, universo, ponderacion y diseno antes de congelar calculo
NC-0156	2026-09-10	GEN2-S6-DISENO-Y-ALCANCE-INFERENCIAL		BANDEJA-TITULAR	la fila se enruta a una bandeja/titular			VIA-OFICIAL-DE-VARIANZA	presentar la solicitud combinada ENNViH DIN+S6 y recibir pesos replicados con contrato completo o servicio oficial de varianza para los cuatro estimandos	titular envia con identidad real; al recibir una via operativa, sucesor congela spec en CAJA, verifica cobertura/metodo/df/escala y solo despues calcula
NC-0159	2026-09-11	GEN2-VALIDACION-R-ENVIPE-22	#714	BANDEJA-TITULAR	la fila se enruta a una bandeja/titular			Fase 3 -- acreditar el diseno completo para el uso inferencial	obtener el roster completo de UPM seleccionadas o un servicio oficial de varianza y ejecutar prospectivamente el estimador de dominio con UPM de contribucion cero	Titular de mesa: obtener roster de UPM seleccionadas o servicio oficial de varianza y congelar una spec sucesora antes de recalcular; SIN-ASIGNAR
NC-0161	2026-09-11	GEN2-EVALUACION-SIN-FUGAS	#713	ESPERA-FIRMA	espera FP-374	FP-374=VENCIDA-EN-ALCANCE · FP-380=FIRMADA		Fase 4 B -- Transferencia o generalizacion de M	Diseno de conjunto realmente reservado entregado; piloto y confirmacion no ejecutados.	Mesa resolvio el 15/sep/2026 (D-4): se autoriza preparacion y adquisicion dirigida de familias RETENIDAS con reserva previa, y sacar esta fila de espera es CONSECUENCIA de la lista nominal, no sustituto de ella. La lista existe y es forense
NC-0162	2026-09-11	GEN2-EVALUACION-SIN-FUGAS	#713	ESPERA-FIRMA	espera FP-374	FP-374=VENCIDA-EN-ALCANCE · FP-380=FIRMADA		Evaluacion de un M renovado	Integrar 17 y el snapshot de 18 antes de evaluar un M renovado.	Mesa resolvio el 15/sep/2026 (D-4): se autoriza preparacion y adquisicion dirigida de familias RETENIDAS con reserva previa, y sacar esta fila de espera es CONSECUENCIA de la lista nominal, no sustituto de ella. La lista existe y es forense
NC-0164	2026-09-11	GEN2-N34-DATOS-PRODUCTO-Y-DANO	#734	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			N34 · producto/costo y dano del lado consumidor	estimandos descriptivos/asociativos Banxico y SHED; busqueda con acceso condicionado; cualquier adopcion o inferencia causal nueva	Pre-registrar estimandos Banxico si la mesa los acepta y localizar fuente mexicana con producto BNPL/digital o lender, CAT/tasa/friccion objetiva, dano, negativos y estrategia de identificacion.
NC-0166	2026-09-11	GEN2-N35-PREFERENCIAS-LABORALES-Y-FUENTES	#747	BANDEJA-TITULAR	la fila se enruta a una bandeja/titular			EXPERIMENTO-MEXICANO-PAQUETE-REPRODUCIBLE	obtener Appendix C/cuestionario, asignación de los 64 bloques, microdato anonimizado y código que reproduzca las tablas 2–5 de Do Workers Value Formal Jobs?	Titular de N35: solicitar sin enviar automáticamente Appendix C, bloques, microdato y código; congelar spec sucesora y reproducir antes de proponer una regla DCE
NC-0170	2026-09-14	GEN2-CONCILIACION-TANDA-2	#752	ESPERA-ACTO-NOMBRADO	parcial: corrió GEN2-CONCILIACION-TANDA-2-P3-CENSO; falta GEN2-CONSUMIDO-RETRO-3, GEN2-MANTENIMIENTO-Y-ARCHIVO-2, GEN2-PUBLICACION-POST693-Y-CIERRES, GEN2-R-COMPLETA-MARCO, GEN2-REACTIVOS-CON-TEXTO-Y-BUSQUEDA, GEN2-VIGENCIA-DEUDA-1	GEN2-CONCILIACION-TANDA-2-P3-CENSO=CORRIÓ · GEN2-CONSUMIDO-RETRO-3=NO-CORRIÓ · GEN2-MANTENIMIENTO-Y-ARCHIVO-2=NO-CORRIÓ · GEN2-PUBLICACION-POST693-Y-CIERRES=NO-CORRIÓ · GEN2-R-COMPLETA-MARCO=NO-CORRIÓ · GEN2-REACTIVOS-CON-TEXTO-Y-BUSQUEDA=NO-CORRIÓ · GEN2-VIGENCIA-DEUDA-1=NO-CORRIÓ		P3 (censo de fichaje)	retro-sello de las 18 EXCEPCIONES que P3 encontro: 8 actos GEN2 reales fusionados sin ## CONSUMIDO citando su PR (#680,#682,#701,#719,#726,#728,#737,#739) + 10 PR de entrega [COLA]/[ADQ] sin obligacion propia que fichar	acto de retro-sello que anada ## CONSUMIDO (PR #N) a los 8 encargos reales listados en forense/notas/2026-09-14-GEN2-CONCILIACION-TANDA-2-P3-censo.md; y decision de mesa sobre si [COLA]/[ADQ] se suman como cuarta categoria exenta junto a ce
NC-0185	2026-09-14	GEN2-VERIFICACION-CAJA-2		BANDEJA-TITULAR	la fila se enruta a una bandeja/titular			P3 · «lo que quedó para titular (las AP5_* si aplica, enlazado a la vía de solicitudes existente sin abrir fila gemela)»	obtener de INEGI el texto oficial (pregunta, codigos) de las 7 identidades NO-LOCALIZADA-EN-DESCRIPTOR-OFICIAL: ENVIPE 2015 TPer_Vic1 AP5_3_02, AP5_4_02, AP5_5_02, AP5_6_02, AP5_7_1 (el fd_envipe2015.pdf oficial omite la seccion entre pp. 2	si mesa la firma: expediente hermano en forense/expedientes-acceso/ por la via comprobada del expediente 04-INEGI-ENCIG-NC-0153 (Contacto INEGI, atencion.usuarios@inegi.org.mx); si no la firma, queda como negativo declarado y se cierra con 
NC-0194	2026-09-15	GEN2-SPECS-DEMANDA-1		ESPERA-ACTO-NOMBRADO	espera GEN2-FIRMAS-MESA-2, GEN2-VIGENCIA-DEUDA-1 (encargo EXISTE: GEN2-FIRMAS-MESA-2, GEN2-VIGENCIA-DEUDA-1)	GEN2-FIRMAS-MESA-2=encargo EXISTE · GEN2-VIGENCIA-DEUDA-1=encargo EXISTE		hallazgo de A.15 sobre CORR-0013, no corregido	milpa/tramite.yaml:familia.union.libre y las filas RES-0043/RES-0044 del derivado declaran payload eder_2017_eder2017_bases_csv con clase «ENADID 2023, p3_27_ag»: el payload declarado no produjo el numero	"MESA (decide si la celda ENADID se sucede) + el acto que toque milpa/ || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. Medido hoy: `grep -n ""F-10"" f"
NC-0202	2026-09-15	GEN2-SPECS-DEMANDA-2		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			sonda CORR-0008: verificar candidatas web (doc oficial ENNViH, RAND, ICPSR/openICPSR)	forense/notas/2026-09-15-GEN2-SPECS-DEMANDA-2-sonda-CORR-0008.md	CAJA o una sesion sin este bloqueo de red re-intenta el mismo curl/WebFetch
NC-0210	2026-09-15	GEN2-FIRMAS-MESA-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			P4 · OBJETO 13 -- la mitad de NC-0189 que no cabe en el perimetro	corregir la cifra 0.668937 de milpa/tramite-ola5-propuesta-v0.yaml:2169, que NC-0189 nombraba junto a las dos glosas de tramite.yaml	acto de mantenimiento de milpa/tramite-ola5-propuesta-v0.yaml que reconcilie esa cifra o declare por que se conserva
NC-0212	2026-09-15	GEN2-RELEVO-USOS-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			P1 · acreditar desde la oferta la adopcion de RES-0065	La cita `corrida0_resultado_id: RESULT-ENIF-POB-P-CORTO-NO-TRABAJA-P` existe en `milpa/tramite.yaml` y es coherente, pero NINGUNA spec sellada la declara: `CALC-ENIF-0002` no trae mapa `adopcion*`, ni frase de enlace en `resultados[].unidad	El acto que vuelva a tocar `CALC-ENIF-0002` (capa 2 o sucesion): declarar el enlace; no se reescribe un sellado (E.3)
NC-0213	2026-09-15	GEN2-RELEVO-USOS-1		SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			P1 · corregir la corrida que `CALC-ENVIPE-0001` dice relevar	`etiquetas.demanda_que_releva` de `CALC-ENVIPE-0001` abre con «CORR-0009 -> RES-0027 ... RES-0028», y la corrida natural de RES-0027/RES-0028 es CORR-0007 (ENVIPE2025), no CORR-0009 (ENIF2024) -- verificado en `data/corrida0/demanda-resulta	MESA / el acto que suceda a `CALC-ENVIPE-0001`
NC-0216	2026-09-15	GEN2-RELEVO-USOS-1		ESPERA-ACTO-NOMBRADO	espera GEN2-FIRMAS-MESA-2, GEN2-VIGENCIA-DEUDA-1 (encargo EXISTE: GEN2-FIRMAS-MESA-2, GEN2-VIGENCIA-DEUDA-1)	GEN2-FIRMAS-MESA-2=encargo EXISTE · GEN2-VIGENCIA-DEUDA-1=encargo EXISTE		P1 · resolver los dos veredictos sellados que chocan sobre RES-0035	`CALC-B-0001/RESULT-B-ADOPCION-P3 = NO-ADOPTABLE-POR-GRANO` y `CALC-ENIGH-0001/RESULT-ENIGH-A-ADOPCION = LISTADO-PARA-MESA-REPRODUCE` describen el mismo consumidor (`familia.seguro.volatilidad_ausencia_estado:recibe_remesas`), y el consumid	MESA · decidir cual veredicto gobierna, o declarar que miden estimandos distintos || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. La premisa vencio
NC-0217	2026-09-15	GEN2-RELEVO-USOS-1		SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			P1 · conciliar dos adopciones vigentes con el veredicto sellado que las desautoriza	`RES-0005` (`tramite.mordida.discrecional:solicitud_o_entrega_mordida_encuci2020`) cita a `RESULT-ENCUCI-A-P-CUALQUIERA` con `corrida0_generacion: GEN2`, y el veredicto sellado de su propia corrida es `CALC-ENCUCI-0001/RESULT-ENCUCI-A-ADOPC	MESA · declarar que el veredicto quedo superado por el valor vigente, o retirar la cita. Se resuelve junto con NC-0214 (que criterio de grano gobierna)
NC-0218	2026-09-15	GEN2-INFORME-INTERNO-F5-1		SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			incorpora el sello de D-A cuando exista, sin esperarlo	incorporar al informe el sello de D-A (la comparacion descriptiva de 9 celdas comunes registrada como corrida de registro, D2 de la firma del 15/sep)	ACTO D-A (D2 de la firma de mesa 15/sep/2026): al sellar, §A.3 queda VENCIDA EN ALCANCE y se RE-SELLA contra el universo nuevo -- nunca editando la tabla actual (A.10 corolario 1)
NC-0225	2026-09-15	GEN2-ARCHIVO-LECTURA-F5-1	#794	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			el SEGUNDO documento de Astra (recomendaciones sobre las cinco preguntas de la LECTURA ESTRATEGICA F5 v1.1)	archivar verbatim, con cabecera de procedencia, el texto sobre el que la FIRMA DE MESA del 15/sep se pronuncia en D1-D5	mesa o direccion pega el texto verbatim y un acto de tramite lo commitea en forense/notas/ con cabecera de procedencia y sha256 re-derivado; precedente exacto y ya consumado tres veces: NC-0082, NC-0134 y NC-0219
NC-0228	2026-09-15	GEN2-MANTENIMIENTO-Y-ARCHIVO-2	#795	ESPERA-ACTO-NOMBRADO	espera GEN2-CORRIDA0-CASCADA-POST-682, GEN2-VIGENCIA-DEUDA-1 (encargo EXISTE: GEN2-CORRIDA0-CASCADA-POST-682, GEN2-VIGENCIA-DEUDA-1)	GEN2-CORRIDA0-CASCADA-POST-682=encargo EXISTE · GEN2-VIGENCIA-DEUDA-1=encargo EXISTE		cascada de NC-0199 -- las vistas derivadas que el arreglo pone al dia	re-derivar data/corrida0/corridas.tsv y resultados.tsv para que el campo `estado` de las 6 predecesoras pase de SELLADA a SUPERADO-><id>, que es el efecto que NC-0199 perseguia	acto de cascada en CAJA/Ubuntu con data/raw montada que corra `registro --verifica --escribe` y publique las dos vistas; conviene que absorba tambien NC-0145, que PARA por la misma causa || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DE
NC-0234	2026-09-15	GEN2-PANEL-F6-EXPANSION-1	PENDIENTE	ESPERA-FIRMA	espera FP-374	FP-374=VENCIDA-EN-ALCANCE		objetivo declarado del encargo	llegar a >=6 familias retenidas ejecutables con reserva, o a la lista nominal de 6+12 que exige FP-374	FP-374 (compuerta: la lista nominal) + NC-0230/0227/0228 (los tres pasos documentales que convertirian 3 familias en congelables)
