slot	consumidor	tipo	valor_legacy	consulta_efectiva	emision	prueba	dictamen	siguiente_operacion
RES-0077	milpa/procedencia.yaml:asignados_coeficiente:G4.horizonte_temporal	coeficiente_asignado	-0.2	B_CARGA_FALLBACK_ASIGNADO	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0078	milpa/procedencia.yaml:asignados_coeficiente:G4.sens_estatus	coeficiente_asignado	-0.15	B_CARGA_FALLBACK_ASIGNADO	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0079	milpa/procedencia.yaml:asignados_coeficiente:G5.familismo_obligacion	coeficiente_asignado	'signo negativo o no monotónico — SIN MAGNITUD'	B_CARGA_SIN_MAGNITUD	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0080	milpa/procedencia.yaml:asignados_coeficiente:G5.radio_confianza	coeficiente_asignado	0.15	B_CARGA_FALLBACK_ASIGNADO	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0081	milpa/procedencia.yaml:asignados_coeficiente:G6.deferencia	coeficiente_asignado	0.45	B_CARGA_FALLBACK_ASIGNADO	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0082	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.informal_sin_puente	asignado_probabilidad	[0.74, 0.21, 0.05]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0083	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.con_puente_y_respaldo	asignado_probabilidad	[0.52, 0.33, 0.15]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0084	milpa/procedencia.yaml:asignados_probabilidad:dinero.planeacion.formal_estable	asignado_probabilidad	[0.68, 0.32]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0085	milpa/procedencia.yaml:asignados_probabilidad:dinero.credito.scoring_alternativo	asignado_probabilidad	[0.71, 0.29]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0086	milpa/procedencia.yaml:asignados_probabilidad:dinero.consumo.estatus_mediado_por_credito	asignado_probabilidad	[0.58, 0.42]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0087	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.leve_sin_imss	asignado_probabilidad	[0.66, 0.24, 0.1]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0088	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.grave	asignado_probabilidad	[0.74, 0.26]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0089	milpa/procedencia.yaml:asignados_probabilidad:salud.prevencion.hombre_sin_permiso	asignado_probabilidad	[0.6, 0.4]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0090	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.discrecional	asignado_probabilidad	[0.62, 0.38]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0091	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.con_registro	asignado_probabilidad	[0.88, 0.12]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0092	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.coercitivo	asignado_probabilidad	[0.91, 0.09]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0093	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.util_sin_coercion	asignado_probabilidad	[0.71, 0.29]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0094	milpa/procedencia.yaml:asignados_probabilidad:civico.denuncia.con_seguro	asignado_probabilidad	[0.78, 0.22]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:cargar; milpa/src/motor.py:correr; milpa/src/emisor.py:apagar_generador	NO-HISTORICO-SIN-FIRMA	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0199	milpa/procedencia.yaml:condicionales_confianza_institucional/salud	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0200	milpa/procedencia.yaml:condicionales_confianza_institucional/educación	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0201	milpa/procedencia.yaml:condicionales_confianza_institucional/financiera	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0202	milpa/procedencia.yaml:condicionales_confianza_institucional/seguridad-FFAA	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0203	milpa/procedencia.yaml:condicionales_confianza_institucional/justicia-policía	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0204	milpa/procedencia.yaml:condicionales_confianza_institucional/electoral-partidos	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0205	milpa/procedencia.yaml:condicionales_escalares/radio_confianza	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0206	milpa/procedencia.yaml:condicionales_escalares/familismo_apoyo	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0207	milpa/procedencia.yaml:condicionales_escalares_confianza_generica/confianza_institucional_generico_servidores_publicos	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0208	milpa/procedencia.yaml:condicionales_escalares_exposicion_violencia/exposicion_violencia	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0209	milpa/procedencia.yaml:condicionales_escalares_medido_nacional/norma_de_género	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0210	milpa/procedencia.yaml:condicionales_escalares_medido_nacional/obligación_medida	condicional_theta	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	NO-EMITE-MAGNITUD-E0	milpa/src/procedencia.py:consumibles; milpa/src/theta.py:valor; milpa/src/motor.py:correr	NO-HISTORICO-SIN-FIRMA	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
