necesidad_id	fuente_canonica	evidencia_id	estado_anterior	estado_propuesto	evidencia_explicita	razon	reserva_incertidumbre	requiere_decision_humana
N4	GPS	OE-beccef6f2f8cbed3a574285d	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N5	ENNVIH	OE-2914da93c77f7bde435ccf41	CANDIDATA	CANDIDATA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N5	ENSAFI	OE-898b66368975b11d6bcfe283	CANDIDATA	CANDIDATA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N5	FABLE	OE-ac614a08b177265f004c266d	CANDIDATA	CANDIDATA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N5	FINANZAS	OE-6307d64ad71090b293815f82	CANDIDATA	CANDIDATA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N5	GPS	OE-c06b564e1c2bf918fe1e6268	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N6	ENSAFI	OE-5d1bf835879d99d69783ca1a	CANDIDATA	CANDIDATA	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L3;MAIN:data/mapa-ext-general-2026-08-06.tsv; apertura=SIN_APERTURA_EXPLICITA; indicio=Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N6	FINANZAS	OE-970f5d310c82d233016d272d	CANDIDATA	CANDIDATA	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/mapa-ext-general-2026-08-06.tsv;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N6	GPS	OE-b8aa8e44f3c2ce01baa1541e	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N8	VOTAR_ENTRE_BALAS	OE-b2462eff969c4d5cf7746ad9	CANDIDATA	CANDIDATA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N10	ENBIARE	OE-2fe858bc2d40961f19d128d9	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L25: PA6: 'A6. Segun su percepcion, ¿en que escalon diria usted que va a estar dentro de cinco anios?' (escalera 0-10, 0='la peor vida posible', 10='la mejor vida posible'). PA3_08: 'A3. ¿Que tan satisfecho esta con sus perspectivas a futuro?' (0-10)	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N10	ENSAFI	OE-db7311a506e4693d7feeee76	CANDIDATA	CANDIDATA	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L4;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Horizonte temporal coobservado con violencia/justicia en el mismo instrumento.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N10	ENSAFI	OE-3cab085c2ad926180dcdd8b7	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L4: [SIN TEXTO -- mismo caso que IMPULSIVID; nombre de columna derivada sin pregunta documentada]	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N11	ENSAFI	OE-7e0c0905485bec2d765c6f6d	CANDIDATA	CANDIDATA	MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L2;MAIN:forense/encargos/2026-08-07-abrir-4.md;MAIN:forense/hitoE-campana-medicion-v2_0.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Sensibilidad de estatus coobservada con desenlace de violencia/justicia.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N12	ENBIARE	OE-d6e6a5ca635618c4404ea4e8	CONFIRMADA	CONFIRMADA	MAIN:data/abrir4-variables-2026-08-08.tsv:L26: 'B2. En caso de que se le presente una urgencia o necesidad, ¿considera usted que siempre contara con la ayuda de personas de su familia?' (codigos: 1=Si, 2=No, 3=No tiene familia)	La apertura local aporta reactivo o variables explícitas que satisfacen esta relación específica.	Ninguna material para la clasificación; conservar límites de diseño consignados en la fila de origen.	NO
N12	ENSAFI	OE-546cf24d0efb616e6df36902	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Apoyo familiar no circular, coobservado con conducta de seguro/afrontamiento ante ausencia estatal.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N12	ENSAFI	OE-e7969017eea0c50fe8d10a7e	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L5: —	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N13	ENBIARE	OE-39d2eb9994c3ef05c686095e	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L27: —	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N13	ENSAFI	OE-b82cd53df63bf1a736b8b985	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Obligación familiar explícita coobservada con conducta real de cuidado.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N13	ENSAFI	OE-e7969017eea0c50fe8d10a7e	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L6: —	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N14	02-	OE-2a65c4b42b26b46a976631ac	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N14	ENBIARE	OE-727e5843ca70dc0b203846f3	CONFIRMADA	CONFIRMADA	MAIN:data/abrir4-variables-2026-08-08.tsv:L28: PB1_01: 'B1. En general, ¿cuanto confia en la mayoria de la gente...' PB1_02: 'B1. En general, ¿cuanto confia en la gente que usted [conoce]...' (escala 0-10, 0='nada en absoluto', 10='completamente'). PF1_1: 'F1. En los ultimos 12 meses, ¿usted o alguien en su hogar tuvo que pedir prestado para pagar alimentos o despensa?' (Si/No), mas PF1_2..6 (renta, agua, luz/gas/telefono, colegiaturas, medicinas)	La apertura local aporta reactivo o variables explícitas que satisfacen esta relación específica.	Ninguna material para la clasificación; conservar límites de diseño consignados en la fila de origen.	NO
N14	ENSAFI	OE-c3483fc22a961f82b3e8dc07	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N14	ENSAFI	OE-dff892093b2ffd61e32c03f3	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L7: [SIN TEXTO -- mismo caso; nombre de columna derivada sugiere 'confianza financiera', sin pregunta documentada]	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N14	FINANZAS	OE-8b29fa956cf1685100bd55ee	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N15	GPS	OE-347368c67834a72a5add527d	CANDIDATA	CANDIDATA	MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Proxy de deferencia con diseño publicado y desenlace laboral/comunicacional en la misma muestra.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N17	ENSAFI	OE-a13725c982c703ffc6b3e2aa	CANDIDATA	CANDIDATA	MAIN:AGENTS.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N17	GDELT	OE-4c346beb2b73477c2e0ad4f2	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L8; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N17	GDELT	OE-7895b99728673e79c14c8870	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35; apertura=CANDIDATA; indicio=CANDIDATA	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N17	GPS	OE-93ebba143d4c6d070fb911ce	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N17	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-cc29c4ba6e48f5510aee5877	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L15; apertura=SATISFACE-UMBRAL-DOCUMENTAL; indicio=SATISFACE-UMBRAL-DOCUMENTAL	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N17	MASS_MOBILIZATION_PROTEST_DATA	OE-f6f64575493127412ebb0cf9	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L9; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N18	IMSS	OE-a16637199914a6515d84d63e	CANDIDATA	CANDIDATA	MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md;MAIN:forense/cobertura-motor.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Evasión por sanción creíble × utilidad percibida, separando subsistencia y cinismo de clase alta.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N19	AHORRO FINANCIERO Y FINANCIAMI	OE-9b4d021444b78bf40c9878b9	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L37; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N19	BDIF	OE-3a26c30b380d433254ad2e91	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L39; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N19	FINANZAS	OE-3def9164ef114d267e5fb6ac	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md;MAIN:corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Tasas por institución/segmento de adopción y rechazo sin historial.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N19	PI	OE-bbfe0ee94abe5623f3a73de8	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L110; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N22	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-5f0201a5ea6cf5b6386b6888	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L13; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N22	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-f649c924fc01b9473539639c	NEGATIVA	NEGATIVA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L36: MAPEADO-NO-SATISFACE	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N23	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-ef2b51cb3bafa5193a80ba9a	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L13; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N23	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-f4432225e4b6c3ba89020e8a	NEGATIVA	NEGATIVA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L36: MAPEADO-NO-SATISFACE	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N25	ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	OE-4b45123490a5aa18fc9c597f	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L21; apertura=CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL; indicio=CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N25	INE	OE-629ec191998ec508c83fae05	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L97; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N26	INE	OE-6487bac05f4bf89b84d72e68	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L97; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
