ola	payload_id	reactivo	fuente_texto	texto	escala_y_no_respuesta	modo_poblacion_diseno	dictamen	medicion
2021	mex_2021_lapop_americasbarometer_v1_2_w	eff2	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	AUSENTE	NO-MEDIBLE
2019	mexico_lapop_americasbarometer_2019_v1_0_w	eff2	abmex18_v12_0_2_5_spa_190207_w	Usted siente que entiende bien los asuntos políticos más importantes del país	1-7 acuerdo	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2019-0002
2023	mex_2023_lapop_americasbarometer_v1_0_w	eff2	lapop_abmex2023_cuestionario_mexico C.O.X.SW sin muestra dividida	Usted siente que entiende bien los asuntos políticos más importantes del país	1-7 acuerdo	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2023-0001
2004	642348348mexico_2004_export_version	pol1	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	AUSENTE	NO-MEDIBLE
2021	mex_2021_lapop_americasbarometer_v1_2_w	pol1	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	AUSENTE	NO-MEDIBLE
2006	518939279mexico_lapop_final_2006_data_set_092906	pol1	etiqueta de variable del .dta	¿Qué tanto interés tiene usted en la política: mucho, algo, poco o nada?	1-4; 8 NS	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	EQUIVALENTE-CON-RESERVA-DOCUMENTAL	CALC-LAPOP-PISOS-2006-0001
2019	mexico_lapop_americasbarometer_2019_v1_0_w	pol1	abmex18_v12_0_2_5_spa_190207_w	¿Qué tanto interés tiene usted en la política: mucho, algo, poco o nada?	1-4	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2019-0002
2023	mex_2023_lapop_americasbarometer_v1_0_w	pol1	lapop_abmex2023_cuestionario_mexico C.O.X.SW	¿Qué tanto interés tiene usted en la política: mucho, algo, poco o nada?	1-4	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2023-0001
2004	642348348mexico_2004_export_version	d1	1671516622cam_mexico_questionnaire_2004 §D (Anotar 1-10, NS=88)	críticos de la forma de gobierno: votar/manifestarse/postularse/discurso en TV	1-10; 88 NS	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	EQUIVALENTE-CON-RESERVA-TEXTO (D1: «la forma de gobierno» vs «sistema de gobierno»)	CALC-LAPOP-PISOS-2004-0001
2006	518939279mexico_lapop_final_2006_data_set_092906	d1	etiqueta de variable del .dta	mismo objeto que 2004 por etiqueta	1-10; 88 NS	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	EQUIVALENTE-CON-RESERVA-DOCUMENTAL	CALC-LAPOP-PISOS-2006-0001
2019	mexico_lapop_americasbarometer_2019_v1_0_w	d1	abmex18_v12_0_2_5_spa_190207_w §D	críticos del sistema de gobierno: votar/manifestarse/postularse/discurso en TV	1-10	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2019-0002
2021	mex_2021_lapop_americasbarometer_v1_2_w	d1	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	AUSENTE	NO-MEDIBLE
2023	mex_2023_lapop_americasbarometer_v1_0_w	d1	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	AUSENTE (el índice D1-D4 no es construible en 2023)	NO-MEDIBLE
2004	642348348mexico_2004_export_version	d2	1671516622cam_mexico_questionnaire_2004 §D (Anotar 1-10, NS=88)	críticos de la forma de gobierno: votar/manifestarse/postularse/discurso en TV	1-10; 88 NS	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	EQUIVALENTE-CON-RESERVA-TEXTO (D1: «la forma de gobierno» vs «sistema de gobierno»)	CALC-LAPOP-PISOS-2004-0001
2006	518939279mexico_lapop_final_2006_data_set_092906	d2	etiqueta de variable del .dta	mismo objeto que 2004 por etiqueta	1-10; 88 NS	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	EQUIVALENTE-CON-RESERVA-DOCUMENTAL	CALC-LAPOP-PISOS-2006-0001
2019	mexico_lapop_americasbarometer_2019_v1_0_w	d2	abmex18_v12_0_2_5_spa_190207_w §D	críticos del sistema de gobierno: votar/manifestarse/postularse/discurso en TV	1-10	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2019-0002
2021	mex_2021_lapop_americasbarometer_v1_2_w	d2	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	AUSENTE	NO-MEDIBLE
2023	mex_2023_lapop_americasbarometer_v1_0_w	d2	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	AUSENTE (el índice D1-D4 no es construible en 2023)	NO-MEDIBLE
2004	642348348mexico_2004_export_version	d3	1671516622cam_mexico_questionnaire_2004 §D (Anotar 1-10, NS=88)	críticos de la forma de gobierno: votar/manifestarse/postularse/discurso en TV	1-10; 88 NS	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	EQUIVALENTE-CON-RESERVA-TEXTO (D1: «la forma de gobierno» vs «sistema de gobierno»)	CALC-LAPOP-PISOS-2004-0001
2006	518939279mexico_lapop_final_2006_data_set_092906	d3	etiqueta de variable del .dta	mismo objeto que 2004 por etiqueta	1-10; 88 NS	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	EQUIVALENTE-CON-RESERVA-DOCUMENTAL	CALC-LAPOP-PISOS-2006-0001
2019	mexico_lapop_americasbarometer_2019_v1_0_w	d3	abmex18_v12_0_2_5_spa_190207_w §D	críticos del sistema de gobierno: votar/manifestarse/postularse/discurso en TV	1-10	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2019-0002
2021	mex_2021_lapop_americasbarometer_v1_2_w	d3	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	AUSENTE	NO-MEDIBLE
2023	mex_2023_lapop_americasbarometer_v1_0_w	d3	lapop_abmex2023_cuestionario_mexico C.O.X.SW; lead-in reescrito antes de D3	postularse / discurso en TV	1-10	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	EQUIVALENTE-CON-RESERVA-ORDEN (sin D1-D2 previos)	CALC-LAPOP-PISOS-2023-0001
2004	642348348mexico_2004_export_version	d4	1671516622cam_mexico_questionnaire_2004 §D (Anotar 1-10, NS=88)	críticos de la forma de gobierno: votar/manifestarse/postularse/discurso en TV	1-10; 88 NS	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	EQUIVALENTE-CON-RESERVA-TEXTO (D1: «la forma de gobierno» vs «sistema de gobierno»)	CALC-LAPOP-PISOS-2004-0001
2006	518939279mexico_lapop_final_2006_data_set_092906	d4	etiqueta de variable del .dta	mismo objeto que 2004 por etiqueta	1-10; 88 NS	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	EQUIVALENTE-CON-RESERVA-DOCUMENTAL	CALC-LAPOP-PISOS-2006-0001
2019	mexico_lapop_americasbarometer_2019_v1_0_w	d4	abmex18_v12_0_2_5_spa_190207_w §D	críticos del sistema de gobierno: votar/manifestarse/postularse/discurso en TV	1-10	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2019-0002
2021	mex_2021_lapop_americasbarometer_v1_2_w	d4	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	AUSENTE	NO-MEDIBLE
2023	mex_2023_lapop_americasbarometer_v1_0_w	d4	lapop_abmex2023_cuestionario_mexico C.O.X.SW; lead-in reescrito antes de D3	postularse / discurso en TV	1-10	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	EQUIVALENTE-CON-RESERVA-ORDEN (sin D1-D2 previos)	CALC-LAPOP-PISOS-2023-0001
2004	642348348mexico_2004_export_version	clien1na	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	AUSENTE	NO-MEDIBLE
2004	642348348mexico_2004_export_version	clien1n	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	AUSENTE	NO-MEDIBLE
2006	518939279mexico_lapop_final_2006_data_set_092906	clien1na	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	AUSENTE	NO-MEDIBLE
2006	518939279mexico_lapop_final_2006_data_set_092906	clien1n	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	AUSENTE	NO-MEDIBLE
2021	mex_2021_lapop_americasbarometer_v1_2_w	clien1na	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	AUSENTE	NO-MEDIBLE
2021	mex_2021_lapop_americasbarometer_v1_2_w	clien1n	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	AUSENTE	NO-MEDIBLE
2023	mex_2023_lapop_americasbarometer_v1_0_w	clien1na	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	AUSENTE	NO-MEDIBLE
2023	mex_2023_lapop_americasbarometer_v1_0_w	clien1n	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	AUSENTE	NO-MEDIBLE
2019	mexico_lapop_americasbarometer_2019_v1_0_w	clien1na	abmex18_v12_0_2_5_spa_190207_w	¿alguien le ofreció a usted un favor, regalo o beneficio a cambio de su voto? (presidencial 2018)	1-2	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	OBJETO-UNICO-SIN-SERIE	CALC-LAPOP-PISOS-2019-0001 (sellado #1084)
2019	mexico_lapop_americasbarometer_2019_v1_0_w	clien1n	abmex18_v12_0_2_5_spa_190207_w	¿algún candidato o alguien de un partido le ofreció un favor, regalo u otro beneficio a alguna persona que usted conoce…?	1-2	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	OBJETO-UNICO-SIN-SERIE; tercero conocido, no la persona	CALC-LAPOP-PISOS-2019-0002
2017	final_dataset_mexico_earthquake	TODOS	reporte ACTO MAESTRA38-A4	muestra especial post-sismo 2017	NO-APLICA	muestra especial, no nacional	EXCLUIDA-MUESTRA-ESPECIAL (no se mezcla con olas nacionales)	NO-MEDIBLE
2008-2017	NO-REGISTRADO-EN-MANIFIESTO	TODOS	forense/censo-raiz/2026-09-23.txt sin archivos LAPOP 2008-2017	NO-APLICA	NO-APLICA	NO-APLICA	SIN-PAYLOAD-EN-RAIZ; no se pide descarga en este acto	NO-MEDIBLE
2006/2023	1008973606mexico_lapop_final_2006_data_set_092906; mex_2023_lapop_americasbarometer_v1_0_w_2	TODOS	manifiesto	formato duplicado .sav	NO-APLICA	NO-APLICA	DUPLICADO-DE-FORMATO; se usa el .dta	NO-MEDIBLE
2004-2023	varios	b12 b13 b21a b32 b47a cp8 cp13 np1 prot3 vb2	dictamen de este acto	otras confianzas institucionales y participación	NO-APLICA	NO-APLICA	FUERA-DE-CONTRATO: POL-001 contrata sólo B18/B21; el encargo lista interés/eficacia/confianza/tolerancia/oferta	NO-MEDIBLE
