relacion_id	necesidad_id	fuente_canonica_normalizada	objeto_evidencia_id_canonico	objeto_modelo_origen	objetos_modelo_permitidos	universo_declarado	universo_adquirido	universo_inspeccionado	universo_semantico	universo_productivo	estado_evidencia	adjudicacion_semantica	capacidad_productiva	clasificacion_relacion_legacy	estado_productivo_legacy	activo_id_vinculado	reporte_inspeccion_ref	regla_derivacion	reserva	destino_procesamiento
REL-0d9c76a2adedc9b9f59984cc	N17	GDELT	OE-7895b99728673e79c14c8870	NO_DETERMINADO	tramite.gobierno_digital.coercitivo;tramite.gobierno_digital.util_sin_coercion	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-0e3c2a3a6afd1dae2297740e	N21	PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	OE-3f3621b9740c3f71eda9405e	R1.4	R1.4	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-0fc632a7b102c3b39b2f540c	N27	GDELT	OE-85252fcf9e78c194cb0179e1	NO_DETERMINADO	R7.4;R7.5	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-107500c8d4873fe4d05bb8e3	N27	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OE-8ea8d18a90b95bcb481273e3	NO_DETERMINADO	R7.4;R7.5	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-10b7203dd243231cb3602e47	N17	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-cc29c4ba6e48f5510aee5877	NO_DETERMINADO	tramite.gobierno_digital.coercitivo;tramite.gobierno_digital.util_sin_coercion	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-12b348704acbcdd4b811185b	N11	ENSAFI	OE-7e0c0905485bec2d765c6f6d	G4.sens_estatus	G4.sens_estatus	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-12f0d41801fa7f161510f61e	N26	ENIF	OE-bf0460662dfd327f8155a915	R7.3	R7.3	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-1615b74be40e6ab0847b8997	N19	FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	OE-b46de44944aa4c2843879525	NO_DETERMINADO	dinero.ahorro.con_puente_y_respaldo;dinero.credito.scoring_alternativo	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	NO_ACCESIBLE	CANDIDATA	SIN_RUTA_VIABLE_ACTUAL	NO_ACCESIBLE	BLOQUEADA_ACCESO	NO_DETERMINADO	NO_DETERMINADO	legacy NO_ACCESIBLE preservado;acceso bloqueado explícitamente; no se convierte en negativa	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	BLOQUEO_ACCESO_PRESERVADO
REL-162b116abdb2212886430f08	N25	CSES	OE-cedf8cc675c79d950d6148cf	R7.1	R7.1	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-1677b0003626a1bd5bf971cb	N18	ENIGH	OE-908664732583bf99e4d0527e	tramite.evasion_norma	tramite.evasion_norma	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-16d3c66af7fc856df2130139	N10	ENFIH	OE-9b56ce01d359ba88ae40d6b7	G4.horizonte_temporal	G4.horizonte_temporal	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	MECANISMO_NO_EJECUTADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	sin mecanismo exacto ejecutado;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-1867600f55b362380e728c4a	N17	SERIES_SPEI_CODI_BANXICO	OE-d894d788fed5b863de54b79b	NO_DETERMINADO	tramite.gobierno_digital.coercitivo;tramite.gobierno_digital.util_sin_coercion	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-188d16a18481261d7560a9b7	N13	ENFIH	OE-2964c990369bf5a4d703494c	G5.familismo_obligacion	G5.familismo_obligacion	SI	SI	SI	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	ACT-74bf3091ec67b1696fbb9c72	RINS-bd965712738f58c527c4fbf0	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-18976f4767e5da3c5e572877	N6	FINANZAS	OE-970f5d310c82d233016d272d	G3.aversion_riesgo	G3.aversion_riesgo	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-1d4ea097a836307f28dd2f49	N30	ENCOAP	OE-f6187f98195ede5827d421f1	R8.3	R8.3	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	ABIERTO_SIN_MAPEO	CANDIDATA	REQUIERE_ANALISIS	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	estado explícito de apertura;contenido abierto requiere especificación/análisis	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-1d6e18e7da44240f81a662bb	N27	ACLED	OE-003dc708d74f1d4bbd5c1ad5	NO_DETERMINADO	R7.4;R7.5	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	NO_ACCESIBLE	CANDIDATA	SIN_RUTA_VIABLE_ACTUAL	NO_ACCESIBLE	BLOQUEADA_ACCESO	NO_DETERMINADO	NO_DETERMINADO	legacy NO_ACCESIBLE preservado;acceso bloqueado explícitamente; no se convierte en negativa	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	BLOQUEO_ACCESO_PRESERVADO
REL-1d9d402e2e1aa77c9c01cb5f	N17	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	OE-5b938f5f2dc363679c70c162	NO_DETERMINADO	tramite.gobierno_digital.coercitivo;tramite.gobierno_digital.util_sin_coercion	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-20c9e9445e7c52770b6c3b10	N25	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	OE-c8e117825dd360967c8a01a5	R7.1	R7.1	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-21e914d37dac786386bf91dc	N5	FINANZAS	OE-6307d64ad71090b293815f82	G3.horizonte_temporal	G3.horizonte_temporal	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-2230c5027c1ce5589c32d9b0	N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	OE-0139b3dc528f6df3fe1811a0	G3.horizonte_temporal	G3.horizonte_temporal	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-235427b4ebd4727b5ccdeb98	N26	REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	OE-2b73e90cfd63a421f32db102	R7.3	R7.3	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-24f384a417a2151e1245fc59	N14	ENFIH	OE-2964c990369bf5a4d703494c	G5.radio_confianza	G5.radio_confianza	SI	SI	SI	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	ACT-74bf3091ec67b1696fbb9c72	RINS-bd965712738f58c527c4fbf0	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-266bee2fbe5407b7fb6975a7	N22	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-f649c924fc01b9473539639c	R2.1	R2.1	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	NO_DETERMINADO	NO_DETERMINADO	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-2a1cc2aeaa3a0d0f5e1e49d2	N27	UCDP	OE-12db61ac071539c534e80fed	NO_DETERMINADO	R7.4;R7.5	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-2adcd6ed4c07f8e62b647f1d	N10	ENFIH	OE-6612a8e9ebcfd24252267f55	G4.horizonte_temporal	G4.horizonte_temporal	SI	SI	SI	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	ACT-74bf3091ec67b1696fbb9c72	RINS-bd965712738f58c527c4fbf0	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-2d35060cfdd2db498089f7c9	N3	ENASIC	OE-1c70ead5028c06104fac398b	G2.sens_estatus	G2.sens_estatus	SI	SI	SI	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	ACT-5c3ec815e501b415d50abbea	RINS-35672cd7db9077ed5fb2b878	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-2d58abfc1b418484af3f2f7d	N17	ENFIH	OE-fa212ce30e2252b97058dc83	NO_DETERMINADO	tramite.gobierno_digital.coercitivo;tramite.gobierno_digital.util_sin_coercion	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-2dcacf02f67355e96eac10d7	N21	HOMESCAN_CONSUMER_PANEL_SERVICES	OE-2e8cc214b36ef7093c5c582b	R1.4	R1.4	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	NO_ACCESIBLE	CANDIDATA	SIN_RUTA_VIABLE_ACTUAL	NO_ACCESIBLE	BLOQUEADA_ACCESO	NO_DETERMINADO	NO_DETERMINADO	legacy NO_ACCESIBLE preservado;acceso bloqueado explícitamente; no se convierte en negativa	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	BLOQUEO_ACCESO_PRESERVADO
REL-2eef8210b247afc4541e0307	N13	ENSAFI	OE-e7969017eea0c50fe8d10a7e	G5.familismo_obligacion	G5.familismo_obligacion	SI	SI	SI	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	ACT-a5b1ba06474f0809ac967843	RINS-e6b455f723e30e199e5ab6b6	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-2fab7f66a0e6963788542b3a	N30	ENCOAP	OE-afbccf1f7b1758eeb190c954	R8.3	R8.3	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-2fbf749b083e578d4462b842	N14	FINANZAS	OE-8b29fa956cf1685100bd55ee	G5.radio_confianza	G5.radio_confianza	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
