relacion_id	necesidad_id	fuente_canonica_normalizada	objeto_evidencia_id_canonico	fuente_nombre	tipo_fuente	id_manifiesto	sha256_fuente	capa1_universo_indexado	capa2_manifiesto	capa3_disco_real	capa4_apertura_mapeo	clasificacion_relacion	reason_code	evidencia_ref	evidencia_textual_breve	confianza	conflicto_material	nota
REL-0a4bbf31b54c5ce3565ba753	N26	PUB	OE-c1b02a844fc80c9293323757	Padrón Único de Beneficiarios de Bienestar	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO		CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L112	NO_DETERMINADO	MEDIA	NO	Escala/diseño/universo:
REL-0b0dac8dd04b5f25133518f8	N29	FINANZAS	OE-d644fa49bac078e3b0ce67b3	finanzas	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	Usuario/tanda con participación, cumplimiento, incumplimiento y reputación.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica. [ENLACE-2 2026-08-14] NO_REFERENCIADO. canon/integrador-psicologia-mexicano.md:116 confirma la existencia de tandas como infraestructura de cooperacion, no participacion, cumplimiento ni reputacion medidos en un instrumento FINANZAS identificable.
REL-0b6385436015c470992017f1	N13	ENSAFI	OE-b82cd53df63bf1a736b8b985	Encuesta Nacional sobre Salud Financiera	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md	Obligación familiar explícita coobservada con conducta real de cuidado.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
REL-0c03e53054567fc014b50bc0	N8	ENVIPE	OE-5e7583b82a9bd409ff3de7f4	Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública	FUENTE_CANDIDATA	envipe2025_csv	8a7a99fd90ce9d03229759ba0ad84db4fba98b5bb1f5c85eef7d718b007816fa	SI	SI	EXISTE;COINCIDE;INTEGRO	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica. [ENLACE-2 2026-08-14] SI, con defecto de cita declarado. Objeto AP7_3_10..14 (nucleo de exposicion a violencia, TPer_Vic2): la linea que cita evidencias.tsv (matriz-impacto-universal:82) NO lo contiene -- habla de BP1_23. El objeto si esta en :96 del mismo expediente y en canon/modelo-decision-v4_0.md:270. El anio lo fija forense/censo-estimabilidad-coeficientes-v1_0.md:72 (ENVIPE 2025, TPer_Vic2). El payload abierto es envipe2025_csv (nota del 4/ago, sha256 8a7a99fd, TPer_Vic2 contado ahi).
REL-0ccb1f487408f4999004b321	N24	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	OE-eddca7ca14da62ef97c9048e	Reporte sobre uso y confianza de Servicios Financieros Digitales	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L4	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo:
REL-0d9c76a2adedc9b9f59984cc	N17	GDELT	OE-7895b99728673e79c14c8870	GDELT 2.0	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	CANDIDATA	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	CANDIDATA	MEDIA	NO	Escala/diseño/universo:
REL-0e3c2a3a6afd1dae2297740e	N21	PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	OE-3f3621b9740c3f71eda9405e	Price and Information Type in Life Microinsurance Demand	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L19	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo:
REL-0fc632a7b102c3b39b2f540c	N27	GDELT	OE-85252fcf9e78c194cb0179e1	GDELT 2.0	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	CANDIDATA	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	CANDIDATA	MEDIA	NO	Escala/diseño/universo:
REL-107500c8d4873fe4d05bb8e3	N27	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OE-8ea8d18a90b95bcb481273e3	Mass Mobilization Protest Data, México	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo:
REL-10b7203dd243231cb3602e47	N17	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-cc29c4ba6e48f5510aee5877	Interacting as equals reduces partisan polarization in Mexico	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	SATISFACE-UMBRAL-DOCUMENTAL	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L15	SATISFACE-UMBRAL-DOCUMENTAL	MEDIA	NO	Escala/diseño/universo:
REL-12b348704acbcdd4b811185b	N11	ENSAFI	OE-7e0c0905485bec2d765c6f6d	Encuesta Nacional sobre Salud Financiera	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L2;MAIN:forense/encargos/2026-08-07-abrir-4.md;MAIN:forense/hitoE-campana-medicion-v2_0.md	Sensibilidad de estatus coobservada con desenlace de violencia/justicia.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica. [ENLACE-2 2026-08-14] NO_REFERENCIADO. abrir4-variables:L2, la unica linea de sens_estatus para ENSAFI en el archivo citado, trae variable_encontrada vacia y clasificacion_a4 NO-ENCONTRADO.
REL-12f0d41801fa7f161510f61e	N26	ENIF	OE-bf0460662dfd327f8155a915	Encuesta Nacional de Inclusión Financiera	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/glosario-v5_6.md;MAIN:corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md;MAIN:data/censo-raices-2026-08-06.tsv;MAIN:data/cola-aperturas-externas-2026-08-06.tsv	Efecto electoral alrededor del umbral de elegibilidad, independiente de aprobación presidencial.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica. [ENLACE-2 2026-08-14] NO_REFERENCIADO. N26 pide efecto electoral alrededor del umbral de elegibilidad; el rango citado (hitoE 999-1116) documenta de ENIF familismo y horizonte de ahorro, ningun diseno de discontinuidad.
REL-1615b74be40e6ab0847b8997	N19	FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	OE-b46de44944aa4c2843879525	FinTech Lending to Borrowers with No Credit History	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ACCESIBLE	NO_ACCESIBLE	APERTURA_NO_ACCESIBLE	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L32	NO-ACCESIBLE	ALTA	NO	Escala/diseño/universo:
REL-162b116abdb2212886430f08	N25	CSES	OE-cedf8cc675c79d950d6148cf	CSES Module 5 México 2018	FUENTE_DATOS	cses5_modulo5_2016_2021_cuestionario	d4deba9a038639871db1625158ef437fe476a3f8b2a0edc5a8041347528abc6c	SI	SI	EXISTE;COINCIDE;INTEGRO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	INDEXADO-NO-DESCARGADO	MEDIA	NO	"Escala/diseño/universo: Caveat (ACTO ENLACE-1): el manifiesto declara cobertura de Mexico ""NO verificada en esta sesion"" para el CSV pooled de CSES Modulo 5 -- verificacion pendiente, no ausencia confirmada. Ver forense/notas/2026-08-13-enlace1-commit1-reglas-mapeo.md S4."
REL-1677b0003626a1bd5bf971cb	N18	ENIGH	OE-908664732583bf99e4d0527e	Encuesta Nacional de Ingresos y Gastos de los Hogares	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md;MAIN:forense/cobertura-motor.md	Evasión por sanción creíble × utilidad percibida, separando subsistencia y cinismo de clase alta.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica. [ENLACE-2 2026-08-14] NO_REFERENCIADO. data/mapa-fuentes-2026-08-06.tsv:L3 trae ENIGH con estado_cobertura EN-DISCO-NO-CUBRE, que es el propio evidencia_localizador de la fila: en disco, no cubre evasion por sancion x utilidad.
REL-16d3c66af7fc856df2130139	N10	ENFIH	OE-9b56ce01d359ba88ae40d6b7	Encuesta Nacional sobre las Finanzas de los Hogares	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L11;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	Horizonte temporal coobservado con violencia/justicia en el mismo instrumento.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
REL-1867600f55b362380e728c4a	N17	SERIES_SPEI_CODI_BANXICO	OE-d894d788fed5b863de54b79b	Series SPEI/CoDi (Banxico)	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO		CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L135	NO_DETERMINADO	MEDIA	NO	Escala/diseño/universo:
REL-188d16a18481261d7560a9b7	N13	ENFIH	OE-2964c990369bf5a4d703494c	Encuesta Nacional sobre las Finanzas de los Hogares	FUENTE_DATOS	enfih2019_fd_xlsx	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	SI	SI	EXISTE;COINCIDE;INTEGRO	NO-ENCONTRADO	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L13	—	ALTA	NO	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 838 variables; terminos obligacion/cuidar/cuidado = 0, 2026-08-08
REL-18976f4767e5da3c5e572877	N6	FINANZAS	OE-970f5d310c82d233016d272d	finanzas	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/mapa-ext-general-2026-08-06.tsv;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica. [ENLACE-2 2026-08-14] NO_REFERENCIADO. FINANZAS no es instrumento de data/abrir4-variables-2026-08-08.tsv; la busqueda dirigida de aversion_riesgo en los 4 instrumentos que ese barrido si cubre (L3, L10, L17, L24) da NO-ENCONTRADO o EXISTE-NO-SATISFACE, y ninguna resuelve a FINANZAS.
REL-1d4ea097a836307f28dd2f49	N30	ENCOAP	OE-f6187f98195ede5827d421f1	Encuesta Nacional de Confianza en la Administración Pública	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	ABIERTO-SIN-MAPEO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L15	ABIERTO-SIN-MAPEO	MEDIA	NO	Escala/diseño/universo:
REL-1d6e18e7da44240f81a662bb	N27	ACLED	OE-003dc708d74f1d4bbd5c1ad5	ACLED / Humanitarian Data Exchange — demonstration events México	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ACCESIBLE	NO_ACCESIBLE	APERTURA_NO_ACCESIBLE	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L34	NO-ACCESIBLE	ALTA	NO	Escala/diseño/universo:
REL-1d9d402e2e1aa77c9c01cb5f	N17	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	OE-5b938f5f2dc363679c70c162	Mass Mobilization Data Project, eventos Mexico	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L11	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo:
REL-20c9e9445e7c52770b6c3b10	N25	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	OE-c8e117825dd360967c8a01a5	Does Corruption Information Inspire the Fight or Quash the Hope?	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	SATISFACE-UMBRAL-DOCUMENTAL	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L6	SATISFACE-UMBRAL-DOCUMENTAL	MEDIA	NO	Escala/diseño/universo:
REL-21e914d37dac786386bf91dc	N5	FINANZAS	OE-6307d64ad71090b293815f82	finanzas	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica. [ENLACE-2 2026-08-14] NO_REFERENCIADO. El report citado (El_Mexicano_y_el_Tiempo:13) cita un estadistico transversal de ENIF 2024, no de FINANZAS, y N5 exige diseno longitudinal o experimental.
REL-2230c5027c1ce5589c32d9b0	N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	OE-0139b3dc528f6df3fe1811a0	Large-Scale Financial Education Program Impact Evaluation 2011-2012	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L5	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo:
