necesidad_id	fuente_id_canonico	fuente_nombre	tipo_fuente	objeto_evidencia_id	id_manifiesto	sha256	capa1_universo_indexado	capa2_manifiesto	capa3_disco_real	capa4_apertura_mapeo	clasificacion_relacion	reason_code	evidencia_ref	evidencia_textual_breve	confianza	conflicto_material	nota	motivo_rechazo
N17	REGISTRO_V01	registro_v01	FUENTE_CANDIDATA	OE-a0980e9b3a222da192853a4b			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:AGENTS.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N17	REGISTRO_V02	registro_v02	FUENTE_CANDIDATA	OE-e62b70b976fbe0d1df30b78e			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:AGENTS.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N17	RELIGIOSIDAD_Y_PSICOLOGIA_DEL_MEXICANO_CONTEMPORANEO_MORAL_AFRON	Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md	FUENTE_CANDIDATA	OE-f40e034f84e5666c505ed684			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:AGENTS.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N17	VALIDAR_CONTRATO_V0_2_PY	validar_contrato_v0_2.py	FUENTE_CANDIDATA	OE-ecbe2138624cc65d4e30de9a			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:AGENTS.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N17	VALIDAR_REGISTRO_DEMANDA_UNIVERSO_PY	validar_registro_demanda_universo.py	FUENTE_CANDIDATA	OE-ef99781aedd1783638138fb2			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:AGENTS.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N17	VALIDAR_REGISTRO_PY	validar_registro.py	FUENTE_CANDIDATA	OE-ec3176bb08346b35a110c7f2			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:AGENTS.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N18	SI	si	FUENTE_CANDIDATA	OE-37ebdee19e8bf02f09f2129b			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md;MAIN:forense/cobertura-motor.md	Evasión por sanción creíble × utilidad percibida, separando subsistencia y cinismo de clase alta.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N19			FUENTE_DATOS	OE-7baf4cfe0ea7181d5940523d			SI	NO_REFERENCIADO	NO_REFERENCIADO	DUPLICADA-DE-FUENTE-CONOCIDA	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-oficial-2026-08-06.tsv:L12	DUPLICADA-DE-FUENTE-CONOCIDA	MEDIA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N19			FUENTE_DATOS	OE-85c57fc21a78f3dd6f03b5d8			SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ENCONTRADO-EN-UNIVERSO-DECLARADO	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/mapa-ext-oficial-2026-08-06.tsv:L17	NO-ENCONTRADO-EN-UNIVERSO-DECLARADO	ALTA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N2	PROCEDENCIA_YAML	procedencia.yaml	FUENTE_CANDIDATA	OE-17fff16220e6c93636859871			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md;MAIN:corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	Relación entre gradiente de confianza interpersonal y pago/aceptación de mordida en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N20			FUENTE_DATOS	OE-64f7989618e9d153d64749db			SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ENCONTRADO-EN-UNIVERSO-DECLARADO	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/mapa-ext-civil-2026-08-06.tsv:L21	NO-ENCONTRADO-EN-UNIVERSO-DECLARADO	ALTA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N20			FUENTE_DATOS	OE-a4ee842284be2e3a89d5859b			SI	NO_REFERENCIADO	NO_REFERENCIADO	MAPEADO-NO-SATISFACE	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/mapa-ext-civil-2026-08-06.tsv:L20	MAPEADO-NO-SATISFACE	ALTA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N20	SI	si	FUENTE_CANDIDATA	OE-cc1126496d686dfe39fcf9f6			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md;MAIN:data/mapa-ext-civil-2026-08-06.tsv;MAIN:data/mapa-ext-civil-2026-08-06.tsv:L20;MAIN:data/mapa-ext-civil-2026-08-06.tsv:L21	Denuncia coobservada con tenencia/activación de seguro.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N21			FUENTE_DATOS	OE-084d33b09f4361b4ac966593			SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ACCESIBLE	NO_ACCESIBLE	APERTURA_NO_ACCESIBLE	MAIN:data/mapa-ext-civil-2026-08-06.tsv:L8	NO-ACCESIBLE	ALTA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N21			FUENTE_DATOS	OE-e05fd1e58d9ea41881c480b7			SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ACCESIBLE	NO_ACCESIBLE	APERTURA_NO_ACCESIBLE	MAIN:data/mapa-ext-civil-2026-08-06.tsv:L9	NO-ACCESIBLE	ALTA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N21	SI	si	FUENTE_CANDIDATA	OE-906127ea0c88798938ccaf8b			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md	Compra y prima de marca frente a sustituto en panel de hogares populares.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N22			FUENTE_DATOS	OE-11fbd86207af897ce7b6c4af			SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ACCESIBLE	NO_ACCESIBLE	APERTURA_NO_ACCESIBLE	MAIN:data/mapa-ext-civil-2026-08-06.tsv:L14	NO-ACCESIBLE	ALTA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N22			FUENTE_DATOS	OE-1a941ad0810955c25e49860e			SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ACCESIBLE	NO_ACCESIBLE	APERTURA_NO_ACCESIBLE	MAIN:data/mapa-ext-civil-2026-08-06.tsv:L15	NO-ACCESIBLE	ALTA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N22			FUENTE_DATOS	OE-627d80bae168352f8e59f162	r2_1_ecco_reporte_se_2023	ec47822d2a7b08327eebc70d4cb9bb1da947b04ca565c55768958b1243b866ea	SI	SI	EXISTE;COINCIDE;INTEGRO	EXISTE-NO-SATISFACE	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/verif3-variables-2026-08-08.tsv:L5	"Archivo R2.1_ECCO/SE_REPORTE_GENERAL_ECCO_2023.pdf, texto completo extraido con pdftotext -layout (2073 lineas, 45/45 paginas, ninguna resistio extraccion). Terminos buscados en el texto integro: veces,frecuencia,presenci,reporto,reportar,denunci,testigo,sufri,mordida,irregularidad,alguna vez,rotacion,productividad,autoritario,benevol — unicos 3 hits reales son ""corrup"" en los items 381/404/405 del Factor 116 (los 3 ya conocidos por CONF-17), todos promedios de percepcion, cero conteos conductua"	ALTA	NO	"Escala/diseño/universo: Archivo R2.1_ECCO/SE_REPORTE_GENERAL_ECCO_2023.pdf, texto completo extraido con pdftotext -layout (2073 lineas, 45/45 paginas, ninguna resistio extraccion). Terminos buscados en el texto integro: veces,frecuencia,presenci,reporto,reportar,denunci,testigo,sufri,mordida,irregularidad,alguna vez,rotacion,productividad,autoritario,benevol — unicos 3 hits reales son ""corrup"" en los items 381/404/405 del Factor 116 (los 3 ya conocidos por CONF-17), todos promedios de percepcion, cero conteos conductuales. Fecha de apertura: 2026-08-08."	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N22	SI	si	FUENTE_CANDIDATA	OE-ce343e97569c07f8c25f4fc5			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:data/censo-raices-2026-08-06.tsv;MAIN:data/cola-aperturas-externas-2026-08-06.tsv	Disenso/reporte de errores por tipo de jerarquía y canal, con desempeño.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N23			FUENTE_DATOS	OE-b724faaf657592178896858a			SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ACCESIBLE	NO_ACCESIBLE	APERTURA_NO_ACCESIBLE	MAIN:data/mapa-ext-civil-2026-08-06.tsv:L14	NO-ACCESIBLE	ALTA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N23			FUENTE_DATOS	OE-b9a97cf1469b953835416481			SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ACCESIBLE	NO_ACCESIBLE	APERTURA_NO_ACCESIBLE	MAIN:data/mapa-ext-civil-2026-08-06.tsv:L10	NO-ACCESIBLE	ALTA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N23			FUENTE_DATOS	OE-dadc2ee78c83180999fc5be1	r2_1_ecco_reporte_se_2023	ec47822d2a7b08327eebc70d4cb9bb1da947b04ca565c55768958b1243b866ea	SI	SI	EXISTE;COINCIDE;INTEGRO	EXISTE-NO-SATISFACE	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/verif3-variables-2026-08-08.tsv:L5	"Archivo R2.1_ECCO/SE_REPORTE_GENERAL_ECCO_2023.pdf, texto completo extraido con pdftotext -layout (2073 lineas, 45/45 paginas, ninguna resistio extraccion). Terminos buscados en el texto integro: veces,frecuencia,presenci,reporto,reportar,denunci,testigo,sufri,mordida,irregularidad,alguna vez,rotacion,productividad,autoritario,benevol — unicos 3 hits reales son ""corrup"" en los items 381/404/405 del Factor 116 (los 3 ya conocidos por CONF-17), todos promedios de percepcion, cero conteos conductua"	ALTA	NO	"Escala/diseño/universo: Archivo R2.1_ECCO/SE_REPORTE_GENERAL_ECCO_2023.pdf, texto completo extraido con pdftotext -layout (2073 lineas, 45/45 paginas, ninguna resistio extraccion). Terminos buscados en el texto integro: veces,frecuencia,presenci,reporto,reportar,denunci,testigo,sufri,mordida,irregularidad,alguna vez,rotacion,productividad,autoritario,benevol — unicos 3 hits reales son ""corrup"" en los items 381/404/405 del Factor 116 (los 3 ya conocidos por CONF-17), todos promedios de percepcion, cero conteos conductuales. Fecha de apertura: 2026-08-08."	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N23	SI	si	FUENTE_CANDIDATA	OE-658a706a0af2a989a279bb39			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Psicología__Conducta_y_Sociedad_en_el_México_Contemporáneo__Análisis_Transcultural_y_Estructural.md;MAIN:data/cola-aperturas-externas-2026-08-06.tsv	Panel empresarial con clima/liderazgo y desempeño auditado.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N24			FUENTE_DATOS	OE-4771ad1d44a158ae9b0edf26			SI	NO_REFERENCIADO	NO_REFERENCIADO	ABIERTO-SIN-MAPEO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-oficial-2026-08-06.tsv:L14	ABIERTO-SIN-MAPEO	MEDIA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N24			FUENTE_DATOS	OE-831abaa54149b4f9ff3a8c0d			SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-oficial-2026-08-06.tsv:L8	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N24			FUENTE_DATOS	OE-890a91448ebee81ce4ab32ec			SI	NO_REFERENCIADO	NO_REFERENCIADO	DUPLICADA-DE-FUENTE-CONOCIDA	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-oficial-2026-08-06.tsv:L12	DUPLICADA-DE-FUENTE-CONOCIDA	MEDIA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N24			FUENTE_DATOS	OE-9f0e78520eb79c9f947bc14d			SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-oficial-2026-08-06.tsv:L13	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N24	ENCARGO-MED-R3.4-	ENCARGO-MED-R3.4-v1_0.md	FUENTE_CANDIDATA	OE-a9356138cf41f2381dfca39d			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md	Separar riesgo fiscal percibido de fricción de uso, además de la serie de adopción.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N24	SESION	sesion	FUENTE_CANDIDATA	OE-ce007384fd1133793d23c7cc			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md	Separar riesgo fiscal percibido de fricción de uso, además de la serie de adopción.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
