relacion_id	necesidad_id	fuente_canonica_normalizada	objeto_evidencia_id_canonico	clasificacion_relacion	estado_productivo	uso_actual	evidencia_disponible	reserva	verificacion_requerida	requiere_decision	decision_id	siguiente_accion	evidencia_ref
REL-08af2a451bfb04d90902eec4	N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	OE-cf8d6b60756007bb54baf260	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	EXISTE-SATISFACE	1288 etiquetas SAV/DTA de las 4 bases IEPEP (padres, maestros, directores, alumnos) mas informe 17pp; el DDI-XML (50307 elem.) va sin texto persistido	NO-APLICA: E2 y supervisión BARRIDO-2 verificadas	NO	NO-APLICA	Abrir DDI/codebook y datos; verificar asignación, llaves, participación parental y outcome escolar.	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L17
REL-0a4bbf31b54c5ce3565ba753	N26	PUB	OE-c1b02a844fc80c9293323757	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO_DETERMINADO	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Localizar el payload oficial concreto del padrón y abrir diccionario/llaves antes de evaluar el vínculo causal o de participación.	MAIN:data/mapa-fuentes-2026-08-06.tsv:L112
REL-0b0dac8dd04b5f25133518f8	N29	FINANZAS	OE-d644fa49bac078e3b0ce67b3	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Usuario/tanda con participación, cumplimiento, incumplimiento y reputación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md
REL-0b6385436015c470992017f1	N13	ENSAFI	OE-b82cd53df63bf1a736b8b985	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	377 reg. del zip BD ENSAFI 2023: 4 miembros, 4 tablas y 369 encabezados de columna; sin diccionario, sin texto de reactivo ni value labels	NO-APLICA: E2 y supervisión BARRIDO-2 verificadas	NO	NO-APLICA	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md
REL-0c03e53054567fc014b50bc0	N8	ENVIPE	OE-5e7583b82a9bd409ff3de7f4	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Mapear unión exacta.	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md
REL-0ccb1f487408f4999004b321	N24	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	OE-eddca7ca14da62ef97c9048e	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	INDEXADO-NO-DESCARGADO	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Recuperar el reporte canónico y localizar tabla, pregunta, muestra, periodo y codificación de confianza/uso.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L4
REL-0d9c76a2adedc9b9f59984cc	N17	GDELT	OE-7895b99728673e79c14c8870	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	CANDIDATA	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35
REL-0e3c2a3a6afd1dae2297740e	N21	PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	OE-3f3621b9740c3f71eda9405e	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	INDEXADO-NO-DESCARGADO	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Localizar anexos o codebook y verificar brazos, codificación de precio/información y compra efectiva.	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L19
REL-0fc632a7b102c3b39b2f540c	N27	GDELT	OE-85252fcf9e78c194cb0179e1	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	CANDIDATA	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35
REL-107500c8d4873fe4d05bb8e3	N27	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OE-8ea8d18a90b95bcb481273e3	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	EXISTE-NO-SATISFACE	87 objetos de dataverse_files (31 columnas CSV, 31 variables DTA, manual 6pp) y 20 del manual; sin catalogo de codigos ni celdas de microdato	NO-APLICA: E2 y supervisión BARRIDO-2 verificadas	NO	NO-APLICA	Obtener archivo/codebook.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13
REL-10b7203dd243231cb3602e47	N17	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-cc29c4ba6e48f5510aee5877	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	SATISFACE-UMBRAL-DOCUMENTAL	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L15
REL-12b348704acbcdd4b811185b	N11	ENSAFI	OE-7e0c0905485bec2d765c6f6d	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Sensibilidad de estatus coobservada con desenlace de violencia/justicia.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L2;MAIN:forense/encargos/2026-08-07-abrir-4.md;MAIN:forense/hitoE-campana-medicion-v2_0.md
REL-12f0d41801fa7f161510f61e	N26	ENIF	OE-bf0460662dfd327f8155a915	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Efecto electoral alrededor del umbral de elegibilidad, independiente de aprobación presidencial.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	MAIN:canon/glosario-v5_6.md;MAIN:corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md;MAIN:data/censo-raices-2026-08-06.tsv;MAIN:data/cola-aperturas-externas-2026-08-06.tsv
REL-1615b74be40e6ab0847b8997	N19	FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	OE-b46de44944aa4c2843879525	NO_ACCESIBLE	BLOQUEADA_ACCESO	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO-ACCESIBLE	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	NO_DETERMINADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L32
REL-162b116abdb2212886430f08	N25	CSES	OE-cedf8cc675c79d950d6148cf	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	EXISTE-SATISFACE	801 secciones del cuestionario CSES M5; solo se persistieron lineas de opcion numeradas, no los enunciados; no se abrio el microdato	NO-APLICA: E2 y supervisión BARRIDO-2 verificadas	NO	NO-APLICA	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12
REL-1677b0003626a1bd5bf971cb	N18	ENIGH	OE-908664732583bf99e4d0527e	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Evasión por sanción creíble × utilidad percibida, separando subsistencia y cinismo de clase alta.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Búsqueda dirigida en diccionarios.	MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md;MAIN:forense/cobertura-motor.md
REL-16d3c66af7fc856df2130139	N10	ENFIH	OE-9b56ce01d359ba88ae40d6b7	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	fd_xlsx completo (664 vars, 16 hojas) + 527 nombres del bd. Barrido horizonte/plazo/futuro/vejez/planea: 0; si revise Afore y plazos de pago.	NO-APLICA: E2 y supervisión BARRIDO-2 verificadas	NO	NO-APLICA	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L11;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md
REL-1867600f55b362380e728c4a	N17	SERIES_SPEI_CODI_BANXICO	OE-d894d788fed5b863de54b79b	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO_DETERMINADO	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Abrir Informe Anual o catálogo SIE, registrar idSerie/idCuadro y extraer series comparables CoDi/SPEI.	MAIN:data/mapa-fuentes-2026-08-06.tsv:L135
REL-188d16a18481261d7560a9b7	N13	ENFIH	OE-2964c990369bf5a4d703494c	NEGATIVA	NO_USAR_PARA_RELACION	Exploración/medición descriptiva según reserva; no parámetro definitivo.	—	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 838 variables; terminos obligacion/cuidar/cuidado = 0, 2026-08-08	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	NO_DETERMINADO	MAIN:data/abrir4-variables-2026-08-08.tsv:L13
REL-18976f4767e5da3c5e572877	N6	FINANZAS	OE-970f5d310c82d233016d272d	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/mapa-ext-general-2026-08-06.tsv;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md
REL-1d4ea097a836307f28dd2f49	N30	ENCOAP	OE-f6187f98195ede5827d421f1	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	ABIERTO-SIN-MAPEO	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Abrir cuestionario y diccionario ENCOAP; localizar el reactivo y el desenlace exactos exigidos por la necesidad.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L15
REL-1d6e18e7da44240f81a662bb	N27	ACLED	OE-003dc708d74f1d4bbd5c1ad5	NO_ACCESIBLE	BLOQUEADA_ACCESO	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO-ACCESIBLE	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	NO_DETERMINADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L34
REL-1d9d402e2e1aa77c9c01cb5f	N17	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	OE-5b938f5f2dc363679c70c162	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	87+20 objetos MM (columnas CSV, variables DTA, secciones del manual); terminos digital/online/internet/tramite/impuesto: ninguna variable	NO-APLICA: E2 y supervisión BARRIDO-2 verificadas	NO	NO-APLICA	Obtener archivo y codebook del proyecto; verificar evento, actor, demanda, respuesta, geografía y cobertura temporal para México.	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L11
REL-20c9e9445e7c52770b6c3b10	N25	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	OE-c8e117825dd360967c8a01a5	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	SATISFACE-UMBRAL-DOCUMENTAL	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Abrir instrumento y tablas del estudio; localizar tratamiento informativo, outcome y estimando pertinente.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L6
REL-21e914d37dac786386bf91dc	N5	FINANZAS	OE-6307d64ad71090b293815f82	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md
REL-2230c5027c1ce5589c32d9b0	N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	OE-0139b3dc528f6df3fe1811a0	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	EXISTE-SATISFACE	174 etiquetas SAV y 178 DTA del follow-up LFEPIE; el DDI-XML (8432 elem.) sin texto persistido; no se abrieron celdas de microdato	NO-APLICA: E2 y supervisión BARRIDO-2 verificadas	NO	NO-APLICA	Recuperar el paquete canónico del estudio y revisar instrumento, diseño, outcomes y tablas de impacto.	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L5
REL-235427b4ebd4727b5ccdeb98	N26	REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	OE-2b73e90cfd63a421f32db102	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Efecto electoral alrededor del umbral de elegibilidad, independiente de aprobación presidencial.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Identificar un estudio concreto ya indexado, abrir protocolo/datos y verificar umbral, asignación y outcome electoral.	MAIN:canon/glosario-v5_6.md;MAIN:corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md;MAIN:data/censo-raices-2026-08-06.tsv;MAIN:data/cola-aperturas-externas-2026-08-06.tsv
REL-24f384a417a2151e1245fc59	N14	ENFIH	OE-2964c990369bf5a4d703494c	NEGATIVA	NO_USAR_PARA_RELACION	Exploración/medición descriptiva según reserva; no parámetro definitivo.	—	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 838 variables; terminos confianza/confia = 0 -- ENFIH no trae ningun reactivo de confianza pese a cubrir conducta financiera extensa (ahorro, credito, deuda, seguros, remesas) en 16 tablas, 2026-08-08	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	NO_DETERMINADO	MAIN:data/abrir4-variables-2026-08-08.tsv:L14
REL-266bee2fbe5407b7fb6975a7	N22	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-f649c924fc01b9473539639c	NEGATIVA	NO_USAR_PARA_RELACION	Exploración/medición descriptiva según reserva; no parámetro definitivo.	MAPEADO-NO-SATISFACE	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	NO_DETERMINADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L36
REL-2a1cc2aeaa3a0d0f5e1e49d2	N27	UCDP	OE-12db61ac071539c534e80fed	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO_DETERMINADO	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Abrir GED codebook.	MAIN:data/mapa-ext-general-2026-08-06.tsv:L14
